Year,Quarter,공시일,sj_div,account_nm,thstrm_dt,thstrm_amount
2015,Q4,20160330,BS,유동자산,2015.12.31 현재,"1,191,345,718,000"
2015,Q4,20160330,BS,비유동자산,2015.12.31 현재,"5,214,548,039,000"
2015,Q4,20160330,BS,자산총계,2015.12.31 현재,"6,409,351,926,000"
2015,Q4,20160330,BS,유동부채,2015.12.31 현재,"1,737,016,313,000"
2015,Q4,20160330,BS,비유동부채,2015.12.31 현재,"1,630,200,695,000"
2015,Q4,20160330,BS,부채총계,2015.12.31 현재,"3,367,217,008,000"
2015,Q4,20160330,BS,이익잉여금,2015.12.31 현재,"1,987,591,109,000"
2015,Q4,20160330,BS,자본총계,2015.12.31 현재,"3,042,134,918,000"
2015,Q4,20160330,IS,매출액,2015.01.01 ~ 2015.12.31,4539667404000
2015,Q4,20160330,IS,영업이익,2015.01.01 ~ 2015.12.31,328912550000
2015,Q4,20160330,IS,법인세차감전 순이익,2015.01.01 ~ 2015.12.31,206655860000
2015,Q4,20160330,IS,당기순이익,2015.01.01 ~ 2015.12.31,157826727000
2015,Q4,20160330,IS,당기순이익(손실),2015.01.01 ~ 2015.12.31,157826727000
