code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익
006650,대한유화,에너지_화학,2015,Q4,2016-03-29,"407,503,753,658","1,056,490,475,158","1,463,994,228,816","262,533,397,034","213,002,387,123","475,535,784,157","686,785,501,852","988,458,444,659",1717483712349,269929143510,261803719229,195555726469,195555726469,,
006650,대한유화,에너지_화학,2016,Q1,2016-05-13,"453,715,871,077","1,058,634,574,277","1,512,350,445,354","277,356,557,009","205,394,596,978","482,751,153,987","727,915,949,369","1,029,599,291,367",391150592439,77013895957,80500597699,61882821290,61882821290,,
006650,대한유화,에너지_화학,2016,Q2,2016-08-11,"443,978,037,514","1,086,840,936,235","1,530,818,973,749","284,099,733,045","143,214,544,639","427,314,277,684","801,836,996,556","1,103,504,696,065",401688706417,97575605795,100517763771,75000193108,75000193108,,
006650,대한유화,에너지_화학,2016,Q3,2016-11-11,"413,227,062,200","1,128,562,528,998","1,541,789,591,198","249,429,961,179","134,168,872,271","383,598,833,450","856,510,525,794","1,158,190,757,748",357656431542,68428104714,70194889400,53221144335,53221144335,,
006650,대한유화,에너지_화학,2016,Q4,2017-03-30,"423,241,937,909","1,269,725,180,849","1,692,967,118,758","317,284,274,543","135,481,085,643","452,765,360,186","938,550,225,183","1,240,201,758,572",433410842343,97140821175,101416300273,76985106103,76985106103,,
006650,대한유화,에너지_화학,2017,Q1,2017-05-15,"453,554,529,551","1,316,750,457,691","1,770,304,987,242","349,069,324,869","129,742,227,028","478,811,551,897","989,826,879,950","1,291,493,435,345",431751820360,107258950588,100695825603,76776174781,76776174781,,
006650,대한유화,에너지_화학,2017,Q2,2017-08-11,"336,090,107,551","1,460,748,102,099","1,796,838,209,650","272,882,010,471","240,903,790,154","513,785,800,625","981,403,078,729","1,283,052,409,025",221410933021,-11866109833,-8252097908,-6091617911,-6091617911,,
006650,대한유화,에너지_화학,2017,Q3,2017-11-13,"433,672,896,826","1,509,794,525,598","1,943,467,422,424","359,642,155,439","234,053,976,325","593,696,131,764","1,048,124,733,155","1,349,771,290,660",523982810213,84165235755,85389741326,64894885762,64894885762,"41,000,000,000",
006650,대한유화,에너지_화학,2017,Q4,2018-03-30,"405,807,656,811","1,494,959,581,104","1,900,767,237,915","258,683,219,628","221,302,259,538","479,985,479,166","1,119,131,584,561","1,420,781,758,749",591929413737,103503539652,92060795429,70003878687,70003878687,"41,000,000,000",
006650,대한유화,에너지_화학,2018,Q1,2018-05-15,"491,192,024,870","1,482,916,105,029","1,974,108,129,899","281,390,948,360","216,457,069,543","497,848,017,903","1,174,610,219,106","1,476,260,111,996",610189556925,102823130983,105481657393,80860944292,80860944292,"41,000,000,000",
