code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),총포괄손익
020150,일진머티리얼즈,정보기술,2015,Q4,2016-03-30,"123,497,000,000","193,809,000,000","317,306,000,000","51,550,000,000","18,675,000,000","70,225,000,000","19,600,000,000","34,434,000,000","247,081,000,000",257670000000,6307000000,-53773000000,-67486000000,-67486000000,
020150,일진머티리얼즈,정보기술,2016,Q1,2016-05-16,"118,421,000,000","194,544,000,000","312,965,000,000","42,566,000,000","19,974,000,000","62,540,000,000","19,600,000,000","38,493,000,000","250,425,000,000",62758000000,3989000000,4072000000,4059000000,4059000000,
020150,일진머티리얼즈,정보기술,2016,Q2,2016-08-16,"116,688,000,000","194,092,000,000","310,780,000,000","43,780,000,000","20,170,000,000","63,950,000,000","19,600,000,000","35,340,000,000","246,830,000,000",62983000000,6563000000,5825000000,-3153000000,-3153000000,
020150,일진머티리얼즈,정보기술,2016,Q3,2016-11-14,"111,666,000,000","190,563,000,000","302,229,000,000","32,138,000,000","19,524,000,000","51,662,000,000","19,600,000,000","38,928,000,000","250,567,000,000",63101000000,5180000000,3020000000,3588000000,3588000000,
020150,일진머티리얼즈,정보기술,2016,Q4,2017-03-31,"108,367,000,000","207,420,000,000","315,787,000,000","32,067,000,000","19,776,000,000","51,843,000,000","19,600,000,000","48,867,000,000","263,944,000,000",61794000000,5656000000,1970000000,9592000000,9592000000,
020150,일진머티리얼즈,정보기술,2017,Q1,2017-05-15,"116,362,000,000","208,156,000,000","324,518,000,000","27,302,000,000","21,055,000,000","48,357,000,000","19,600,000,000","58,177,000,000","276,161,000,000",71767000000,13876000000,11426000000,11270000000,11270000000,
020150,일진머티리얼즈,정보기술,2017,Q2,2017-08-10,"126,819,000,000","213,844,000,000","340,663,000,000","21,585,000,000","20,595,000,000","42,180,000,000","19,600,000,000","75,969,000,000","298,483,000,000",73580000000,13540000000,14390000000,17791000000,17791000000,
020150,일진머티리얼즈,정보기술,2017,Q3,2017-11-14,"324,940,000,000","243,493,000,000","568,433,000,000","21,685,000,000","25,004,000,000","46,689,000,000","23,000,000,000","90,381,000,000","521,744,000,000",79405000000,13925000000,14462000000,14413000000,14413000000,
020150,일진머티리얼즈,정보기술,2017,Q4,2018-03-30,"329,669,000,000","231,019,000,000","560,688,000,000","26,985,000,000","21,250,000,000","48,235,000,000","23,000,000,000","87,856,000,000","512,453,000,000",70194000000,5440000000,1073000000,-1861000000,-1861000000,
020150,일진머티리얼즈,정보기술,2018,Q1,2018-05-15,"339,709,000,000","223,743,000,000","563,452,000,000","54,565,000,000","22,696,000,000","77,261,000,000","23,000,000,000","65,033,000,000","486,191,000,000",76857000000,8949000000,9656000000,7482000000,7482000000,
020150,일진머티리얼즈,정보기술,2018,Q2,2018-08-14,"340,816,000,000","215,011,000,000","555,827,000,000","35,915,000,000","22,612,000,000","58,527,000,000","23,055,000,000","78,985,000,000","497,300,000,000",78857000000,11935000000,16880000000,13547000000,13547000000,
020150,일진머티리얼즈,정보기술,2018,Q3,2018-11-14,"374,222,000,000","218,111,000,000","592,333,000,000","38,161,000,000","43,504,000,000","81,665,000,000","23,055,000,000","90,377,000,000","510,668,000,000",83178000000,14635000000,15138000000,11392000000,11392000000,
020150,일진머티리얼즈,정보기술,2018,Q4,2019-03-29,"366,091,000,000","231,083,000,000","597,174,000,000","38,264,000,000","44,554,000,000","82,818,000,000","23,055,000,000","98,837,000,000","514,356,000,000",80011000000,6791000000,11126000000,8909000000,8909000000,
020150,일진머티리얼즈,정보기술,2019,Q1,2019-05-15,"374,609,000,000","235,351,000,000","609,960,000,000","37,833,000,000","44,867,000,000","82,700,000,000","23,055,000,000","110,082,000,000","527,260,000,000",69702000000,9597000000,14284000000,11246000000,11246000000,
020150,일진머티리얼즈,정보기술,2019,Q2,2019-08-14,"395,517,000,000","230,839,000,000","626,356,000,000","35,695,000,000","45,910,000,000","81,605,000,000","23,055,000,000","122,184,000,000","544,751,000,000",73320000000,10645000000,15381000000,12102000000,12102000000,
020150,일진머티리얼즈,정보기술,2019,Q3,2019-11-14,"426,374,000,000","227,717,000,000","654,091,000,000","51,527,000,000","46,338,000,000","97,865,000,000","23,055,000,000","137,389,000,000","556,226,000,000",79566000000,9510000000,19359000000,15205000000,15205000000,
020150,일진머티리얼즈,정보기술,2019,Q4,2020-03-30,"250,801,000,000","396,231,000,000","647,032,000,000","42,585,000,000","50,214,000,000","92,799,000,000","23,055,000,000","136,781,000,000","554,233,000,000",72201000000,4230000000,1473000000,1528000000,1528000000,
020150,일진머티리얼즈,정보기술,2020,Q1,2020-05-15,"250,181,000,000","407,026,000,000","657,207,000,000","48,776,000,000","50,141,000,000","98,917,000,000","23,055,000,000","148,011,000,000","558,290,000,000",73600000000,6881000000,14144000000,13535000000,13535000000,
020150,일진머티리얼즈,정보기술,2020,Q2,2020-08-14,"266,142,000,000","401,142,000,000","667,284,000,000","43,158,000,000","50,559,000,000","93,717,000,000","23,055,000,000","154,016,000,000","573,566,000,000",68927000000,7630000000,7823000000,6280000000,6280000000,
020150,일진머티리얼즈,정보기술,2020,Q3,2020-11-16,"267,785,000,000","402,240,000,000","670,025,000,000","37,495,000,000","50,891,000,000","88,386,000,000","23,055,000,000","156,213,000,000","581,639,000,000",71186000000,4080000000,2818000000,2197000000,2197000000,
020150,일진머티리얼즈,정보기술,2020,Q4,2021-03-23,"295,010,000,000","386,607,000,000","681,617,000,000","40,197,000,000","57,294,000,000","97,491,000,000","23,055,000,000","153,068,000,000","584,126,000,000",78076000000,4616000000,-5178000000,-2506000000,-2506000000,
