접수번호,법인구분,회사코드,회사명,구분,발행할 주식 총수,현재까지 발행한 주식 총수,현재까지 감소한 주식의 총수,주식 수 감소,이익 소각,상환주식의 상환,기타,발행주식의 총수,자기주식수,유통주식수,결제일시,연도,분기
20160516003090,Y,00131780,SK네트웍스,보통주,-,"641,277,006","393,089,359","334,936,918",-,-,"58,152,441","248,187,647",12,"248,187,635",2015-12-31,2015,Q4
20160516003090,Y,00131780,SK네트웍스,우선주,-,"6,124,324","6,010,676","2,010,676",-,-,"4,000,000","113,648",-,"113,648",2015-12-31,2015,Q4
20160516003090,Y,00131780,SK네트웍스,상환우선주,-,"25,041,615","25,041,615","13,881,400",-,"11,160,215",-,-,-,-,2015-12-31,2015,Q4
20160516003090,Y,00131780,SK네트웍스,합계,"1,500,000,000","672,442,945","424,141,650","350,828,994",-,"11,160,215","62,152,441","248,301,295",12,"248,301,283",2015-12-31,2015,Q4
20160516003090,Y,00131780,SK네트웍스,비고,-,-,-,-,-,-,-,-,"(주)워커힐과의 합병시 단주대금 
   지급으로 인한 자사주 취득",-,2015-12-31,2015,Q4
20170331002951,Y,00131780,SK네트웍스,보통주,-,"641,277,006","393,089,359","334,936,918",-,-,"58,152,441","248,187,647",12,"248,187,635",2016-12-31,2016,Q4
20170331002951,Y,00131780,SK네트웍스,우선주,-,"6,124,324","6,010,676","2,010,676",-,-,"4,000,000","113,648",-,"113,648",2016-12-31,2016,Q4
20170331002951,Y,00131780,SK네트웍스,상환우선주,-,"25,041,615","25,041,615","13,881,400",-,"11,160,215",-,-,-,-,2016-12-31,2016,Q4
20170331002951,Y,00131780,SK네트웍스,합계,"1,500,000,000","672,442,945","424,141,650","350,828,994",-,"11,160,215","62,152,441","248,301,295",12,"248,301,283",2016-12-31,2016,Q4
20170331002951,Y,00131780,SK네트웍스,비고,-,-,-,-,-,-,-,-,"(주)워커힐과의 합병시 단주대금 
   지급으로 인한 자사주 취득",-,2016-12-31,2016,Q4
20180402005134,Y,00131780,SK네트웍스,보통주,-,"641,277,006","393,089,359","334,936,918",-,-,"58,152,441","248,187,647","7,624,390","240,563,257",2017-12-31,2017,Q4
20180402005134,Y,00131780,SK네트웍스,우선주,-,"6,124,324","6,010,676","2,010,676",-,-,"4,000,000","113,648","18,818","94,830",2017-12-31,2017,Q4
20180402005134,Y,00131780,SK네트웍스,상환우선주,-,"25,041,615","25,041,615","13,881,400",-,"11,160,215",-,-,-,-,2017-12-31,2017,Q4
20180402005134,Y,00131780,SK네트웍스,합계,"1,500,000,000","672,442,945","424,141,650","350,828,994",-,"11,160,215","62,152,441","248,301,295","7,643,208","240,658,087",2017-12-31,2017,Q4
20180402005134,Y,00131780,SK네트웍스,비고,-,-,-,-,-,-,-,-,"(주)워커힐과의 합병시 단주대금 지급으로 인한 자기주식 보통주 12주,

2017년 8월 11일부터 2017년 10월 24일까지 취득한 자기주식
보통주 7,622,000주,
2017년 10월 31일자 Energy Marketing부문 Wholesale사업 양도 
반대주주의 주식매수청구권 행사에 따라 매수한 
자기주식 보통주 2,378주, 우선주18,818주",-,2017-12-31,2017,Q4
20190401003606,Y,00131780,SK네트웍스,보통주,-,"641,277,006","393,089,359","334,936,918",-,-,"58,152,441","248,187,647","7,624,390","240,563,257",2018-12-31,2018,Q4
