접수번호,접수일자,회사코드,회사명,대표보고자,발행 회사 관계 임원(등기여부),발행 회사 관계 임원 직위,발행 회사 관계 주요 주주,특정 증권 등 소유 수,특정 증권 등 소유 증감 수,특정 증권 등 소유 비율,특정 증권 등 소유 증감 비율,연도,분기
20230406000506,2023-04-06,00117212,두산,국민연금공단,-,-,10%이상주주,"2,048,854","-218,651",9.57,-1.02,2023,Q2
20230706000086,2023-07-06,00117212,두산,국민연금공단,-,-,10%이상주주,"1,878,861","-169,993",8.77,-0.80,2023,Q3
20230907000334,2023-09-07,00117212,두산,국민연금공단,-,-,10%이상주주,"1,677,260","-201,601",7.83,-0.94,2023,Q3
20231006000425,2023-10-06,00117212,두산,박정원,등기임원,대표이사,-,"1,275,590","31,120",5.96,0.15,2023,Q4
20231006000443,2023-10-06,00117212,두산,박지원,비등기임원,부회장,-,"905,351","15,610",4.23,0.07,2023,Q4
20231027000353,2023-10-27,00117212,두산,박지원,비등기임원,부회장,-,"918,956","13,605",4.29,0.06,2023,Q4
20240312000900,2024-03-12,00117212,두산,박정원,등기임원,대표이사,-,"1,282,644","7,054",5.99,0.03,2024,Q1
20240514001657,2024-05-14,00117212,두산,국민연금공단,-,-,10%이상주주,"1,664,152","1,664,152",7.77,7.77,2024,Q2
20240522000017,2024-05-22,00117212,두산,국민연금공단,-,-,10%이상주주,"1,669,703","5,551",7.80,0.03,2024,Q2
20240529000508,2024-05-29,00117212,두산,국민연금공단,-,-,10%이상주주,"1,675,163","1,675,163",7.82,7.82,2024,Q2
20240529000512,2024-05-29,00117212,두산,국민연금공단,-,-,10%이상주주,"1,669,477","-5,686",7.80,-0.02,2024,Q2
20250305000488,2025-03-05,00117212,두산,윤주만,비등기임원,전무,-,"1,233",433,0.01,0.01,2025,Q1
20250305000494,2025-03-05,00117212,두산,신은지,비등기임원,전무,-,424,424,0.00,0.00,2025,Q1
20250305000501,2025-03-05,00117212,두산,정진영,비등기임원,상무,-,428,428,0.00,0.00,2025,Q1
20250305000511,2025-03-05,00117212,두산,이현규,비등기임원,전무,-,428,428,0.00,0.00,2025,Q1
20250305000518,2025-03-05,00117212,두산,김정탁,비등기임원,상무,-,428,428,0.00,0.00,2025,Q1
20250305000527,2025-03-05,00117212,두산,김홍일,비등기임원,상무,-,428,428,0.00,0.00,2025,Q1
20250305000531,2025-03-05,00117212,두산,김상우,비등기임원,상무,-,268,268,0.00,0.00,2025,Q1
20250305000542,2025-03-05,00117212,두산,김도원,비등기임원,사장,-,"2,544","2,544",0.01,0.01,2025,Q1
20250305000546,2025-03-05,00117212,두산,김민철,등기임원,사장,-,"2,892","2,092",0.01,0.01,2025,Q1
20250305000556,2025-03-05,00117212,두산,진보근,비등기임원,부사장,-,"2,000","2,000",0.01,0.01,2025,Q1
20250305000562,2025-03-05,00117212,두산,김용운,비등기임원,부사장,-,867,596,0.00,0.00,2025,Q1
20250305000582,2025-03-05,00117212,두산,고승진,비등기임원,전무,-,557,557,0.00,0.00,2025,Q1
20250305000483,2025-03-05,00117212,두산,김인욱,비등기임원,부사장,-,437,437,0.00,0.00,2025,Q1
20250305000471,2025-03-05,00117212,두산,유승우,비등기임원,사장,-,870,870,0.00,0.00,2025,Q1
20250305000457,2025-03-05,00117212,두산,은홍기,비등기임원,전무,-,283,283,0.00,0.00,2025,Q1
20250305000453,2025-03-05,00117212,두산,배정한,비등기임원,상무,-,283,283,0.00,0.00,2025,Q1
20250305000588,2025-03-05,00117212,두산,박명석,비등기임원,상무,-,546,546,0.00,0.00,2025,Q1
20250305000437,2025-03-05,00117212,두산,백승암,비등기임원,부사장,-,527,527,0.00,0.00,2025,Q1
20250305000430,2025-03-05,00117212,두산,남현수,비등기임원,부사장,-,"1,457","1,457",0.01,0.01,2025,Q1
20250305000419,2025-03-05,00117212,두산,문홍성,등기임원,사장,-,"2,173","2,173",0.01,0.01,2025,Q1
20250305000415,2025-03-05,00117212,두산,박석원,비등기임원,사장,-,"498,873",802,2.33,0.00,2025,Q1
20250305000407,2025-03-05,00117212,두산,박지원,비등기임원,부회장,-,"922,294","3,338",4.31,0.02,2025,Q1
20250305000399,2025-03-05,00117212,두산,박정원,등기임원,대표이사,-,"1,294,940","12,296",6.05,0.06,2025,Q1
20250305000445,2025-03-05,00117212,두산,김종선,비등기임원,부사장,-,335,335,0.00,0.00,2025,Q1
