접수번호,법인구분,고유번호,회사명,증자일자,증자방식,증자주식종류,증자주식수,주식액면가액,발행금액,결제일시,연도,분기
20160608000081,Y,00120571,롯데칠성음료,-,-,-,-,-,-,2015-12-31,2015,Q4
20170330001609,Y,00120571,롯데칠성음료,-,-,-,-,-,-,2016-12-31,2016,Q4
20180330004007,Y,00120571,롯데칠성음료,2017.10.01,-,보통주,"437,857","5,000",-,2017-12-31,2017,Q4
20180330004007,Y,00120571,롯데칠성음료,2017.10.01,-,우선주,"42,469","5,000",-,2017-12-31,2017,Q4
20190401004636,Y,00120571,롯데칠성음료,2017.10.01,-,보통주,"437,857","5,000",-,2018-12-31,2018,Q4
20190401004636,Y,00120571,롯데칠성음료,2017.10.01,-,우선주,"42,469","5,000",-,2018-12-31,2018,Q4
20200330003627,Y,00120571,롯데칠성음료,2017.10.01,-,보통주,"437,857","5,000",-,2019-12-31,2019,Q4
20200330003627,Y,00120571,롯데칠성음료,2017.10.01,-,우선주,"42,469","5,000",-,2019-12-31,2019,Q4
20210315000941,Y,00120571,롯데칠성음료,2017.10.01,-,보통주,"437,857","5,000",-,2020-12-31,2020,Q4
20210315000941,Y,00120571,롯데칠성음료,2017.10.01,-,우선주,"42,469","5,000",-,2020-12-31,2020,Q4
20210315000941,Y,00120571,롯데칠성음료,2020.10.24,유상증자(제3자배정),보통주,"981,663",500,"93,660",2020-12-31,2020,Q4
20220317000852,Y,00120571,롯데칠성음료,2017.10.01,-,보통주,"437,857","5,000",-,2021-12-31,2021,Q4
20220317000852,Y,00120571,롯데칠성음료,2017.10.01,-,우선주,"42,469","5,000",-,2021-12-31,2021,Q4
20220317000852,Y,00120571,롯데칠성음료,2020.10.24,유상증자(제3자배정),보통주,"981,663",500,"93,660",2021-12-31,2021,Q4
20220317000852,Y,00120571,롯데칠성음료,2021.07.02,유상증자(제3자배정),보통주,"303,761",500,"157,872",2021-12-31,2021,Q4
20230314001296,Y,00120571,롯데칠성음료,2020.10.24,유상증자(제3자배정),보통주,"981,663",500,"93,660",2022-12-31,2022,Q4
20230314001296,Y,00120571,롯데칠성음료,2021.07.02,유상증자(제3자배정),보통주,"303,761",500,"157,872",2022-12-31,2022,Q4
20240326000264,Y,00120571,롯데칠성음료,2021.07.02,유상증자(제3자배정),보통주,"303,761",500,"157,872",2023-12-31,2023,Q4
20250317000932,Y,00120571,롯데칠성음료,-,-,-,-,-,-,2024-12-31,2024,Q4
