접수번호,법인구분,회사코드,회사명,주식종류,이름,관계,기초 소유 주식 수,기초 소유주식 지분율,기말 소유주식 수,기말 소유주식 지분율,비고,결제일시,연도,분기
20160516003598,Y,00131832,SK디스커버리,보통주,최창원,본인,"2,745,761",13.17,"4,131,560",17.00,-,2015-12-31,2015,Q4
20160516003598,Y,00131832,SK디스커버리,우선주,최지원,친인척,837,0.03,837,0.03,-,2015-12-31,2015,Q4
20160516003598,Y,00131832,SK디스커버리,보통주,최예정,친인척,"112,537",0.54,"132,269",0.57,-,2015-12-31,2015,Q4
20160516003598,Y,00131832,SK디스커버리,보통주,이유미,친인척,0,0.00,"1,163",0.00,-,2015-12-31,2015,Q4
20160516003598,Y,00131832,SK디스커버리,보통주,Lee Charles Hwan,친인척,864,0.00,984,0.00,-,2015-12-31,2015,Q4
20160516003598,Y,00131832,SK디스커버리,보통주,한국고등교육재단,계열사,"240,523",1.15,"240,523",0.99,-,2015-12-31,2015,Q4
20160516003598,Y,00131832,SK디스커버리,보통주,김철,임원,"4,000",0.01,"7,542",0.03,-,2015-12-31,2015,Q4
20160516003598,Y,00131832,SK디스커버리,보통주,한병로,임원,0,0.00,"10,000",0.04,-,2015-12-31,2015,Q4
20160516003598,Y,00131832,SK디스커버리,보통주,김희집,임원,"1,600",0.01,"1,824",0.01,-,2015-12-31,2015,Q4
20160516003598,Y,00131832,SK디스커버리,우선주,최창원,본인,"11,991",0.43,"11,991",0.43,-,2015-12-31,2015,Q4
20160516003598,Y,00131832,SK디스커버리,보통주,최태원,친인척,0,0.00,"11,861",0.05,-,2015-12-31,2015,Q4
20160516003598,Y,00131832,SK디스커버리,우선주,최태원,친인척,"87,515",3.11,"87,515",3.11,-,2015-12-31,2015,Q4
20160516003598,Y,00131832,SK디스커버리,보통주,최영근,친인척,"287,531",1.38,"326,502",1.34,-,2015-12-31,2015,Q4
20160516003598,Y,00131832,SK디스커버리,보통주,최신원,친인척,"11,700",0.06,"14,845",0.06,-,2015-12-31,2015,Q4
20160516003598,Y,00131832,SK디스커버리,보통주,최정원,친인척,"38,085",0.18,"44,648",0.18,-,2015-12-31,2015,Q4
20160516003598,Y,00131832,SK디스커버리,우선주,최정원,친인척,7,0.00,7,0.00,-,2015-12-31,2015,Q4
20160516003598,Y,00131832,SK디스커버리,보통주,최지원,친인척,"89,793",0.43,"106,041",0.44,-,2015-12-31,2015,Q4
20160516003598,Y,00131832,SK디스커버리,보통주,계,,"3,532,394",16.95,"5,035,762",20.72,-,2015-12-31,2015,Q4
20160516003598,Y,00131832,SK디스커버리,우선주,계,,"100,350",3.56,"100,350",3.56,-,2015-12-31,2015,Q4
