video_id,published_at,view_count
FzibiCs59AY,2021-03-30T06:59:49Z,11357
Y_tBzIc0nUc,2021-03-30T07:00:42Z,16312
vSIeLa5d4HU,2021-03-30T03:10:10Z,6585
tgynzrfKKBQ,2021-03-30T01:28:50Z,1093
raLk_b4siv4,2021-03-30T01:25:08Z,1567
Kq67g_tup38,2021-03-30T01:23:39Z,3402
JTv2jzXcvww,2021-03-29T23:39:25Z,4941
4eH9Gcfffzk,2021-03-29T08:37:15Z,4193
sBj4_3Cs1pk,2021-03-29T07:48:06Z,12768
eVtjZ9bZXhQ,2021-03-29T01:05:53Z,4678
uz-8a8JU_PU,2021-03-26T09:25:36Z,6820
qDjfVQcL7Nw,2021-03-26T08:56:15Z,1362
Z1Ko60q6nYk,2021-03-26T03:03:54Z,1751
k17kuWnKBaI,2021-03-25T23:46:38Z,1910
Nb-uJrWY9Y4,2021-03-25T23:44:42Z,1706
nbI3Gy3A9iA,2021-03-25T07:47:55Z,10823
KmxBSnxlESc,2021-03-25T06:29:38Z,2471
fXnNyEqJ6SA,2021-03-25T01:35:45Z,1985
gCu8GcuYy7o,2021-03-25T01:29:35Z,1432
o2MoR0PnO7g,2021-03-24T09:54:48Z,5883
hnMHf1Zcgoc,2021-03-24T09:37:59Z,1037
qG1oQ1UTnCQ,2021-03-24T07:50:36Z,23471
zSF_-8odMqU,2021-03-24T03:06:10Z,1884
6KcpbCYUCKA,2021-03-24T01:33:41Z,2096
4_1hZSA7K-E,2021-03-23T07:49:13Z,7091
1A-2_0RC65A,2021-03-23T06:27:44Z,12369
rcdoXuf0b4c,2021-03-23T01:32:50Z,1064
KDo-_K1_DDQ,2021-03-23T01:03:54Z,2173
ZDd2hc1nuYs,2021-03-23T00:38:01Z,1492
DkEp3TqVWAE,2021-03-23T00:31:55Z,1899
kcjdYfHPEuI,2021-03-22T08:31:15Z,1975
2BvjEU5H_lk,2021-03-22T06:33:36Z,50737
Xtod6TADzsk,2021-03-19T09:02:34Z,4003
lMidtC7odkA,2021-03-19T08:36:09Z,4744
ZsnQFLXdem4,2021-03-19T06:49:28Z,10839
UViEJOJaoh4,2021-03-19T03:03:01Z,8446
b_8coDnJsX0,2021-03-19T01:16:35Z,1731
5CjsDM4ZDZ8,2021-03-18T07:44:21Z,18120
UKeho7v52wM,2021-03-18T06:50:58Z,4270
snC_RESmxYE,2021-03-18T06:52:02Z,50400
4HUgO2st6Jg,2021-03-18T03:05:48Z,4278
W5qnA6uLuIM,2021-03-18T01:17:09Z,14006
iUg35swvc8Q,2021-03-18T00:43:13Z,10458
-PZQkHEwOxE,2021-03-17T08:51:24Z,2950
oYHHtv_dTw0,2021-03-17T08:38:11Z,4357
jv_4Fah0BYA,2021-03-17T07:48:26Z,8836
