,name,sector,year,quarter,자본총계변화율,이익잉여금변화율,매출액변화율,영업이익변화율,비유동자산변화율,Relative Return,주주 수변화율,전체 주식 수변화율,전체 주주 수변화율,1인평균급여변화율,Label,Code
28,Kyungbang,Materials_&_Chemicals,2017,Q3,-0.011435336975592847,-0.011660194691591963,0.0914156844256715,0.17872175451057737,0.014283774449072473,-0.06397795738200666,0.00552302058420695,-0.06272289199372083,-0.06040413333744543,-0.02285828741535667,-0.1082178461538461,000050
28,Hite_Jinro,Consumer_Goods_&_Retail,2017,Q3,-0.022668369254034593,-0.11114709487158358,-0.08807735732368793,-0.5812973041436831,0.0036031318776511556,0.03470064449352615,-0.0396042100937819,-0.017625963754066554,-0.02387794810188648,-0.016226153033017,0.1289338308026031,000080
28,Yuhan_Corporation,Healthcare,2017,Q3,-0.00932353135483499,-0.01104727256649296,-0.06827808602274876,0.005327230141030537,0.02782280185266739,-0.014027060140688927,0.01455124395609031,0.004881901126836952,0.005230360423358338,-0.006162143205634019,-0.1708705980294475,000100
28,CJ_Logistics,Trading_&_Logistics,2017,Q3,-0.0006974755114412812,0.05129190645314108,-0.036180046731628,0.11459423553825665,-0.048494335145597756,-0.016821777163958593,-0.07541513377232079,-0.06798313095858366,-0.07344624340017747,-0.03973523081696784,-0.1112375537190082,000120
28,Doosan_Corp,Conglomerate,2017,Q3,-0.014173135317234298,-0.0189279154565114,-0.0022188286749562636,0.07940616562686553,-0.005625689946810786,0.1504914192636927,0.01887320569910267,-0.0248755198345485,0.015179033761763883,-0.022815598584297048,0.18121528312353324,000150
28,DL_Holdings,Conglomerate,2017,Q3,-0.025253118995087753,-0.027850920539118196,-0.05619273517496337,-0.19740660967938828,-0.08638699690624452,-0.007322158991907302,-0.011585522343356525,0.0005396597005936643,-0.021989384676170287,-0.06132717246967356,-0.11608341002438625,000210
28,Ildong_Pharmaceutical,Healthcare,2017,Q3,-0.0008438495444924587,-0.013141650282902928,-0.05611851082574981,-0.9064525721083891,-0.0958925105736812,-0.2502349112773819,-0.10420367887440718,-0.0621813227326089,-0.0809554678093849,-0.03515369505123034,-0.19459813782153057,000230
28,Hankook_Tire_Worldwide,Automotive_&_Parts,2017,Q3,-0.004199618013996265,-0.010776194427784658,0.028431702020605853,-0.07755241166776217,0.008643768883487501,0.007633295814924279,-0.002665027428792932,-0.0024608399281751403,-0.0012581695988560515,0.003788814881888758,-0.014347105022830991,000240
29,Kia_Corp,Automotive_&_Parts,2017,Q3,0.018499541665879526,0.0008348523340782066,-0.04054945742349081,2.42388028243229,-0.01702385373244142,-0.07641708194927768,-0.038442131430112436,-0.040759180645326465,-0.04621841130598492,-0.028998861115897112,-0.18026373718791058,000270
29,Chosun_Refractories,Materials_&_Chemicals,2017,Q3,-0.025674504691640454,-0.027669302350876723,-0.10118074629552942,-2.8266769170879247,-0.09849853822496102,-0.06926177380712743,-0.06672536787267247,0.0037800796452372998,-0.12062197974146271,-0.06351250837604572,-0.035475371237458135,000480
28,Dong-A_Socio_Holdings,Conglomerate,2017,Q3,-0.016312258791844725,-0.025878276342065742,-1.3116532559002554,7.105262827212398,-0.019095141681743533,-0.09247494484333219,-0.013231526948307204,-0.005143411361193451,-0.013733878519653464,-0.005070674781902262,-0.11538503321033204,000640
28,S_hynix,Technology,2017,Q3,-0.10881110754950951,-0.1474532539357185,-0.197922888157966,-0.20483173350216832,-0.06287909420980986,0.2193154352917352,-0.057958383032871374,-0.01518503001306315,0.02032280714477319,-0.12200805275038373,0.23455254135338352,000660
28,Youngpoong,Materials_&_Chemicals,2017,Q3,-0.0018877425717476193,-0.0018911918303667896,-0.009971654191093249,-1.2630796865613276,-0.007611319792339977,0.11686367196986826,-0.027462125055553566,-0.042544676907505075,-0.04566946669701344,-0.015397074149933854,-0.08866292499750145,000670
28,Hyundai_E&C,Construction_&_Real_Estate,2017,Q3,-0.0162684194179199,-0.01689500152429857,-0.02419434119070707,-0.3713081911685736,0.004480705171823418,-0.177158473141319,0.001127659446050866,0.0015302468794099466,0.0019185790164796268,0.0012932399781194759,-0.18105424542336637,000720
28,Hanwha_Corp,Conglomerate,2017,Q3,-0.014599544799620556,-0.021884222961887412,-0.021855482998523135,-0.037088584757339005,-0.0010113637862350089,0.20921044841509479,-0.01758439284330615,-0.011399133948681639,-0.015697599659298733,-0.014172575753141015,-0.09156190794979073,000880
28,CJ_Corp,Conglomerate,2017,Q3,-0.0021289695142534537,-0.0033566203062684874,-0.06213034521950944,-0.07720992908927116,-0.002500345078888744,-0.018375548318126406,-0.003706297694159977,-0.003280113242646543,-0.0033607809748636974,-0.004041811098592696,-0.11938968598491993,001040
28,LG_International,Conglomerate,2017,Q3,-0.031994002512184094,-0.024330435584485777,-0.20112842079003146,3.687951662231167,0.003866677372698746,-0.15207160286695648,-0.020749706117921596,-0.04831840382626518,-0.026253336040509723,-0.023056760918352737,-0.1342504951768488,001120
28,Dongkuk_Steel,Materials_&_Chemicals,2017,Q3,-0.049062937388409056,-0.0009963862129607204,0.0321038748711544,-0.2528642474786156,-0.01631931454512414,0.04606960073787843,-0.08917430579904573,-0.027546067563405607,-0.04506737644540659,-0.05139612763761514,-0.2866456733067729,001230
28,SeAH_Besteel,Materials_&_Chemicals,2017,Q3,-0.016327839756462126,-0.023513166385422446,0.05710961859307273,0.24443422458083752,0.01021915980286825,-0.0105082828835288,0.011733826159866845,-0.002289846126462436,0.0011783271633868386,0.037230619556353095,0.015713777777777833,001430
28,Daesang,Consumer_Goods_&_Retail,2017,Q3,-0.027438100392896736,-0.041664020954120806,-0.14497366243403653,-0.5758926542829088,-0.004495587895745334,-0.014481011640001637,-0.008849416154492973,0.024984799850471195,0.019490253406319602,-0.013701899024389785,-0.17274452930056705,001680
28,SK_Networks,Consumer_Services,2017,Q3,0.9999990151104293,0.9999989930065112,0.9999992690177324,0.9999973842298958,0.9999990090787281,-0.26627183063380605,0.9999993065660574,0.0,0.0,0.9999990023108364,0.13602517197452235,001740
28,Orion_Corp,Agriculture_&_Food,2017,Q3,-0.0003381100038715168,0.20209759924062287,-0.986058306694559,1.591143741923669,0.000543316425905549,0.08182808744303689,0.1717289392376895,-0.11048629521400599,-0.14230750520742963,-0.35608057092559164,0.0,001800
28,KIS_Wire,Materials_&_Chemicals,2017,Q3,-0.0007347490461300232,-0.0014962772505890953,0.02743747697611343,0.1545347845792009,0.0022139956458697707,-0.132628710479944,-0.037243754133230667,-0.03938298124048645,-0.049408545216029554,0.0035775416827441564,-0.10080520406567625,002240
28,Nexen_Tire,Automotive_&_Parts,2017,Q3,-0.04713154306220124,-0.035798323232219875,-0.014541125075450356,-0.1304359250300362,-0.013868766701045976,-0.15727828230851137,0.012064982140282954,-0.062076189280704686,-0.010825186511982166,-0.01877263486310632,-0.01955463670411979,002350
28,KCC,Materials_&_Chemicals,2017,Q3,0.03257373292464216,-0.013276958693922536,-0.009309880169078966,-0.09985137837336144,0.036741109062945254,0.11694926823828232,0.021440937784049874,0.00505756026464077,0.013241750985408696,0.016759856015822416,-0.15704019227178512,002380
