,name,sector,year,quarter,Relative Return,자본총계 변화율,비유동부채 변화율,소비자물가지수 변화율,실업률 변화율,전체 주식 수 변화율,전체 주주 수 변화율,자기주식수 변화율,1인평균급여 변화율,보유 주식 수 변화율,Label,Code
22,Kia_Corp,운송장비·부품,2019,Q2,0.006943591865531604,-0.017090238715792294,0.021655618412082966,-0.17798441463015324,-0.017241379310344973,-0.05071587338378114,-0.06204361925371904,-0.04874006127656094,-0.05032549590635793,-0.05002069366184547,0.24270518047402992,000270
21,Youngpoong,금속,2019,Q2,0.03268860703646111,-0.012659455320537916,0.005612809933374652,-0.17798441463015324,-0.017241379310344973,-0.058769879131362,-0.058769879131362,-0.058769879131362,-0.058769879131362,-0.05876987913136178,-0.09447499276259504,000670
21,Hyundai_E&C,건설,2019,Q2,-0.10470370741997502,-0.017750961939028143,0.0061472678011326165,-0.17798441463015324,-0.017241379310344973,-0.05798400751510746,-0.05798400751510746,0.0,-0.05798400751510746,-0.05798400751510746,0.0014120303622121855,000720
21,SeAH_Besteel,금속,2019,Q2,0.03512823174493387,-0.0025738926773719584,0.013154894182399013,-0.17798441463015324,-0.017241379310344973,-0.05875829335001659,-0.05875829335001659,-0.05875829335001659,-0.05875829335001659,-0.05875829335001659,-0.03589593010589873,001430
21,KIS_Wire,금속,2019,Q2,0.030875694129500884,-0.005938566269438672,-0.013435910325602318,-0.17798441463015324,-0.017241379310344973,-0.05878374312461809,-0.05878374312461809,-0.05878374312461809,-0.05878374312461809,-0.05878374312461809,0.07058943132202675,002240
22,S&T_Heavy_Industries,운송장비·부품,2019,Q2,-0.029024270615783793,-0.006133999767975462,-0.009243796633550128,-0.17798441463015324,-0.017241379310344973,-0.05879269150219657,-0.05879269150219635,-0.05879269150219657,-0.05879269150219635,-0.05879269150219635,-0.030745044686456804,003570
21,SsangYong_Motor,운송장비·부품,2019,Q2,0.23810023250744164,-0.05877039130452766,-0.006061518097375318,-0.17798441463015324,-0.017241379310344973,-0.058770391304527436,-0.05877039130452766,0.0,-0.058770391304527436,-0.05877039130452766,-0.203576677339518,003620
21,Hyundai_Steel,금속,2019,Q2,-0.057592410578951383,-0.008199300649894603,-0.0067960032968164,-0.17798441463015324,-0.017241379310344973,-0.0677185731003207,-0.07141864651711471,-0.03753680349978872,-0.04285562819248878,-0.04775718873874579,-0.06784255035539104,004020
21,Hyundai_Motor,운송장비·부품,2019,Q2,-0.03283632735337244,-0.01977752451615311,-0.0016073528023548,-0.17798441463015324,-0.017241379310344973,-0.0731555192378921,-0.09469806769240718,-0.03364680857695568,-0.04406457289472976,-0.03703752066622257,0.16993522742238673,005380
21,POSCO_Holdings,금속,2019,Q2,-0.015092777773248002,-0.00853373846354577,-0.01819054743967352,-0.17798441463015324,-0.017241379310344973,-0.054993006177837644,-0.1185563862955501,-0.026439735644024243,-0.04584569705175112,-0.025223805266615607,-0.03602417008907364,005490
21,SL_Corp,운송장비·부품,2019,Q2,0.055677637508454426,-0.4768126347684354,-0.5734360448172551,-0.17798441463015324,-0.017241379310344973,-0.05885321731635118,-0.05885321731635118,-0.05885321731635118,-0.05885321731635118,-0.05885321731635096,0.08796079777914681,005850
21,Motonic,운송장비·부품,2019,Q2,0.16014239605088287,-0.028970817658067416,0.3361394402357767,-0.17798441463015324,-0.017241379310344973,-0.058794424130981904,-0.058794424130981904,-0.05879442413098168,-0.058794424130981904,-0.05879442413098168,-0.12274769940688154,009680
21,Korea_Zinc,금속,2019,Q2,0.037861694296496905,-0.029114350644456666,0.00913448568879327,-0.17798441463015324,-0.017241379310344973,-0.058727056314779036,-0.058727056314779036,-0.058727056314779036,-0.058727056314778814,-0.058727056314779036,0.02913062972123731,010130
