,Code
0,000050
0,000080
1,000270
1,000480
0,001120
0,001680
0,001740
0,003200
0,003300
0,003410
1,003570
0,003620
0,003920
0,004170
0,004370
0,004700
0,005180
0,005300
0,005380
0,005610
0,005850
0,007070
0,007310
0,008770
0,009240
0,009680
0,010140
0,010620
0,010690
0,010780
1,011210
1,012330
0,012450
0,012750
1,018260
0,019680
0,020000
0,021240
0,023530
0,028050
1,028260
1,030000
0,033530
0,033780
0,033920
0,034120
0,035250
0,035420
0,036570
0,036580
0,042660
0,047050
0,047810
0,049770
0,052690
0,064350
1,064960
0,069960
0,079430
0,084870
0,093050
0,097950
0,105630
0,111770
0,114090
0,139480
0,145990
