,name,sector,year,quarter,Relative Return,자본총계 변화율,비유동자산 변화율,GDP 변화율,소비자물가지수 변화율,특정 증권 등 소유 증감 수 변화율,특정 증권 등 소유 증감 비율 변화율,전체 주주 수 변화율,특정 증권 등 소유 비율 변화율,특정 증권 등 소유 수 변화율,Label,Code
1,S_hynix,전기·전자,2024,Q2,0.25888797303555333,-0.06713922790504001,-0.004985846139632155,0.0022763832415567675,0.110334699467731,0.8423903391937488,0.0,-0.03137590590399353,0.0,-0.5453294813591967,0.25193627962931453,000660
1,SEBANG_Global_Battery,전기·전자,2024,Q2,0.2994535443260211,-0.03113445936694137,-0.03577976391976856,0.0022763832415567675,0.110334699467731,-0.42286689825732005,0.7606404534147759,-0.058079268870151024,0.7606404534147758,0.7360721891695032,0.29463486543104533,004490
2,Hansol_Technics,전기·전자,2024,Q2,-0.144721861954617,-0.008615836995824244,0.006435221034244987,0.0022763832415567675,0.110334699467731,0.0,0.0,-0.058083764882772115,0.0,0.0,-0.14263672274896932,004710
2,Samsung_Electronics,전기·전자,2024,Q2,0.0026465203061935977,-0.02038124471672642,-0.008786167992265614,0.0022763832415567675,0.110334699467731,0.3697470230761357,0.0,-0.024229362675497912,0.0,0.2903908472476854,-0.037273236712712585,005930
2,Samsung_SDI,전기·전자,2024,Q2,-0.04679752726741079,-0.017273197707435184,-0.023964334780293806,0.0022763832415567675,0.110334699467731,-1.255639097744361,0.0,-0.05821784537465624,0.0,-1.7272727272727275,-0.2620431030404147,006400
1,Dong-A_Tire,전기·전자,2024,Q2,0.07618348714300807,-0.04939120442466516,-5.64705214487482e-05,0.0022763832415567675,0.110334699467731,-0.05808137394419122,-0.05808137394419144,-0.05808137394419122,-0.05808137394419144,-0.05808137394419144,-0.06125435404299678,007340
2,Samsung_Electro-Mechanics,전기·전자,2024,Q2,-0.08043528773771871,-0.022714454697080333,0.0018011829303584692,0.0022763832415567675,0.110334699467731,0.8425247546405488,0.8455114822546973,-0.05801903742111025,-0.3611859838274931,-0.3616920352279227,0.035791034542348145,009150
1,LS_Electric,전기·전자,2024,Q2,0.28500365417898715,-0.07393284790227606,-0.023715506666802444,0.0022763832415567675,0.110334699467731,0.7476104031316567,0.7487537387836491,-0.05806506818517376,-0.17226471566345203,-0.17287303837975432,1.217202008786469,010120
1,LG_Innotek,전기·전자,2024,Q2,-0.22285139327571513,0.0062936280290416535,0.011471568447205094,0.0022763832415567675,0.110334699467731,-3.9843197982538614,-3.9839875417788635,-0.05770761460466001,-0.5961061622298298,-0.5966498165969767,0.35136871112817897,011070
1,Hyundai_Elevator,기계·장비,2024,Q2,-0.12022291732393092,-0.03838079129395333,-0.06495072518847045,0.0022763832415567675,0.110334699467731,0.4792246471205478,0.49090909090909085,-0.058058269380095284,0.04611018835443703,0.046198193770923934,0.04177189578636729,017800
1,Hanon_Systems,기계·장비,2024,Q2,-0.24363413417197227,-0.01323734752066752,-0.0007040876165964605,0.0022763832415567675,0.110334699467731,0.0,0.0,-0.05794978161452158,0.0,0.0,-0.21650213492955497,018880
1,Iljin_Materials,전기·전자,2024,Q2,0.12399803244686469,-0.00039218523909667624,0.01883408306463996,0.0022763832415567675,0.110334699467731,-0.3612933794644888,0.6000623411545796,-0.05808230075683052,0.08119144811137058,-0.5322900552245695,0.06071047600314299,020150
1,Korea_Electric_Terminal,전기·전자,2024,Q2,-0.2273777090651888,-0.04207012998187665,0.015951752605118164,0.0022763832415567675,0.110334699467731,1.3284126238564942,1.3255813953488373,-0.05808164040197994,0.0121212121212122,0.012205522951337477,0.08060354505184875,025540
2,Sindoh,전기·전자,2024,Q2,0.17676682658586543,-0.02379491187046967,0.006170629957431117,0.0022763832415567675,0.110334699467731,-0.05808051542550685,-0.05808051542550663,-0.05808051542550685,-0.05808051542550663,-0.05808051542550685,-0.06218059478285402,029530
1,Doosan_Heavy_Industries,기계·장비,2024,Q2,0.031956948333023684,-0.020015771723288278,-0.006114131080935614,0.0022763832415567675,0.110334699467731,0.07172024042859015,1.0,-0.057416035837875246,1.0,0.08539624696322357,0.1423290057679901,034020
1,LG_Display,전기·전자,2024,Q2,-0.13811075186326682,0.0878966190952527,0.058314935059422535,0.0022763832415567675,0.110334699467731,0.747509386381662,0.747423207602044,-0.059504498267461736,0.7474232076020441,0.747423207602044,0.047166876745258025,034220
1,Doosan_Infracore,기계·장비,2024,Q2,-0.014161550587814577,-0.0037275646243526417,0.0020052128817958925,0.0022763832415567675,0.110334699467731,-228.39875564077718,-276.50243376339506,-0.05802444701582066,-510.070608014815,-421.44023811626164,-0.10947712397746684,042670
1,Hanmi_Semiconductor,기계·장비,2024,Q2,1.1158748713323203,0.060178383823695114,0.12312141403799282,0.0022763832415567675,0.110334699467731,0.45271428571428574,-0.22222222222222232,-0.058081894880493756,-0.00215537437915847,-0.0015060546295699861,0.26802149884628473,042700
1,LG_Electronics,전기·전자,2024,Q2,-0.11411610678362283,-0.05473680958014038,-0.004651055179744068,0.0022763832415567675,0.110334699467731,0.009538856890606073,0.0,-0.06089261082424757,0.0,-1.4879007452019155,0.14441600009759753,066570
1,Doosan_Engine,기계·장비,2024,Q2,-0.06412724622467045,-0.03913118259721382,-0.04119930923326365,0.0022763832415567675,0.110334699467731,-1.125066059418368,-1.7128801431127,-0.05807731105611946,0.31612175873731685,0.2899817879978368,0.5748091500959981,082740
