code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),총포괄손익,자본금
270,Kia,Transportation,2017,Q1,15316472000000.0,22958543000000.0,38275015000000.0,10256428000000.0,5213570000000.0,15469998000000.0,,22805017000000.0,8048992000000.0,486838000000.0,983128000000.0,813803000000.0,813803000000.0,,
660,SK_Hynix,Electronics,2017,Q1,9395986000000.0,24047535000000.0,33443521000000.0,4969305000000.0,3938114000000.0,8907419000000.0,17466776000000.0,24536102000000.0,6195897000000.0,2388002000000.0,2334379000000.0,1872337000000.0,1872337000000.0,,
3550,LG_Corporation,etc,2017,Q1,938092000000.0,8114482000000.0,9052574000000.0,490174000000.0,168464000000.0,658638000000.0,5083680000000.0,8393936000000.0,408826000000.0,362109000000.0,621009000000.0,583086000000.0,583086000000.0,,,,
3670,POSCO_Future_M,Electronics,2017,Q1,424090200244.0,300072253882.0,724162454126.0,128614040061.0,2244683087.0,130858723148.0,543689165228.0,593303730978.0,278960184037.0,29676144314.0,30449958376.0,23014506599.0,23014506599.0,,
5380,Hyundai_Motor,Transportation,2017,Q1,23980715000000.0,45728560000000.0,69709275000000.0,10851839000000.0,6104260000000.0,16956099000000.0,48561967000000.0,52753176000000.0,10317549000000.0,758908000000.0,1207696000000.0,967374000000.0,967374000000.0,,
5490,POSCO_Holdings,Metal,2017,Q1,12322560121585.0,40292307256938.0,52614867378523.0,2948203351451.0,4930789959828.0,7878993311279.0,43309442602676.0,44735874067244.0,7067446142569.0,795427494743.0,1070660119575.0,839636930840.0,839636930840.0,,,
5930,Samsung_Electronics,Electronics,2017,Q1,60869192000000.0,112184637000000.0,173053829000000.0,33947859000000.0,2527689000000.0,36475548000000.0,141770989000000.0,136578281000000.0,34578524000000.0,5675571000000.0,6309744000000.0,4873767000000.0,4873767000000.0,,
6400,Samsung_SDI,Electronics,2017,Q1,2484311330877.0,10411482439184.0,12895793770061.0,1785510008138.0,1057675122369.0,2843185130507.0,356712130000.0,4634227508254.0,10052608639554.0,1216387764971.0,-76455551302.0,-87940410278.0,-43793026121.0,-43793026121.0,
9150,Samsung_Electro_Mechanics,Electronics,2017,Q1,1766828012291.0,3504974398568.0,5271802410859.0,977615165299.0,300020704217.0,1277635869516.0,388003400000.0,3994166541343.0,1221801366535.0,-5564876152.0,-3142509603.0,-2382022280.0,-2382022280.0,,
9540,Korea_Shipbuilding_&_Offshore_Engineering,Transportation,2017,Q1,9459021036000.0,12822847244000.0,29337413940000.0,16368789472000.0,2116832564000.0,22641363176000.0,11914569244000.0,6696050764000.0,2809249099000.0,62871251000.0,204402029000.0,212025539000.0,212025539000.0,380000000000.0,
10130,Korea_Zinc,Metal,2017,Q1,2695845440830.0,3206209224809.0,5902054665639.0,426623569855.0,126370574285.0,552994144140.0,5188668535248.0,5349060521499.0,1338544821997.0,208047167557.0,196337509169.0,147690318382.0,147690318382.0,,
10950,S_Oil,Chemistry,2017,Q1,8767756000000.0,6211203000000.0,14978959000000.0,5698095000000.0,3161958000000.0,8860053000000.0,4472723000000.0,6118906000000.0,5200155000000.0,333453000000.0,524414000000.0,397309000000.0,397309000000.0,291512000000.0,
11170,Lotte_Chemical,Chemistry,2017,Q1,4430642160500.0,10351390036831.0,14782032197331.0,2795794436823.0,2693803900869.0,5489598337692.0,171377095000.0,8138843380181.0,9292433859639.0,2658195534306.0,697479719938.0,738390681555.0,543764061287.0,543764061287.0,
12330,Hyundai_Mobis,Transportation,2017,Q1,11606712000000.0,13819614000000.0,25426326000000.0,4672904000000.0,445726000000.0,5118630000000.0,18818263000000.0,20307696000000.0,4955268000000.0,458008000000.0,636041000000.0,528302000000.0,528302000000.0,,
15760,Korea_Electric_Power,Electronics,2017,Q1,8993624000000.0,96605257000000.0,105598881000000.0,20362357000000.0,30726894000000.0,51089251000000.0,3209820000000.0,36754822000000.0,54509630000000.0,15193328000000.0,-783980000000.0,89223000000.0,317624000000.0,317624000000.0,
17670,SK_Telecom,Communication,2017,Q1,3642803000000.0,21080350000000.0,24723153000000.0,4578804000000.0,6105829000000.0,10684633000000.0,13648573000000.0,14038520000000.0,3087956000000.0,439396000000.0,489633000000.0,388206000000.0,388206000000.0,,,
18260,Samsung_SDS,IT_Service,2017,Q1,2880882206184.0,2389874030722.0,5270756236906.0,688415974845.0,61673659092.0,750089633937.0,38688900000.0,3290046002911.0,4520666602969.0,1052841024480.0,74001090482.0,85952096875.0,68657301854.0,68657301854.0,
18880,Hanon_Systems,Machines,2017,Q1,1101459586649.0,1717558226041.0,2819017812690.0,556582598299.0,629099998570.0,1185682596869.0,1303352586600.0,1633335215821.0,617827235761.0,31623994327.0,8668818403.0,7157119381.0,7157119381.0,,
28260,Samsung_C&T,Distribution,2017,Q1,8280800531142.0,26926483472204.0,35235819594818.0,8875695219719.0,7358243602166.0,16233938821885.0,4080164181533.0,19001880772933.0,4662924298843.0,57361676450.0,-1363823077246.0,-1022910556371.0,-1022910556371.0,,
30200,KT_Corporation,Communication,2017,Q1,4502150000000.0,19175092000000.0,23677242000000.0,5636506000000.0,6855537000000.0,12492043000000.0,11185199000000.0,4161418000000.0,318923000000.0,358270000000.0,284585000000.0,284585000000.0,,,,
33780,KT&G,Food,2017,Q1,4320554352242.0,3805332229328.0,8125886581570.0,1595641909284.0,148159590742.0,1743801500026.0,954959485000.0,252720176636.0,6382085081544.0,725989618804.0,319888141436.0,315585757206.0,253158833263.0,253158833263.0,
34220,LG_Display,Electronics,2017,Q1,7805248000000.0,13772891000000.0,21578139000000.0,5794558000000.0,3216512000000.0,9011070000000.0,8526877000000.0,12567069000000.0,6542947000000.0,759011000000.0,648546000000.0,514112000000.0,514112000000.0,,
34730,SK_Inc,etc,2017,Q1,1341353000000.0,17671654000000.0,19013007000000.0,1490789000000.0,5211660000000.0,6702449000000.0,7563924000000.0,12310558000000.0,652278000000.0,617811000000.0,591317000000.0,591317000000.0,1237215000000.0,,,
35420,NAVER,IT_Service,2017,Q1,2242572479758.0,1805940773478.0,4048513253236.0,887506009686.0,272140387726.0,1159646397412.0,4105822038527.0,2888866855824.0,678909041526.0,271339474575.0,282853558794.0,213009298027.0,213009298027.0,,,,
35720,Kakao,IT_Service,2017,Q1,493467178215.0,4345826037094.0,4839293215309.0,556632441838.0,840911675462.0,1397544117300.0,355623404646.0,3441749098009.0,225888837172.0,16491972428.0,26497010425.0,75407941252.0,75407941252.0,,,
36570,NCSoft,IT_Service,2017,Q1,983221104355.0,1305975618767.0,2289196723122.0,248805126580.0,178128160515.0,426933287095.0,1492779436686.0,1862263436027.0,193604437699.0,40323378802.0,26372579976.0,20646600537.0,20646600537.0,,,
51900,LG_Household_&_Health_Care,Chemistry,2017,Q1,1005401494426.0,2352523941108.0,3357925435534.0,1153806571236.0,280732170706.0,1434538741942.0,1807407480245.0,1923386693592.0,994317665807.0,198906098329.0,227287853889.0,173786267067.0,173786267067.0,,
51910,LG_Chem,Chemistry,2017,Q1,7032828000000.0,11454948000000.0,18487776000000.0,3748675000000.0,425111000000.0,4173786000000.0,11992867000000.0,14313990000000.0,5187315000000.0,591596000000.0,513369000000.0,412130000000.0,412130000000.0,,
66570,LG_Electronics,Electronics,2017,Q1,9116929000000.0,18243404000000.0,27360333000000.0,11697261000000.0,6659373000000.0,18356634000000.0,904169000000.0,5084196000000.0,9003699000000.0,7704231000000.0,297294000000.0,367832000000.0,298200000000.0,298200000000.0,
68270,Celltrion,Medicine_Production,2017,Q1,1128307463434.0,1731690404179.0,2859997867613.0,539407727476.0,136655666310.0,676063393786.0,122426543000.0,1338991325172.0,2183934473827.0,175832739170.0,90788301357.0,82158139272.0,68249096544.0,68249096544.0,
