code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),총포괄손익,자본금
270,Kia,Transportation,2018,Q4,12990133000000.0,24159469000000.0,37149602000000.0,8132675000000.0,7019237000000.0,15151912000000.0,18367594000000.0,21997690000000.0,8854147000000.0,230508000000.0,65540000000.0,33847000000.0,33847000000.0,,
660,SK_Hynix,Electronics,2018,Q4,15897819000000.0,45082789000000.0,60980608000000.0,11681290000000.0,3638425000000.0,15319715000000.0,40326128000000.0,45660893000000.0,9988984000000.0,4345019000000.0,4600234000000.0,3395460000000.0,3395460000000.0,3657652000000.0,
3550,LG_Corporation,etc,2018,Q4,397618000000.0,8930024000000.0,9327642000000.0,145653000000.0,83248000000.0,228901000000.0,5776908000000.0,9098741000000.0,103700000000.0,47379000000.0,10870000000.0,72825000000.0,72825000000.0,879359000000.0,
3670,POSCO_Future_M,Electronics,2018,Q4,416986502637.0,420879090818.0,837865593455.0,140970986398.0,3085449106.0,144056435504.0,643131931459.0,693809157951.0,353646531225.0,27750048038.0,28238196004.0,21414226269.0,21414226269.0,29535000000.0,
5380,Hyundai_Motor,Transportation,2018,Q4,22325069000000.0,47083668000000.0,69408737000000.0,12737313000000.0,4429408000000.0,17166721000000.0,47803780000000.0,52242016000000.0,12415337000000.0,-87248000000.0,-303114000000.0,610747000000.0,610747000000.0,1488993000000.0,
5490,POSCO_Holdings,Metal,2018,Q4,16796400047219.0,37329579638935.0,54125979686154.0,3895972889381.0,4957905021987.0,8853877911368.0,45175458896631.0,45272101774786.0,7288182174243.0,876567465377.0,-788295027314.0,-1167534767153.0,-1167534767153.0,482403125000.0,
5930,Samsung_Electronics,Electronics,2018,Q4,80039455000000.0,138981902000000.0,219021357000000.0,43145053000000.0,2888179000000.0,46033232000000.0,166555532000000.0,172988125000000.0,38814830000000.0,7536232000000.0,7848125000000.0,6073136000000.0,6073136000000.0,897514000000.0,
6400,Samsung_SDI,Electronics,2018,Q4,3790745494595.0,11515372588548.0,15306118083143.0,2790083713511.0,1755007765247.0,4545091478758.0,356712130000.0,5622646637967.0,10761026604385.0,2372532968210.0,245184336945.0,335356631966.0,248482932004.0,248482932004.0,
9150,Samsung_Electro_Mechanics,Electronics,2018,Q4,2098608605162.0,3350273975955.0,5448882581117.0,1068908152202.0,402405269151.0,1471313421353.0,388003400000.0,3977569159764.0,1407628711203.0,118506438013.0,79247904015.0,69198298499.0,69198298499.0,287732984993.0,
9540,Korea_Shipbuilding_&_Offshore_Engineering,Transportation,2018,Q4,8499955820000.0,11177995170000.0,19677950990000.0,6582155991000.0,1697257075000.0,8279413066000.0,15863005261000.0,11398537924000.0,2239442734000.0,-185934736000.0,-359252336000.0,-285595779000.0,-285595779000.0,353865580000.0,
10130,Korea_Zinc,Metal,2018,Q4,3303665348799.0,3150788099717.0,6454453448516.0,369025268049.0,108073726242.0,477098994291.0,5861787168275.0,5977354454225.0,1297811030566.0,139494657467.0,113191821672.0,82019440003.0,82019440003.0,94350000000.0,
10950,S_Oil,Chemistry,2018,Q4,5850562000000.0,10230950000000.0,16081512000000.0,5790228000000.0,3829695000000.0,9619923000000.0,4815325000000.0,6461589000000.0,6861257000000.0,-331613000000.0,-462088000000.0,-326672000000.0,-326672000000.0,291512000000.0,
11170,Lotte_Chemical,Chemistry,2018,Q4,4623398035816.0,10578491243169.0,15201889278985.0,2564885825816.0,1206445208437.0,3771331034253.0,171377095000.0,10311394202741.0,11430558244732.0,2282323728580.0,95959027511.0,166303600806.0,136599533025.0,136599533025.0,
12330,Hyundai_Mobis,Transportation,2018,Q4,13407569000000.0,13770188000000.0,27177757000000.0,4452892000000.0,318508000000.0,4771400000000.0,20930306000000.0,22406357000000.0,5924725000000.0,512770000000.0,445438000000.0,316269000000.0,316269000000.0,491096000000.0,
15760,Korea_Electric_Power,Electronics,2018,Q4,8916468000000.0,98569911000000.0,107486379000000.0,18223846000000.0,35180764000000.0,53404610000000.0,4053578000000.0,36390335000000.0,54081769000000.0,15132147000000.0,-794437000000.0,-804046000000.0,-551571000000.0,-551571000000.0,
17670,SK_Telecom,Communication,2018,Q4,4679378000000.0,24168645000000.0,28848023000000.0,4178068000000.0,7782468000000.0,11960536000000.0,16467789000000.0,16887487000000.0,2849694000000.0,259318000000.0,197901000000.0,166367000000.0,166367000000.0,44639000000.0,
18260,Samsung_SDS,IT_Service,2018,Q4,3860862108168.0,2317241067064.0,6178103175232.0,912977182323.0,94477770715.0,1007454953038.0,38688900000.0,3970871146845.0,5170648222194.0,1388981038489.0,193743283528.0,190331683913.0,127282956936.0,127282956936.0,
18880,Hanon_Systems,Machines,2018,Q4,1640151379702.0,1878223372525.0,3518374752227.0,905830356803.0,1075995775600.0,1981826132403.0,1256896721358.0,1536548619824.0,684123072783.0,-64560588125.0,-115307777591.0,-94590894933.0,-94590894933.0,53380000000.0,
28260,Samsung_C&T,Distribution,2018,Q4,9221284034330.0,24660499494377.0,33881783528707.0,9712877422348.0,5271626654609.0,14984504076957.0,6232107021020.0,18897279451750.0,5228764618095.0,174529385362.0,349713338912.0,228635206471.0,228635206471.0,19131748300.0,
30200,KT_Corporation,Communication,2018,Q4,6861619000000.0,19149287000000.0,26010906000000.0,5908497000000.0,7390681000000.0,13299178000000.0,12711728000000.0,4418179000000.0,58406000000.0,-109301000000.0,-168073000000.0,-168073000000.0,1564499000000.0,10740042000000.0,
33780,KT&G,Food,2018,Q4,4418631764114.0,4311283870155.0,8729915634269.0,1289017915821.0,75676425167.0,1364694340988.0,954959485000.0,791026709122.0,7365221293281.0,682918920067.0,240086994410.0,201519444427.0,135999959511.0,135999959511.0,
34220,LG_Display,Electronics,2018,Q4,6378339000000.0,20683767000000.0,27062106000000.0,7416630000000.0,6432895000000.0,13849525000000.0,9172389000000.0,13212581000000.0,6521414000000.0,68741000000.0,24407000000.0,32039000000.0,32039000000.0,1789079000000.0,
34730,SK_Inc,etc,2018,Q4,767217000000.0,20609451000000.0,21376668000000.0,2504333000000.0,5704199000000.0,8208532000000.0,8743527000000.0,13168136000000.0,45714000000.0,494587000000.0,473157000000.0,473157000000.0,1674633000000.0,15385000000.0,
35420,NAVER,IT_Service,2018,Q4,1226980759079.0,4701611694177.0,5928592453256.0,1210779989603.0,160930619841.0,1371710609444.0,5655540684179.0,4556881843812.0,931968304842.0,344900750180.0,334748997376.0,245456410868.0,245456410868.0,16481339500.0,
35720,Kakao,IT_Service,2018,Q4,1261479760000.0,4941359118843.0,6202838878843.0,1250705990145.0,200789638807.0,1451495628952.0,579442074110.0,4751343249891.0,,40471993151.0,14201233470.0,-915302524.0,-915302524.0,41743886500.0,
36570,NCSoft,IT_Service,2018,Q4,1475896160802.0,1406115463746.0,2882011624548.0,382745748412.0,77318634841.0,460064383253.0,2202120852796.0,,363939901551.0,145806128401.0,133170607122.0,95111775360.0,95111775360.0,10969511000.0,
51900,LG_Household_&_Health_Care,Chemistry,2018,Q4,944326320432.0,2742885339326.0,3687211659758.0,759176531069.0,119551158138.0,878727689207.0,2693293687104.0,2808483970551.0,1017802268205.0,167768113992.0,154096738327.0,104221396251.0,104221396251.0,88589470000.0,
51910,LG_Chem,Chemistry,2018,Q4,8602837000000.0,15127741000000.0,23730578000000.0,4320708000000.0,2859964000000.0,7180672000000.0,14255592000000.0,16549906000000.0,6093943000000.0,299123000000.0,208399000000.0,173837000000.0,173837000000.0,391406000000.0,
66570,LG_Electronics,Electronics,2018,Q4,7838343000000.0,20027120000000.0,27865463000000.0,10758238000000.0,7744345000000.0,18502583000000.0,904169000000.0,5460710000000.0,9362880000000.0,6471822000000.0,-624139000000.0,-1053467000000.0,-852495000000.0,-852495000000.0,
68270,Celltrion,Medicine_Production,2018,Q4,1482310007849.0,1888329253915.0,3370639261764.0,548121290075.0,218455704094.0,766576994169.0,125456133000.0,1793330987094.0,2604062267595.0,210974267038.0,18088190388.0,19504626698.0,19941148769.0,19941148769.0,
86280,Hyundai_Glovis,Transportation,2018,Q4,3363877793979.0,4018173066393.0,7382050860372.0,2414130830277.0,1241189024666.0,3655319854943.0,18750000000.0,3726731005429.0,3587201045135.0,153790814621.0,165381931560.0,120702280391.0,120702280391.0,3498463332623.0,
90430,Amorepacific,Chemistry,2018,Q4,1074549004391.0,3604392050517.0,4678941054908.0,330367534923.0,111762829305.0,442130364228.0,3490112254943.0,4236810690680.0,799088274445.0,19820086114.0,8303372934.0,7558690978.0,7558690978.0,34508160000.0,
96770,SK_Innovation,Chemistry,2018,Q4,1500027432000.0,14346802663000.0,15846830095000.0,418939327000.0,2427788566000.0,2846727893000.0,7800368291000.0,13000102202000.0,1061398230000.0,563983526000.0,567361242000.0,,,468569950000.0,
