code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익
80,Hite_Jinro,Consumer_Goods_&_Retail,2023,Q2,"808,326,000,784","2,267,800,964,257","3,076,126,965,041","1,501,415,009,937","464,612,376,872","1,966,027,386,809","320,753,848,547","1,110,099,578,232",569937530109.0,5573668491.0,-8716689150.0,-8650337696.0,-8650337696.0,"368,842,230,000",
1680,Daesang,Consumer_Goods_&_Retail,2023,Q2,"1,398,605,765,998","1,589,074,435,544","2,987,680,201,542","733,150,339,395","929,617,830,156","1,662,768,169,551","1,047,151,779,067","1,324,912,031,991",837956846231.0,31586090539.0,38200101678.0,33120761119.0,33120761119.0,"36,018,248,000",
2790,AmoreG,Consumer_Goods_&_Retail,2023,Q2,"398,549,958,677","1,760,047,613,460","2,158,597,572,137","13,335,862,486","21,438,412,170","34,774,274,656","1,391,246,559,798","2,123,823,297,481",,-3014210607.0,816334674.0,679927542.0,679927542.0,"47,997,075,000",
4170,Shinsegae,Consumer_Goods_&_Retail,2023,Q2,"693,152,385,005","7,824,185,360,081","8,517,337,745,086","2,448,721,982,560","2,107,406,318,513","4,556,128,301,073","3,506,361,256,637","3,961,209,444,013",469656640429.0,54280300823.0,20105211067.0,11966675135.0,11966675135.0,"49,225,905,000",
4700,Chokwang_Leather,Consumer_Goods_&_Retail,2023,Q2,"94,080,019,342","407,003,014,699","501,083,034,041","11,415,099,425","62,522,016,793","73,937,116,218","253,884,203,274","427,145,917,823",33672476723.0,1268343208.0,3235811335.0,2284278781.0,2284278781.0,"34,245,690,000",
5300,Lotte_Chilsung_Beverage,Consumer_Goods_&_Retail,2023,Q2,"942,614,875,487","2,598,976,361,778","3,541,591,237,265","989,632,444,300","1,146,142,144,066","2,135,774,588,366","2,012,782,794,949","1,405,816,648,899",736076214178.0,50127591953.0,35886183282.0,27484515906.0,27484515906.0,"5,027,097,000",
5850,SL_Corp,Consumer_Goods_&_Retail,2023,Q2,"1,136,950,121,205","925,286,284,717","2,062,236,405,922","438,897,135,645","31,656,941,736","470,554,077,381","1,082,347,376,574","1,591,682,328,541",694038236813.0,68847929284.0,82118494761.0,66809231272.0,66809231272.0,"23,224,260,000",
7070,GS_Retail,Consumer_Goods_&_Retail,2023,Q2,"1,437,622,056,409","6,769,864,760,486","8,207,486,816,895","1,801,030,031,179","2,252,754,180,975","4,053,784,212,154","2,908,792,289,459","4,153,702,604,741",2767248304923.0,82672405021.0,55761773640.0,45604446417.0,45604446417.0,"104,717,922,000",
9240,Hanssem,Consumer_Goods_&_Retail,2023,Q2,"282,660,198,403","680,545,832,626","963,206,031,029","339,427,062,707","177,092,380,857","516,519,443,564","643,435,565,611","446,686,587,465",389002298079.0,-1131711200.0,-10002107871.0,,,"23,533,928,000",-5238376304.0
14830,UNID,Consumer_Goods_&_Retail,2023,Q2,"354,313,561,045","619,701,290,792","974,014,851,837","293,411,774,801","29,164,224,956","322,575,999,757","811,433,806,820","651,438,852,080",175811112499.0,17357908828.0,22092559198.0,19742495929.0,19742495929.0,"33,838,000,000",
21240,Coway,Consumer_Goods_&_Retail,2023,Q2,"1,062,667,824,685","2,436,777,691,889","3,499,445,516,574","908,176,126,015","519,949,953,162","1,428,126,079,177","1,927,044,214,404","2,071,319,437,397",678759530328.0,143391059202.0,145436638364.0,107957616657.0,107957616657.0,"40,662,398,000",
23530,Lotte_Shopping,Consumer_Goods_&_Retail,2023,Q2,"2,328,817,299,537","21,353,127,915,465","23,681,945,215,002","6,482,424,747,173","7,861,102,276,672","14,343,527,023,845","8,566,931,787,787","9,338,418,191,157",2134915199625.0,33799572248.0,36577594501.0,74743383133.0,74743383133.0,"141,443,775,000",
29530,Sindoh,Consumer_Goods_&_Retail,2023,Q2,"686,308,947,648","345,721,175,916","1,032,030,123,564","72,995,831,674","11,491,526,429","84,487,358,103","821,762,308,565","947,542,765,461",96306545386.0,5061739165.0,17208258613.0,13335361898.0,13335361898.0,"50,400,145,000",
30000,Cheil_Worldwide,Consumer_Goods_&_Retail,2023,Q2,"593,319,833,321","478,535,062,709","1,071,854,896,030","407,109,096,440","24,940,575,763","432,049,672,203","765,583,776,201","639,805,223,827",314267606620.0,29727618294.0,45808836016.0,35635258788.0,35635258788.0,"23,008,245,000",
33780,KT&G,Consumer_Goods_&_Retail,2023,Q2,"3,486,331,195,087","6,220,738,592,424","9,707,069,787,511","1,725,334,571,491","68,623,137,069","1,793,957,708,560","441,851,570,490","7,913,112,078,951",882640778674.0,243789763516.0,275517706440.0,201946988688.0,201946988688.0,"954,959,485,000",
51900,LG_Household & Health Care,Consumer_Goods_&_Retail,2023,Q2,"1,284,991,950,121","3,823,344,752,974","5,108,336,703,095","479,731,979,416","164,739,034,788","644,471,014,204","4,255,817,637,279","4,463,865,688,891",925627329331.0,71652389813.0,69355305326.0,53913710687.0,53913710687.0,"88,589,470,000",
69960,Hyundai_Department_Store,Consumer_Goods_&_Retail,2023,Q2,"1,432,694,971,000","6,477,836,088,000","7,910,531,059,000","2,537,940,591,000","1,141,772,180,000","3,679,712,771,000","3,559,875,502,000","4,230,818,288,000",429173840000.0,41646027000.0,15568378000.0,12295987000.0,12295987000.0,"117,012,205,000",
78520,Able_C&C,Consumer_Goods_&_Retail,2023,Q2,"115,381,984,097","74,823,626,746","190,205,610,843","44,192,922,664","16,048,909,758","60,241,832,422","98,814,603,891","129,963,778,421",57563185052.0,1604074768.0,917577165.0,992531098.0,992531098.0,"13,516,729,500",
79430,Hyundai_Livart,Consumer_Goods_&_Retail,2023,Q2,"463,656,888,646","395,867,171,817","859,524,060,463","391,665,829,643","36,045,967,595","427,711,797,238","312,043,278,256","431,812,263,225",385867521070.0,3316703022.0,2287399515.0,1869677849.0,1869677849.0,"20,535,282,000",
84870,Basic_House,Consumer_Goods_&_Retail,2023,Q2,"83,149,250,650","25,828,667,588","108,977,918,238","41,691,080,483","3,037,908,341","44,728,988,824","38,904,236,092","64,248,929,414",53284333418.0,5181385660.0,4608338162.0,4513776808.0,4513776808.0,"23,187,175,712",
90430,Amorepacific,Consumer_Goods_&_Retail,2023,Q2,"1,382,326,140,020","3,907,151,267,475","5,289,477,407,495","304,725,119,558","120,102,068,435","424,827,187,993","4,086,967,302,927","4,864,650,219,502",605265173942.0,6756689663.0,12392465150.0,11791944102.0,11791944102.0,"34,525,294,500",
93050,LF_Corp,Consumer_Goods_&_Retail,2023,Q2,"745,261,639,019","1,213,018,317,894","1,958,279,956,913","202,633,356,099","224,471,014,701","427,104,370,800","1,190,107,882,071","1,531,175,586,113",330809556938.0,14209532659.0,3056589591.0,16698638827.0,16698638827.0,"146,200,000,000",
97950,CJ_CheilJedang,Consumer_Goods_&_Retail,2023,Q2,"2,243,032,754,000","9,185,252,775,000","11,428,285,529,000","2,830,893,308,000","3,079,164,268,000","5,910,057,576,000","3,981,121,320,000","5,518,227,953,000",1862841364000.0,59005286000.0,26257310000.0,27404321000.0,27404321000.0,"81,908,095,000",
105630,Hansea,Consumer_Goods_&_Retail,2023,Q2,"721,778,511,129","328,411,701,070","1,050,190,212,199","446,595,327,407","12,842,429,955","459,437,757,362","540,293,591,467","590,752,454,837",413061922066.0,37991552379.0,32885206555.0,27391446849.0,27391446849.0,"20,000,000,000",
111770,Youngone_Corporation,Consumer_Goods_&_Retail,2023,Q2,"936,989,689,731","1,465,137,035,093","2,402,126,724,824","593,407,939,427","124,157,192,906","717,565,132,333","909,482,547,729","1,684,561,592,491",597610523737.0,76389803450.0,86690813762.0,46968691267.0,46968691267.0,"22,155,734,000",
115390,Lock_&_Lock,Consumer_Goods_&_Retail,2023,Q2,"135,366,797,459","434,621,779,666","569,988,577,125","35,118,883,646","24,694,713,378","59,813,597,024","168,561,684,844","510,174,980,101",53444661781.0,-1497526276.0,21953888612.0,21282119865.0,21282119865.0,"27,500,000,000",
139480,Emart,Consumer_Goods_&_Retail,2023,Q2,"1,928,652,353,448","17,939,878,236,080","19,868,530,589,528","4,850,782,549,327","4,670,204,345,066","9,520,986,894,393","5,130,464,062,965","10,347,543,695,135",3596547592209.0,-25809816850.0,-95450117833.0,-79019500063.0,-79019500063.0,,
170900,Dong-A_ST,Consumer_Goods_&_Retail,2023,Q2,"509,272,639,677","715,487,793,996","1,224,760,433,673","192,367,586,536","357,080,193,808","549,447,780,344","209,614,430,262","675,312,653,329",154146326680.0,8754068369.0,6178285834.0,4813436150.0,4813436150.0,"43,073,540,000",
185750,Jongkundang,Consumer_Goods_&_Retail,2023,Q2,"727,635,090,147","432,159,650,336","1,159,794,740,483","333,692,630,608","146,205,868,631","479,898,499,239","438,332,886,746","679,896,241,244",391841158630.0,43391862077.0,43254770810.0,41831071673.0,41831071673.0,"31,421,160,000",43284722572.0
