code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익
50,Kyungbang,Materials_&_Chemicals,2016,Q3,"76,193,537,509","1,163,744,551,249","1,239,938,088,758","111,285,390,324","436,900,394,072","548,185,784,396","678,276,437,248","691,752,304,362",75683341205.0,9624986007.0,7763394315.0,6076603775.0,6076603775.0,,
480,Chosun_Refractories,Materials_&_Chemicals,2016,Q3,"209,256,983,791","379,217,904,040","588,474,887,831","118,107,135,805","8,358,512,736","126,465,648,541","356,667,302,072","462,009,239,290",113616953501.0,5883312248.0,5445744754.0,4153888525.0,4153888525.0,,
670,Youngpoong,Materials_&_Chemicals,2016,Q3,"510,580,806,822","1,626,072,944,403","2,136,653,751,225","109,391,682,293","324,543,739,183","433,935,421,476","1,699,538,010,010","1,702,718,329,749",290291582325.0,7564732852.0,8912187890.0,6891697087.0,6891697087.0,,
1230,Dongkuk_Steel,Materials_&_Chemicals,2016,Q3,"1,623,145,678,000","4,794,009,444,000","6,417,155,122,000","2,703,431,930,000","977,159,430,000","3,680,591,360,000","1,204,825,941,000","2,736,563,762,000",1104514024000.0,49967515000.0,90331111000.0,69274058000.0,69274058000.0,"588,974,125,000",
1430,SeAH_Besteel,Materials_&_Chemicals,2016,Q3,"584,305,806,884","1,852,780,158,136","2,437,085,965,020","188,131,417,410","641,434,406,653","829,565,824,063","1,086,083,872,478","1,607,520,140,957",382510841691.0,9752723802.0,15617111294.0,,,,
2240,KIS_Wire,Materials_&_Chemicals,2016,Q3,"231,245,909,341","1,137,169,899,176","1,368,415,808,517","234,133,488,616","92,453,676,578","326,587,165,194","1,004,193,786,509","1,041,828,643,323",105179100219.0,5215041233.0,9098942937.0,,,,
2380,KCC,Materials_&_Chemicals,2016,Q3,"1,701,637,798,458","7,361,302,877,413","9,062,940,675,871","1,512,592,164,006","1,452,407,383,535","2,964,999,547,541","4,198,209,283,175","6,097,941,128,330",776080329480.0,85414281164.0,75324282672.0,56117565914.0,56117565914.0,,
3030,SeAH_Steel,Materials_&_Chemicals,2016,Q3,"502,813,361,773","1,100,179,186,878","1,602,992,548,651","323,610,817,201","125,768,115,880","449,378,933,081","1,027,374,147,227","1,153,613,615,570",308879232734.0,4993083497.0,5328430682.0,4081774150.0,4081774150.0,,
3200,Ilshin_Spinning,Materials_&_Chemicals,2016,Q3,"173,649,973,754","386,072,225,271","559,722,199,025","45,051,563,414","20,965,965,640","66,017,529,054","468,632,489,076","493,704,669,971",80977149590.0,1661559632.0,-123865631.0,-114312732.0,-114312732.0,"12,000,000,000",
3300,Hanil_Cement,Materials_&_Chemicals,2016,Q3,"728,938,392,689","1,254,203,595,855","1,983,141,988,544","364,168,317,114","267,533,181,505","631,701,498,619","1,285,968,365,286","1,351,440,489,925",266670929666.0,24556308949.0,-17355087949.0,-23221297025.0,-23221297025.0,,
3410,Ssangyong_Cement,Materials_&_Chemicals,2016,Q3,"303,309,266,294","2,052,925,158,864","2,356,234,425,158","558,283,404,612","318,493,376,937","876,776,781,549","259,140,235,706","1,479,457,643,609",342494068394.0,49910152549.0,43839353224.0,37449908369.0,37449908369.0,"465,607,925,000",
4000,Samsung_Fine Chemicals,Materials_&_Chemicals,2016,Q3,"545,797,149,775","958,870,453,003","1,504,667,602,778","215,935,449,895","216,778,292,515","432,713,742,410","599,727,627,097","1,071,953,860,368",284819174080.0,10892792400.0,9693778881.0,7647917609.0,7647917609.0,,
4020,Hyundai_Steel,Materials_&_Chemicals,2016,Q3,"5,073,157,336,375","25,112,041,841,848","30,185,199,178,223","5,527,275,755,208","8,676,909,400,508","14,204,185,155,716","10,383,323,400,527","15,981,014,022,507",3506919806879.0,320293126046.0,396569784732.0,307129197953.0,307129197953.0,,
5490,POSCO_Holdings,Materials_&_Chemicals,2016,Q3,"11,245,706,461,313","39,997,418,374,759","51,243,124,836,072","2,394,766,406,781","5,022,837,556,429","7,417,603,963,210","42,527,764,081,406","43,825,520,872,862",6106520315402.0,852422178677.0,765403490786.0,578995935125.0,578995935125.0,,
6650,Korea_Petrochemical_Ind,Materials_&_Chemicals,2016,Q3,"413,227,062,200","1,128,562,528,998","1,541,789,591,198","249,429,961,179","134,168,872,271","383,598,833,450","856,510,525,794","1,158,190,757,748",357656431542.0,68428104714.0,70194889400.0,53221144335.0,53221144335.0,,
7690,Kukdo_Chemical,Materials_&_Chemicals,2016,Q3,"318,874,862,033","265,435,779,354","584,310,641,387","123,429,440,643","56,961,992,477","180,391,433,120","328,590,787,344","403,919,208,267",143345265269.0,2411302655.0,2082930852.0,1153788660.0,1153788660.0,,
9580,Moorim_P&P,Materials_&_Chemicals,2016,Q3,"251,262,140,473","840,546,663,474","1,091,808,803,947","325,430,786,261","227,539,381,002","552,970,167,263","265,092,299,787","538,838,636,684",142198156685.0,388261356.0,9277846196.0,7510286274.0,7510286274.0,"155,920,810,000",
9830,Hanwha_Solutions,Materials_&_Chemicals,2016,Q3,"950,365,065,457","6,158,306,445,967","7,108,671,511,424","1,304,024,473,604","1,656,630,642,467","2,960,655,116,071","2,602,394,453,147","4,148,016,395,353",876915753586.0,106413290943.0,87316873434.0,69724905552.0,69724905552.0,,
10060,OCI,Materials_&_Chemicals,2016,Q3,"1,198,036,786,000","3,853,377,026,000","5,051,413,812,000","887,899,398,000","1,103,625,695,000","1,991,525,093,000","2,102,246,416,000","3,059,888,719,000",480633260000.0,7778541000.0,-9523108000.0,-8261053000.0,-8261053000.0,"127,246,855,000",
10130,Korea_Zinc,Materials_&_Chemicals,2016,Q3,"2,786,865,735,851","2,945,760,033,059","5,732,625,768,910","410,241,849,372","134,163,076,242","544,404,925,614","5,037,362,488,108","5,188,220,843,296",1264301358931.0,138113008936.0,145093727011.0,107461283756.0,107461283756.0,,
11170,Lotte_Chemical,Materials_&_Chemicals,2016,Q3,"2,962,795,543,498","9,815,891,332,506","12,778,686,876,004","1,998,237,511,738","2,491,506,823,987","4,489,744,335,725","7,338,831,970,114","8,288,942,540,279",2037779324705.0,448987172032.0,428976310910.0,313986819774.0,313986819774.0,"171,377,095,000",
11780,Kumho_Petrochemical,Materials_&_Chemicals,2016,Q3,"711,671,791,647","2,468,940,660,147","3,180,612,451,794","1,497,689,273,050","408,687,125,544","1,906,376,398,594","852,033,197,488","1,274,236,053,200",765374607001.0,15265007179.0,9252457183.0,8529526335.0,8529526335.0,,
11790,SKC,Materials_&_Chemicals,2016,Q3,"394,290,575,267","2,245,625,795,339","2,639,916,370,606","260,531,154,818","801,433,943,791","1,061,965,098,609","1,224,583,547,281","1,577,951,271,997",342091924576.0,6672958552.0,-2350909329.0,-2172269329.0,-2172269329.0,"187,672,775,000",
14680,Hansol_Chemical,Materials_&_Chemicals,2016,Q3,"85,360,089,726","383,772,863,391","469,132,953,117","160,666,644,391","47,391,525,730","208,058,170,121","171,917,004,105","261,074,782,996",81147522764.0,19626291872.0,17492145964.0,15179172172.0,15179172172.0,,
20150,Iljin_Materials,Materials_&_Chemicals,2016,Q3,"111,666,000,000","190,563,000,000","302,229,000,000","32,138,000,000","19,524,000,000","51,662,000,000","38,928,000,000","250,567,000,000",63101000000.0,5180000000.0,3020000000.0,3588000000.0,3588000000.0,"19,600,000,000",
25860,Namhae_Chemical,Materials_&_Chemicals,2016,Q3,"335,416,431,082","203,664,252,101","539,080,683,183","131,594,321,584","3,661,866,725","135,256,188,309","316,607,792,949","403,824,494,874",,5530385723.0,8480657626.0,6268045888.0,6268045888.0,,
51910,LG_Chem,Materials_&_Chemicals,2016,Q3,"7,135,432,000,000","9,809,620,000,000","16,945,052,000,000","3,461,230,000,000","278,821,000,000","3,740,051,000,000","11,680,071,000,000","13,205,001,000,000",4191206000000.0,414236000000.0,358750000000.0,279119000000.0,279119000000.0,,
69260,Huchems,Materials_&_Chemicals,2016,Q3,"272,959,352,623","394,692,124,934","667,651,477,557","86,313,181,021","85,390,465,163","171,703,646,184","315,434,236,556","495,947,831,373",148176439658.0,19083486095.0,17670342588.0,13536773790.0,13536773790.0,,
93370,Huvis,Materials_&_Chemicals,2016,Q3,"61,079,513,205","163,229,100,222","224,308,613,427","41,004,301,547","71,599,563,864","112,603,865,411","7,300,947,678","111,704,748,016",48093737999.0,9978090953.0,9109481277.0,9109481277.0,9109481277.0,"46,199,876,500",
103140,Poongsan,Materials_&_Chemicals,2016,Q3,"955,376,698,016","1,437,482,736,188","2,392,859,434,204","639,348,543,580","499,485,355,855","1,138,833,899,435","619,233,099,571","1,254,025,534,769",485084490511.0,41453293831.0,32552377964.0,24944171970.0,24944171970.0,,
104700,Korea_Steel,Materials_&_Chemicals,2016,Q3,"483,242,348,911","451,045,606,166","934,287,955,077","131,667,110,798","41,990,267,584","173,657,378,382","159,728,458,681","760,630,576,695",163329781055.0,7564236234.0,9279791102.0,7169940914.0,7169940914.0,"46,050,000,000",
