code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익(손실),자본금,총포괄손익,파생상품자산,파생상품관련손익,파생상품부채,영업비용,이자수익,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산,차입부채,이자비용,상각후원가측정금융자산,금융상품관련순손익
210,대림산업,건설,2016,Q1,2016-05-16,"6,802,820,198,339","3,733,854,031,899","10,536,674,230,238","4,400,415,810,411","1,511,820,951,845","5,912,236,762,256","3,886,003,437,492","4,624,437,467,982",1927981565892.0,58879564152.0,111015241885.0,54557960365.0,,,,,,,,,,,,,
720,현대건설,건설,2016,Q1,2016-05-16,"8,479,854,000,000","3,887,585,000,000","12,367,439,000,000","5,011,167,000,000","2,127,976,000,000","7,139,143,000,000","3,787,630,000,000","5,228,296,000,000",2443824000000.0,108505000000.0,62134000000.0,40918000000.0,,,,,,,,,,,,,
2380,KCC,건설,2016,Q1,2016-05-16,"1,653,704,820,350","6,955,388,832,152","8,609,093,652,502","1,441,381,325,082","1,374,260,198,232","2,815,641,523,314","4,104,719,346,702","5,793,452,129,188",710299889467.0,70894601338.0,60896540197.0,47472432148.0,,,,,,,,,,,,,
3300,한일시멘트,건설,2016,Q1,2016-05-16,"760,296,034,850","1,204,903,155,678","1,965,199,190,528","397,284,420,512","206,346,515,069","603,630,935,581","1,286,715,707,743","1,361,568,254,947",223974436977.0,824797409.0,11765322135.0,8766848760.0,,,,,,,,,,,,,
10780,아이에스동서,건설,2016,Q1,2016-05-16,"1,194,186,028,761","409,687,749,678","1,603,873,778,439","610,304,014,001","406,952,901,007","1,017,256,915,008","318,620,022,594","586,616,863,431",277834751168.0,51826868781.0,53623128300.0,40574987934.0,"13,635,073,500",,,,,,,,,,,,
12630,현대산업,건설,2016,Q1,2016-05-16,"2,929,110,121,947","1,694,242,419,580","4,623,352,541,527","1,694,852,961,238","486,446,720,247","2,181,299,681,485","1,950,277,974,294","2,442,052,860,042",683595787281.0,57105486917.0,51112133132.0,37938627739.0,"376,920,900,000",,,,,,,,,,,,
28050,삼성엔지니어링,건설,2016,Q1,2016-05-16,"2,878,342,360,021","1,750,735,315,254","4,629,077,675,275","2,042,024,598,196","1,661,957,061,303","3,703,981,659,499","-403,562,836,908","925,096,015,776",1099985928922.0,-29862648989.0,5092163169.0,4825891639.0,"980,000,000,000",,,,,,,,,,,,
47040,대우건설,건설,2016,Q1,2016-05-16,"6,702,420,270,963","3,250,725,796,577","9,953,146,067,540","4,833,257,502,778","2,372,643,971,610","7,205,901,474,388","397,254,823,057","2,747,244,593,152",2550336537130.0,62566663782.0,-9911196820.0,-18461089838.0,,,,,,,,,,,,,
52690,한전기술,건설,2016,Q1,2016-05-16,"357,943,497,022","517,610,018,951","875,553,515,973","346,755,778,225","110,361,161,187","457,116,939,412","420,943,035,819","418,436,576,561",117984470284.0,14050314353.0,13606637045.0,12743298411.0,"7,644,000,000",,,,,,,,,,,,
108670,LG하우시스,건설,2016,Q1,2016-05-16,"875,257,000,000","1,093,073,000,000","1,973,138,000,000","494,981,000,000","582,305,000,000","1,077,286,000,000","227,198,000,000","895,852,000,000",572505000000.0,29165000000.0,27971000000.0,22716000000.0,"50,000,000,000",,,,,,,,,,,,
