code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,파생상품자산,파생상품관련손익,파생상품부채,영업비용,이자수익,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산,차입부채,이자비용,상각후원가측정금융자산,금융상품관련순손익
210,대림산업,건설,2016,Q2,2016-08-16,"6,863,746,401,289","3,729,401,495,294","10,593,147,896,583","4,340,576,700,206","1,610,418,073,651","5,950,994,773,857","3,899,291,816,280","4,642,153,122,726",2210545189087.0,118725388861.0,39228444158.0,13288378788.0,13288378788.0,,,,,,,,,,,,,
720,현대건설,건설,2016,Q2,2016-08-12,"8,828,461,000,000","3,878,788,000,000","12,707,249,000,000","5,242,387,000,000","2,144,560,000,000","7,386,947,000,000","3,873,757,000,000","5,320,302,000,000",2806135000000.0,124405000000.0,104641000000.0,86127000000.0,86127000000.0,,,,,,,,,,,,,
2380,KCC,건설,2016,Q2,2016-08-12,"1,727,912,665,357","6,632,609,314,542","8,360,521,979,899","1,494,740,395,698","1,293,529,695,478","2,788,270,091,176","4,151,925,165,261","5,572,251,888,723",814745710811.0,86491848678.0,63019414674.0,47205818559.0,47205818559.0,,,,,,,,,,,,,
3300,한일시멘트,건설,2016,Q2,2016-08-16,"775,004,282,543","1,197,630,985,687","1,972,635,268,230","334,282,677,816","261,809,296,198","596,091,974,014","1,309,189,662,311","1,376,543,294,216",288130529531.0,28472489174.0,29654807587.0,22473954568.0,22473954568.0,,,,,,,,,,,,,
10780,아이에스동서,건설,2016,Q2,2016-08-16,"1,376,001,475,110","431,030,139,770","1,807,031,614,880","562,365,575,643","492,679,381,857","1,055,044,957,500","380,330,776,674","751,986,657,380",413726055133.0,80703652037.0,81177631224.0,61762719380.0,61762719380.0,"14,900,880,500",,,,,,,,,,,,
12630,현대산업,건설,2016,Q2,2016-08-16,"3,065,345,584,844","1,733,113,127,612","4,798,458,712,456","1,771,087,027,514","484,101,170,109","2,255,188,197,623","2,051,140,919,278","2,543,270,514,833",894547751471.0,130234677574.0,134538104759.0,100940051349.0,100940051349.0,"376,920,900,000",,,,,,,,,,,,
28050,삼성엔지니어링,건설,2016,Q2,2016-08-16,"2,838,442,481,975","1,768,433,381,137","4,606,875,863,112","2,642,088,705,933","960,593,458,557","3,602,682,164,490","-323,342,532,014","1,004,193,698,622",1608781380645.0,83971427953.0,83395556839.0,80220304894.0,80220304894.0,"980,000,000,000",,,,,,,,,,,,
47040,대우건설,건설,2016,Q2,2016-08-16,"6,433,720,519,439","3,265,528,445,242","9,699,248,964,681","4,956,691,266,912","2,012,165,464,802","6,968,856,731,714","440,072,509,609","2,730,392,232,967",2995955188371.0,105689681534.0,52544911288.0,43068322954.0,43068322954.0,,,,,,,,,,,,,
52690,한전기술,건설,2016,Q2,2016-08-12,"324,654,053,433","523,561,214,601","848,215,268,034","290,683,868,455","119,539,164,377","410,223,032,832","440,495,028,491","437,992,235,202",128026996720.0,25495358082.0,28257508393.0,23410471150.0,23410471150.0,"7,644,000,000",,,,,,,,,,,,
108670,LG하우시스,건설,2016,Q2,2016-08-16,"934,877,000,000","1,109,996,000,000","2,044,873,000,000","534,624,000,000","588,962,000,000","1,123,586,000,000","252,366,000,000","921,287,000,000",649830000000.0,36804000000.0,34040000000.0,25375000000.0,25375000000.0,"50,000,000,000",,,,,,,,,,,,
