code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,파생상품자산,파생상품관련손익,파생상품부채,영업비용,이자수익,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산,차입부채,이자비용,상각후원가측정금융자산,금융상품관련순손익
210,대림산업,건설,2022,Q1,"257,879,290,501","3,505,777,336,279","3,763,656,626,780","277,366,778,260","398,182,739,291","675,549,517,551","5,635,998,628,863","3,088,107,109,229",156689337198.0,146907120630.0,151800678708.0,141561975676.0,141561975676.0,"138,709,995,000",,,,,,,,,,,,
720,현대건설,건설,2022,Q1,"9,080,588,000,000","4,262,500,000,000","13,343,088,000,000","5,262,019,000,000","1,987,872,000,000","7,249,891,000,000","4,657,862,000,000","6,093,197,000,000",2392866000000.0,87923000000.0,173429000000.0,135022000000.0,135022000000.0,"562,052,000,000",,,,,,,,,,,,
2380,KCC,건설,2022,Q1,"2,299,643,468,533","6,832,549,807,592","9,132,193,276,125","2,080,099,885,644","2,164,830,483,302","4,244,930,368,946","4,593,908,890,869","4,887,262,907,179",591633937664.0,25257365346.0,-26442586185.0,-40486140780.0,-40486140780.0,"48,084,660,000",,,,,,,,,,,,
3300,한일시멘트,건설,2022,Q1,"331,051,741,972","763,996,869,908","1,095,048,611,880","173,798,950,977","176,906,199,727","350,705,150,704","1,700,082,378,911","744,343,461,176",29135021870.0,26091409089.0,26728032999.0,26288431022.0,26288431022.0,"31,342,450,000",,,,,,,,,,,,
3410,쌍용양회,건설,2022,Q1,"513,610,925,446","2,607,871,867,335","3,121,482,792,781","435,861,896,045","1,078,794,328,288","1,514,656,224,333","1,538,977,800,065","1,606,826,568,448",253782305739.0,-4509474009.0,31354259242.0,30954366497.0,30954366497.0,"50,385,959,500",,,,,,,,,,,,
10780,아이에스동서,건설,2022,Q1,"1,858,772,698,062","1,221,435,169,076","3,080,207,867,138","1,390,257,432,002","422,051,251,994","1,812,308,683,996","855,770,241,256","1,267,899,183,142",487482079618.0,103137850315.0,101144460995.0,77809465090.0,77809465090.0,"15,446,303,000",,,,,,,,,,,,
12630,현대산업,건설,2022,Q1,"172,233,986,615","2,183,054,309,566","2,355,288,296,181","71,655,927,557","244,698,416,957","316,354,344,514","3,197,677,213,178","2,038,933,951,667",34065595445.0,28456210976.0,38261647824.0,34254469680.0,34254469680.0,"298,708,605,000",,,,,,,,,,,,
28050,삼성엔지니어링,건설,2022,Q1,"2,381,852,203,533","1,558,867,570,720","3,940,719,774,253","2,252,492,432,539","198,538,312,558","2,451,030,745,097","450,017,016,776","1,489,689,029,156",1531451550961.0,116449379959.0,129272444262.0,98106949447.0,98106949447.0,"980,000,000,000",,,,,,,,,,,,
47040,대우건설,건설,2022,Q1,"6,207,631,678,968","3,172,617,477,285","9,380,249,156,253","4,700,551,108,559","1,803,701,149,261","6,504,252,257,820","596,610,035,653","2,875,996,898,433",2121328484400.0,199650946427.0,198454756423.0,148168963505.0,148168963505.0,"2,078,113,190,000",,,,,,,,,,,,
52690,한전기술,건설,2022,Q1,"280,606,124,346","452,650,715,412","733,256,839,758","212,035,463,954","14,258,537,819","226,294,001,773","509,995,160,556","506,962,837,985",92935561953.0,-4917013762.0,-2388823142.0,-1668280309.0,-1668280309.0,"7,644,000,000",,,,,,,,,,,,
108670,LG하우시스,건설,2022,Q1,"887,704,000,000","1,221,691,000,000","2,109,395,000,000","1,002,200,000,000","328,534,000,000","1,330,734,000,000","116,780,000,000","778,661,000,000",727137000000.0,5958000000.0,-4989000000.0,-5290000000.0,-5290000000.0,"50,000,000,000",,,,,,,,,,,,
