code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,파생상품자산,파생상품관련손익,파생상품부채,영업비용,이자수익,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산,차입부채,이자비용,상각후원가측정금융자산,금융상품관련순손익
50,경방,경기소비재,2016,Q4,"80,538,916,944","1,156,485,470,863","1,237,024,387,807","120,641,481,446","426,137,362,192","546,778,843,638","676,787,816,444","690,245,544,169",82370943398.0,13491875932.0,10711690289.0,7570344792.0,7570344792.0,,,,,,,,,,,,,
240,한국타이어월드와이드,경기소비재,2016,Q4,"513,074,619,786","1,756,281,242,693","2,269,355,862,479","15,668,796,849","66,125,486,362","81,794,283,211","847,999,087,380","2,187,561,579,268",,3781823558.0,6301362455.0,4867483443.0,4867483443.0,,,,,,,,,,,,,
270,기아차,경기소비재,2016,Q4,"13,405,152,000,000","22,774,359,000,000","36,179,511,000,000","9,654,996,000,000","4,904,394,000,000","14,559,390,000,000","17,860,267,000,000","21,620,121,000,000",8783852000000.0,520700000000.0,246222000000.0,200192000000.0,200192000000.0,,,,,,,,,,,,,
1740,SK네트웍스,경기소비재,2016,Q4,"2,870,083,562,837","5,022,342,104,248","7,892,425,667,085","3,940,526,494,885","1,595,540,890,126","5,536,067,385,011","914,824,337,397","2,356,358,282,074",4429939726287.0,47277821050.0,590514495.0,-103594897733.0,-103594897733.0,"648,653,775,000",,,,,,,,,,,,
2350,넥센타이어,경기소비재,2016,Q4,"697,859,734,738","1,528,504,560,942","2,226,364,295,680","338,388,222,588","754,791,328,968","1,093,179,551,556","1,032,594,320,393","1,133,184,744,124",367196607881.0,40788600075.0,49470458871.0,39081644838.0,39081644838.0,,,,,,,,,,,,,
3200,일신방직,경기소비재,2016,Q4,"179,600,562,830","388,060,008,638","567,660,571,468","48,543,603,018","21,064,598,804","69,608,201,822","472,554,654,986","498,052,369,646",80774781740.0,4910697251.0,5026098969.0,3922165910.0,3922165910.0,"12,000,000,000",,,,,,,,,,,,
3620,쌍용차,경기소비재,2016,Q4,"679,572,861,017","1,491,211,314,998","2,170,784,176,015","944,944,592,566","405,669,623,189","1,350,614,215,755","4,965,820,653","820,169,960,260",1001779090526.0,10074067376.0,21118106221.0,21118106221.0,21118106221.0,,,,,,,,,,,,,
4150,한솔홀딩스,경기소비재,2016,Q4,"3,105,261,020","624,087,851,795","627,193,112,815","50,317,647,141","2,363,738,014","52,681,385,155","225,643,690,233","574,511,727,660",11214472491.0,2000523988.0,-76285403646.0,-69654592542.0,-69654592542.0,,,,,,,,,,,,,
4170,신세계,경기소비재,2016,Q4,"419,334,189,234","5,452,502,874,680","5,871,837,063,914","1,596,736,543,321","1,287,003,601,833","2,883,740,145,154","1,884,183,767,339","2,988,096,918,760",471735571734.0,79844783076.0,113724554182.0,87043340323.0,87043340323.0,,,,,,,,,,,,,
4490,세방전지,경기소비재,2016,Q4,"700,705,120,684","372,592,120,886","1,073,297,241,570","234,899,308,104","9,826,086,205","244,725,394,309","770,706,138,587","828,571,847,261",276900870718.0,22672835291.0,26471879578.0,20538224942.0,20538224942.0,,,,,,,,,,,,,
4700,조광피혁,경기소비재,2016,Q4,"102,077,050,249","124,559,364,408","226,636,414,657","18,040,624,427","3,430,747,173","21,471,371,600","161,785,316,565","205,165,043,057",43617523870.0,4216552142.0,5295728451.0,4571408276.0,4571408276.0,"34,245,690,000",,,,,,,,,,,,
5380,현대차,경기소비재,2016,Q4,"24,175,403,000,000","45,562,266,000,000","69,737,669,000,000","11,209,671,000,000","6,242,005,000,000","17,451,676,000,000","48,111,726,000,000","52,285,993,000,000",10632730000000.0,-9969453000000.0,-8515483000000.0,,,,,,,,,,,,,,,
5850,에스엘,경기소비재,2016,Q4,"447,383,946,313","366,818,931,566","814,202,877,879","158,693,099,274","24,089,160,024","182,782,259,298","470,693,426,647","631,420,618,581",206917679728.0,12992737419.0,18761881546.0,16618508023.0,16618508023.0,"16,932,545,000",,,,,,,,,,,,
7340,동아타이어,경기소비재,2016,Q4,"155,718,786,263","508,026,170,692","663,744,956,955","78,744,204,058","6,266,484,532","85,010,688,590","532,887,762,535","578,734,268,365",86824066419.0,4220622318.0,7209619278.0,5253888234.0,5253888234.0,"11,863,510,000",,,,,,,,,,,,
7860,서연,경기소비재,2016,Q4,"6,934,826,712","347,886,627,019","354,821,453,731","3,186,423,409","6,401,814,062","9,588,237,471","599,235,031,570","345,233,216,260",3843491326.0,-102539199.0,27296583020.0,28095710425.0,28095710425.0,,,,,,,,,,,,,
8770,호텔신라,경기소비재,2016,Q4,"946,651,826,647","1,087,540,310,386","2,034,192,137,033","619,069,716,973","636,055,176,889","1,255,124,893,862",,"779,067,243,171",786486186997.0,21655197691.0,-19267037763.0,-23060173647.0,-23060173647.0,"200,000,000,000",,,,,,,,,,,,
9240,한샘,경기소비재,2016,Q4,"475,239,407,232","360,359,624,920","835,599,032,152","308,983,688,159","12,506,030,053","321,489,718,212","504,246,098,914","514,109,313,940",528236440338.0,55278175868.0,58558594506.0,43832647929.0,43832647929.0,,,,,,,,,,,,,
9680,모토닉,경기소비재,2016,Q4,"315,540,355,639","113,754,708,734","429,295,064,373","25,974,376,651","11,450,135,593","37,424,512,244",,"391,870,552,129",47264691899.0,-869160631.0,1336075428.0,1149406627.0,1149406627.0,,,,,,,,,,,,,
10690,화신,경기소비재,2016,Q4,"422,827,542,602","262,279,730,930","685,107,273,532","212,687,760,746","32,381,301,638","245,069,062,384","430,050,572,975","440,038,211,148",132560907629.0,-1763543040.0,28140412600.0,22946211384.0,22946211384.0,,,,,,,,,,,,,
11210,현대위아,경기소비재,2016,Q4,"3,170,335,461,754","2,786,536,525,030","5,956,871,986,784","1,523,830,574,711","1,297,983,580,753","2,821,814,155,464","2,540,353,455,839","3,135,057,831,320",1885706009865.0,22766601194.0,55856959434.0,34571125696.0,34571125696.0,,,,,,,,,,,,,
12330,현대모비스,경기소비재,2016,Q4,"10,929,098,000,000","13,833,918,000,000","24,763,016,000,000","4,229,131,000,000","438,590,000,000","4,667,721,000,000","18,622,828,000,000","20,095,295,000,000",5555788000000.0,655279000000.0,691239000000.0,539517000000.0,539517000000.0,,,,,,,,,,,,,
12750,에스원,경기소비재,2016,Q4,"409,048,471,893","1,028,679,911,756","1,437,728,383,649","269,860,777,690","71,707,048,150","341,567,825,840","1,036,177,280,937","1,096,160,557,809",490879901564.0,51220078168.0,41227322251.0,30802586687.0,30802586687.0,"18,999,589,000",,,,,,,,,,,,
18880,한온시스템,경기소비재,2016,Q4,"865,459,820,042","1,692,336,648,578","2,557,796,468,620","628,376,318,764","342,073,350,753","970,449,669,517","1,336,230,467,219","1,587,346,799,103",632477845737.0,11777206753.0,40089583628.0,27218067607.0,27218067607.0,,,,,,,,,,,,,
19680,대교,경기소비재,2016,Q4,"320,582,137,825","489,376,222,485","809,958,360,310","131,363,925,425","17,498,073,524","148,861,998,949","558,251,457,303","661,096,361,361",188928165772.0,12181199752.0,19222658910.0,16389086704.0,16389086704.0,,,,,,,,,,,,,
20000,한섬,경기소비재,2016,Q4,"527,790,625,668","504,106,010,788","1,031,896,636,456","152,655,720,475","4,599,266,443","157,254,986,918","763,132,016,675","874,641,649,538",245323648844.0,27110740673.0,25941042748.0,18738594142.0,18738594142.0,,,,,,,,,,,,,
21240,코웨이,경기소비재,2016,Q4,"777,532,092,161","1,195,117,524,564","1,972,649,616,725","682,260,522,505","42,262,970,584","724,523,493,089","1,233,995,233,337","1,248,126,123,636",553380263648.0,103831888756.0,121671744515.0,92174315369.0,92174315369.0,,,,,,,,,,,,,
