code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,파생상품자산,파생상품관련손익,파생상품부채,영업비용,이자수익,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산,차입부채,이자비용,상각후원가측정금융자산,금융상품관련순손익
50,경방,경기소비재,2020,Q3,2020-11-13,"200,361,728,224","1,113,850,397,920","1,314,212,126,144","300,170,811,492","258,192,029,167","558,362,840,659","758,378,531,435","755,849,285,485",58605521133.0,5520455739.0,2201372442.0,6064725241.0,6064725241.0,"13,707,635,000",,,,,,,,,,,,
240,한국타이어월드와이드,경기소비재,2020,Q3,2020-11-13,"203,266,516,727","2,132,535,563,405","2,335,802,080,132","15,425,310,071","68,962,197,445","84,387,507,516","913,288,371,691","2,251,414,572,616",11613991754.0,6268162852.0,6679281118.0,4042242337.0,4042242337.0,"46,510,086,500",,,,,,,,,,,,
270,기아차,경기소비재,2020,Q3,2020-11-13,"17,137,962,000,000","26,540,997,000,000","43,678,959,000,000","13,181,445,000,000","6,125,391,000,000","19,306,836,000,000","20,699,382,000,000","24,372,123,000,000",9269666000000.0,407833000000.0,370024000000.0,278970000000.0,278970000000.0,,,,,,,,,,,,,
1740,SK네트웍스,경기소비재,2020,Q3,2020-11-16,"2,307,242,000,000","4,368,658,000,000","6,675,900,000,000","2,946,346,000,000","1,756,320,000,000","4,702,666,000,000","710,454,000,000","1,973,234,000,000",1896776000000.0,-5565000000.0,-21745000000.0,-13364000000.0,-13364000000.0,"648,654,000,000",,,,,,,,,,,,
2350,넥센타이어,경기소비재,2020,Q3,2020-11-16,"865,575,709,220","1,748,916,051,171","2,614,491,760,391","407,987,674,375","648,882,362,136","1,056,870,036,511","1,439,642,645,315","1,557,621,723,880",323796534985.0,19361267976.0,17106766109.0,13213736160.0,13213736160.0,"54,083,938,500",,,,,,,,,,,,
3200,일신방직,경기소비재,2020,Q3,2020-11-16,"257,236,657,637","325,518,415,612","582,755,073,249","82,417,093,465","15,137,594,892","97,554,688,357","468,894,777,919","485,200,384,892",71760912602.0,-2060946750.0,1147798565.0,635500743.0,635500743.0,"12,000,000,000",,,,,,,,,,,,
3620,쌍용차,경기소비재,2020,Q3,2020-11-16,"420,012,500,250","1,270,620,450,947","1,690,632,951,197","940,641,933,690","648,692,426,735","1,589,334,360,425","-726,064,239,478",,709443296723.0,-92346151079.0,-101742396918.0,-101742396918.0,-101742396918.0,"749,200,010,000",,,,,,,,,,,,
4150,한솔홀딩스,경기소비재,2020,Q3,2020-11-13,"38,241,497,341","384,953,291,543","423,194,788,884","13,796,485,663","2,044,068,202","15,840,553,865","63,153,029,456","407,354,235,019",,2947289538.0,2926098979.0,2592870855.0,2592870855.0,"42,008,577,000",,,,,,,,,,,,
4170,신세계,경기소비재,2020,Q3,2020-11-16,"397,391,450,562","7,186,766,570,718","7,584,158,021,280","1,937,534,690,904","2,078,254,070,699","4,015,788,761,603","3,001,345,032,855","3,568,369,259,677",363807011445.0,28183848385.0,13741057960.0,27708018079.0,27708018079.0,"49,225,905,000",,,,,,,,,,,,
4490,세방전지,경기소비재,2020,Q3,2020-11-16,"932,746,824,372","424,425,182,224","1,357,172,006,596","246,816,218,199","15,137,137,708","261,953,355,907","1,050,962,181,497","1,095,218,650,689",264883951598.0,21491572468.0,26885763081.0,20719633022.0,20719633022.0,"7,000,000,000",,,,,,,,,,,,
