code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익(손실),자본금,총포괄손익,파생상품자산,파생상품관련손익,파생상품부채,영업비용,이자수익,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산,차입부채,이자비용,상각후원가측정금융자산,금융상품관련순손익
50,경방,경기소비재,2021,Q4,2022-03-18,"66,773,086,436","1,147,416,467,386","1,214,189,553,822","163,333,450,206","284,140,919,355","447,474,369,561","782,149,131,208","766,715,184,261",82988874967.0,14615290862.0,10159979942.0,6485118911.0,"13,707,635,000",,,,,,,,,,,,
240,한국타이어월드와이드,경기소비재,2021,Q4,2022-03-22,"662,801,597,050","2,296,594,158,469","2,959,395,755,519","209,279,307,308","61,148,758,985","270,428,066,293","940,861,946,437","2,688,967,689,226",213534159941.0,20488351271.0,17664943805.0,11676780817.0,"47,467,620,000",,,,,,,,,,,,
270,기아차,경기소비재,2021,Q4,2022-03-21,"17,683,237,000,000","27,505,529,000,000","45,188,766,000,000","12,926,547,000,000","6,686,307,000,000","19,612,854,000,000","21,838,662,000,000","25,575,912,000,000",11406259000000.0,1396532000000.0,1251267000000.0,877618000000.0,,,,,,,,,,,,,
1740,SK네트웍스,경기소비재,2021,Q4,2022-03-21,"2,104,246,000,000","3,576,300,000,000","5,680,546,000,000","2,312,733,000,000","1,321,992,000,000","3,634,725,000,000","724,758,000,000","2,045,821,000,000",2093999000000.0,-4961000000.0,4535000000.0,-18066000000.0,"648,654,000,000",,,,,,,,,,,,
2350,넥센타이어,경기소비재,2021,Q4,2022-03-18,"1,038,538,638,082","1,787,717,277,644","2,826,255,915,726","563,883,997,599","692,841,822,856","1,256,725,820,455","1,455,173,202,941","1,569,530,095,271",357285657737.0,-40153669192.0,-44345398134.0,-37607375149.0,"54,083,938,500",,,,,,,,,,,,
3200,일신방직,경기소비재,2021,Q4,2022-03-16,"270,836,952,086","365,204,161,908","636,041,113,994","115,358,655,602","15,987,358,414","131,346,014,016","488,085,721,087","504,695,099,978",126061033280.0,11847140643.0,11254989984.0,8395116677.0,"12,000,000,000",,,,,,,,,,,,
3620,쌍용차,경기소비재,2021,Q4,2022-03-31,"439,115,224,271","1,418,646,742,499","1,857,761,966,770","1,340,226,099,113","594,074,653,201","1,934,300,752,314","-1,126,465,233,779",,655031634170.0,-21308605381.0,-16415999036.0,-16415999036.0,"749,200,010,000",,,,,,,,,,,,
4150,한솔홀딩스,경기소비재,2021,Q4,2022-03-17,"64,779,046,034","386,883,346,281","451,662,392,315","9,393,600,006","7,373,035,329","16,766,635,335","330,456,117,235","434,895,756,980",,1320156280.0,3958506241.0,2931892410.0,"42,008,577,000",,,,,,,,,,,,
4170,신세계,경기소비재,2021,Q4,2022-03-16,"481,167,633,180","7,239,862,978,410","7,721,030,611,590","2,037,583,212,804","1,922,546,874,325","3,960,130,087,129","3,184,859,889,382","3,760,900,524,461",479483841847.0,97710624176.0,-11419707502.0,-1718470860.0,"49,225,905,000",,,,,,,,,,,,
4490,세방전지,경기소비재,2021,Q4,2022-03-15,"962,134,739,696","515,759,739,912","1,477,894,479,608","288,920,006,686","7,871,104,374","296,791,111,060","1,134,167,865,679","1,181,103,368,548",353729467107.0,20079377201.0,22574308002.0,14976213981.0,"7,000,000,000",,,,,,,,,,,,
4700,조광피혁,경기소비재,2021,Q4,2022-03-17,"84,580,230,235","356,330,329,539","440,910,559,774","12,488,603,080","51,440,341,239","63,928,944,319","241,800,049,269","376,981,615,455",22726183641.0,158451102.0,548460948.0,432490890.0,"34,245,690,000",,,,,,,,,,,,
