code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,파생상품자산,파생상품관련손익,파생상품부채,영업비용,이자수익,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산,차입부채,이자비용,상각후원가측정금융자산,금융상품관련순손익
120,CJ대한통운,산업재,2022,Q4,"1,876,858,992,726","5,948,254,465,449","7,825,113,458,175","2,389,398,677,808","2,008,965,117,644","4,398,363,795,452","769,438,840,906","3,426,749,662,723",2102921458855.0,74152241482.0,76274925450.0,60974293146.0,60974293146.0,"114,061,720,000",,,,,,,,,,,,
150,두산,산업재,2022,Q4,"791,840,426,697","4,220,970,917,388","5,012,811,344,085","779,950,804,443","1,049,343,606,143","1,829,294,410,586","3,388,478,542,156","3,183,516,933,499",,-15338369315.0,-105122606123.0,-74532281550.0,-74532281550.0,"123,738,105,000",,,,,,,,,,,,
1120,LG상사,산업재,2022,Q4,"1,205,318,025,547","2,577,532,563,916","3,782,850,589,463","874,838,016,649","598,516,072,718","1,473,354,089,367","2,007,581,046,082","2,309,496,500,096",979906611149.0,21718872135.0,123047774829.0,27733458446.0,27733458446.0,"193,800,000,000",,,,,,,,,,,,
3490,대한항공,산업재,2022,Q4,"7,610,903,375,017","20,454,827,240,084","28,065,730,615,101","8,243,665,907,562","10,596,440,356,946","18,840,106,264,508","2,452,869,869,398","9,225,624,350,593",3606777707073.0,520082417760.0,620525867234.0,353982275982.0,353982275982.0,"1,846,657,275,000",,,,,,,,,,,,
3570,S&T중공업,산업재,2022,Q4,"439,004,404,355","474,690,173,336","913,694,577,691","168,800,811,561","88,015,163,366","256,815,974,927","637,686,223,004","656,878,602,764",118456796396.0,11392460709.0,8660600566.0,7698772778.0,7698772778.0,"85,631,742,500",,,,,,,,,,,,
6260,LS,산업재,2022,Q4,"113,689,000,000","5,180,804,000,000","5,294,493,000,000","250,767,000,000","1,072,199,000,000","1,322,966,000,000","3,726,432,000,000","3,971,527,000,000",,154836000000.0,129566000000.0,132599000000.0,132599000000.0,"161,000,000,000",,,,,,,,,,,,
10120,LS산전,산업재,2022,Q4,"1,537,239,250,335","1,222,535,092,156","2,759,774,342,491","935,222,273,774","361,863,409,619","1,297,085,683,393","1,343,128,415,152","1,462,688,659,098",623246221308.0,17102905296.0,30412647580.0,27005455153.0,27005455153.0,"150,000,000,000",,,,,,,,,,,,
11200,현대상선,산업재,2022,Q4,"14,155,355,000,000","11,528,854,000,000","25,684,209,000,000","1,999,970,000,000","3,067,702,000,000","5,067,672,000,000","10,376,965,000,000","20,616,537,000,000",3494746000000.0,1261695000000.0,1496056000000.0,1438867000000.0,1438867000000.0,"2,445,197,000,000",,,,,,,,,,,,
25540,한국단자,산업재,2022,Q4,"544,932,043,100","570,284,278,106","1,115,216,321,206","295,043,509,514","48,364,442,942","343,407,952,456","738,153,739,335","771,808,368,750",308680104829.0,17742260660.0,-13995895166.0,-10939352647.0,-10939352647.0,"5,207,500,000",,,,,,,,,,,,
47050,대우인터내셔널,산업재,2022,Q4,"5,235,843,158,000","3,954,898,061,000","9,190,741,219,000","3,830,745,057,000","2,010,596,256,000","5,841,341,313,000","2,201,243,932,000","3,349,399,906,000",6546648718000.0,95873028000.0,30228751000.0,24224753000.0,24224753000.0,"616,875,745,000",,,,,,,,,,,,
47810,한국항공우주,산업재,2022,Q4,"5,362,706,782,175","2,343,959,182,307","7,706,665,964,482","5,027,527,903,156","1,226,454,247,173","6,253,982,150,329","836,993,152,907","1,452,683,814,153",861174547656.0,38544286765.0,-44642529618.0,-20177600504.0,-20177600504.0,"487,375,535,000",,,,,,,,,,,,
51600,한전KPS,산업재,2022,Q4,"861,705,222,267","693,747,301,304","1,555,452,523,571","316,496,990,571","28,204,538,467","344,701,529,038","1,202,131,473,919","1,210,750,994,533",397622592495.0,48007528930.0,42224105265.0,29862506415.0,29862506415.0,"9,000,000,000",,,,,,,,,,,,
86280,현대글로비스,산업재,2022,Q4,"6,410,729,164,766","5,175,375,558,824","11,586,104,723,590","3,560,378,764,712","2,169,253,244,160","5,729,632,008,872","5,650,454,507,587","5,856,472,714,718",5278632685752.0,404065140099.0,448285201548.0,380911426871.0,380911426871.0,"18,750,000,000",,,,,,,,,,,,
