code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익(손실),자본금,총포괄손익,파생상품자산,파생상품관련손익,파생상품부채,영업비용,이자수익,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산,차입부채,이자비용,상각후원가측정금융자산,금융상품관련순손익
80,하이트진로,생활소비재,2019,Q3,2019-11-14,"737,530,400,094","2,528,938,434,298","3,266,468,834,392","1,370,803,563,900","756,917,906,035","2,127,721,469,935","349,401,634,772","1,138,747,364,457",476018034355.0,46419444782.0,32170946158.0,23362628330.0,"368,842,230,000",,,,,,,,,,,,
1040,CJ,생활소비재,2019,Q3,2019-11-14,"36,906,720,000","2,776,482,734,000","2,813,389,454,000","45,199,646,000","108,939,461,000","154,139,107,000","1,704,219,698,000","2,659,250,347,000",,11646033000.0,16107620000.0,12425490000.0,"179,047,370,000",,,,,,,,,,,,
1680,대상,생활소비재,2019,Q3,2019-11-14,"784,573,003,275","1,369,023,124,723","2,153,596,127,998","664,164,328,819","495,032,946,627","1,159,197,275,446","718,466,013,337","994,398,852,552",677914899342.0,35730393617.0,28434835912.0,22261253565.0,"36,018,248,000",,,,,,,,,,,,
1800,오리온,생활소비재,2019,Q3,2019-11-14,"17,423,397,268","1,910,077,762,433","1,927,501,159,701","5,207,565,748","24,092,931,534","29,300,497,282","15,043,185,604","1,898,200,662,419",4364731560.0,1711762200.0,2177252782.0,1751214853.0,"31,322,711,000",,,,,,,,,,,,
2790,아모레G,생활소비재,2019,Q3,2019-11-14,"321,493,854,946","1,491,709,591,683","1,813,203,446,629","6,792,191,778","37,928,703,669","44,720,895,447","1,236,826,128,362","1,768,482,551,182",,82271185389.0,83669264261.0,83101949681.0,"44,450,975,000",,,,,,,,,,,,
3920,남양유업,생활소비재,2019,Q3,2019-11-14,"421,900,328,669","711,076,692,798","1,133,433,462,228","99,124,508,247","127,864,256,084","226,988,764,331","923,494,736,048","906,444,697,897",251194763411.0,-603059040.0,-866038804.0,-749469129.0,"4,433,310,000",,,,,,,,,,,,
4370,농심,생활소비재,2019,Q3,2019-11-14,"792,329,965,380","1,737,733,928,111","2,530,063,893,491","556,662,824,756","61,020,403,015","617,683,227,771","1,832,585,110,656","1,912,380,665,720",473019782786.0,10795136376.0,17434556498.0,13120915870.0,"30,413,210,000",,,,,,,,,,,,
5180,빙그레,생활소비재,2019,Q3,2019-11-14,"416,087,213,627","288,797,286,454","704,884,500,081","118,145,125,478","21,449,389,233","139,594,514,711","39,608,161,039","565,289,985,370",259505647031.0,19421332324.0,21232480510.0,16244459763.0,"49,756,205,000",,,,,,,,,,,,
5300,롯데칠성,생활소비재,2019,Q3,2019-11-14,"927,652,674,724","2,537,052,089,861","3,464,704,764,585","1,141,775,352,088","1,011,551,326,801","2,153,326,678,889","1,945,772,313,143","1,311,378,085,696",633387733196.0,47672200160.0,37303465946.0,30066944542.0,"4,384,385,000",,,,,,,,,,,,
5440,현대그린푸드,생활소비재,2019,Q3,2019-11-14,"458,443,346,000","1,267,655,349,000","1,726,098,695,000","217,069,810,000","141,957,781,000","359,027,591,000","843,834,692,000","1,367,071,104,000",403286028000.0,20542864000.0,22757535000.0,17210073000.0,"48,852,241,000",,,,,,,,,,,,
5610,삼립식품,생활소비재,2019,Q3,2019-11-14,"204,993,935,051","688,387,940,670","893,381,875,721","272,496,024,696","315,578,993,762","588,075,018,458","286,942,278,202","305,306,857,263",282892454681.0,8578705345.0,5974281773.0,4560212081.0,"43,145,045,000",,,,,,,,,,,,
5740,크라운제과,생활소비재,2019,Q3,2019-11-14,"2,397,672,922","356,149,751,178","358,547,424,100","52,931,296,635","9,152,213,982","62,083,510,617","188,569,019,080","296,463,913,483",4160733627.0,968657716.0,337678463.0,323365462.0,"7,724,036,500",,,,,,,,,,,,
7070,GS리테일,생활소비재,2019,Q3,2019-11-14,"854,554,201,089","4,584,278,089,415","5,438,832,290,504","1,566,369,450,984","1,678,501,505,381","3,244,870,956,365","1,964,956,442,152","2,193,961,334,139",2281146596136.0,73408905869.0,77734907330.0,59061879824.0,"77,000,000,000",,,,,,,,,,,,
7310,오뚜기,생활소비재,2019,Q3,2019-11-14,"588,654,374,325","1,146,755,567,222","1,735,409,941,547","416,256,783,255","170,897,174,032","587,153,957,287","1,119,163,000,266","1,148,255,984,260",531261646842.0,32060948056.0,30944415771.0,24464158804.0,"18,026,185,000",,,,,,,,,,,,
15760,한국전력,생활소비재,2019,Q3,2019-11-14,"7,971,135,000,000","99,703,067,000,000","107,674,202,000,000","17,122,320,000,000","38,109,688,000,000","55,232,008,000,000","34,762,448,000,000","52,442,194,000,000",15929809000000.0,672729000000.0,35433000000.0,-2881000000.0,"4,053,578,000,000",,,,,,,,,,,,
33780,KT&G,생활소비재,2019,Q3,2019-11-14,"4,299,849,567,639","4,725,651,869,176","9,025,501,436,815","1,295,680,228,348","128,884,265,932","1,424,564,494,280","737,964,037,617","7,600,936,942,535",723442075187.0,284882304724.0,342800431210.0,250522452292.0,"954,959,485,000",,,,,,,,,,,,
