code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,파생상품자산,파생상품관련손익,파생상품부채,영업비용,이자수익,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산,차입부채,이자비용,상각후원가측정금융자산,금융상품관련순손익
880,한화,에너지_화학,2020,Q4,"1,630,128,000,000","5,732,667,000,000","7,362,795,000,000","2,121,119,000,000","1,749,212,000,000","3,870,331,000,000","2,439,616,000,000","3,492,464,000,000",1129646000000.0,30794000000.0,26902000000.0,13535000000.0,13535000000.0,"489,550,000,000",,,,,,,,,,,,
2960,한국쉘석유,에너지_화학,2020,Q4,"120,253,033,729","28,354,696,989","148,607,730,718","48,262,478,174","2,229,398,598","50,491,876,772","90,425,068,879","98,115,853,946",49954843582.0,6235719733.0,7208229233.0,1632250409.0,1632250409.0,"7,000,000,000",,,,,,,,,,,,
3240,태광산업,에너지_화학,2020,Q4,"1,462,051,119,567","2,049,141,969,895","3,511,193,089,462","257,987,139,039","237,724,501,358","495,711,640,397","3,022,919,545,249","3,015,481,449,065",344949675384.0,-9654388632.0,-68169586130.0,-50380740499.0,-50380740499.0,"5,567,000,000",,,,,,,,,,,,
4000,삼성정밀화학,에너지_화학,2020,Q4,"505,361,138,586","1,214,556,398,827","1,719,917,537,413","169,134,996,991","11,048,984,205","180,183,981,196","1,087,358,690,636","1,539,733,556,217",301941720264.0,27854350013.0,22881307148.0,19683014878.0,19683014878.0,"129,000,000,000",,,,,,,,,,,,
4800,효성,에너지_화학,2020,Q4,"410,410,761,719","2,246,249,189,163","2,656,659,950,882","111,456,992,755","277,263,917,987","388,720,910,742","6,261,075,253,850","2,267,939,040,140",106688376802.0,41605519894.0,18943137410.0,24816264568.0,24816264568.0,"105,355,125,000",,,,,,,,,,,,
6120,SK케미칼,에너지_화학,2020,Q4,"256,153,578,115","957,357,387,401","1,213,510,965,516","117,491,398,185","128,773,259,399","246,264,657,584","1,438,528,660,744","967,246,307,932",,-5002471610.0,,7423434530.0,7423434530.0,"111,677,150,000",,,,,,,,,,,,
6650,대한유화,에너지_화학,2020,Q4,"600,482,955,087","1,373,832,861,739","1,974,315,816,826","59,495,556,393","95,286,677,181","154,782,233,574","1,517,889,075,202","1,819,533,583,252",508216734438.0,81581576847.0,62614647992.0,48057204652.0,48057204652.0,"41,000,000,000",,,,,,,,,,,,
7690,국도화학,에너지_화학,2020,Q4,"341,662,146,769","425,913,668,391","767,575,815,160","216,672,793,375","74,755,272,598","291,428,065,973","419,474,736,729","476,147,749,187",225622631838.0,7786054593.0,5972564223.0,4614266005.0,4614266005.0,"29,053,080,000",,,,,,,,,,,,
9830,한화케미칼,에너지_화학,2020,Q4,"2,092,799,425,548","8,533,615,206,754","10,626,414,632,302","2,408,747,376,467","2,493,445,749,309","4,902,193,125,776","4,149,575,142,051","5,724,221,506,526",1469080595516.0,60731848895.0,-3773869802.0,-3123244275.0,-3123244275.0,"821,170,655,000",,,,,,,,,,,,
10060,OCI,에너지_화학,2020,Q4,"791,858,357,000","2,577,116,921,000","3,368,975,278,000","541,975,383,000","492,680,866,000","1,034,656,249,000","1,391,440,531,000","2,334,319,029,000",313932425000.0,21100372000.0,-249050460000.0,-192666674000.0,-192666674000.0,"127,246,855,000",,,,,,,,,,,,
10950,S-Oil,에너지_화학,2020,Q4,"4,982,211,000,000","10,689,636,000,000","15,671,847,000,000","6,552,943,000,000","3,442,311,000,000","9,995,254,000,000","4,021,258,000,000","5,676,593,000,000",4268363000000.0,81554000000.0,167946000000.0,119820000000.0,119820000000.0,"291,512,000,000",,,,,,,,,,,,
11170,롯데케미칼,에너지_화학,2020,Q4,"4,352,122,841,174","10,824,018,001,133","15,176,140,842,307","1,939,270,471,714","1,637,521,698,838","3,576,792,170,552","10,211,341,726,242","11,599,348,671,755",2354588027933.0,100511010500.0,-50470662334.0,-60407044185.0,-60407044185.0,"171,377,095,000",,,,,,,,,,,,
11780,금호석유,에너지_화학,2020,Q4,"1,189,195,679,735","2,262,234,077,499","3,451,429,757,234","922,531,766,532","393,071,955,714","1,315,603,722,246","1,791,253,504,993","2,135,826,034,988",1023519465833.0,179622266893.0,173447652950.0,129729276109.0,129729276109.0,"167,455,885,000",,,,,,,,,,,,
11790,SKC,에너지_화학,2020,Q4,"330,034,554,712","2,712,113,556,243","3,042,148,110,955","582,780,565,036","469,825,488,711","1,052,606,053,747","1,698,416,252,261","1,989,542,057,208",121659011988.0,-2476890534.0,-30746373424.0,-39928799008.0,-39928799008.0,"189,341,490,000",,,,,,,,,,,,
14680,한솔케미칼,에너지_화학,2020,Q4,"225,858,107,237","571,446,031,290","797,304,138,527","121,442,014,037","179,480,392,419","300,922,406,456","412,457,947,177","496,381,732,071",117181339863.0,22765917425.0,20708853696.0,16570326749.0,16570326749.0,"56,475,975,000",,,,,,,,,,,,
