code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익
270,Kia_Corp,운송장비·부품,2018,Q4,"12,990,133,000,000","24,159,469,000,000","37,149,602,000,000","8,132,675,000,000","7,019,237,000,000","15,151,912,000,000","18,367,594,000,000","21,997,690,000,000",8854147000000.0,230508000000.0,65540000000.0,33847000000.0,33847000000.0,,
3570,S&T_Heavy_Industries,운송장비·부품,2018,Q4,"389,835,238,849","429,578,123,249","819,413,362,098","98,428,218,726","119,766,224,565","218,194,443,291","557,852,284,196","601,218,918,807",99373887999.0,22088824956.0,23189981857.0,17190926483.0,17190926483.0,"83,683,597,500",
3620,SsangYong_Motor,운송장비·부품,2018,Q4,"575,683,830,866","1,630,379,322,688","2,206,063,153,554","993,613,040,009","517,173,701,182","1,510,786,741,191","-82,483,045,437",,1057376721168.0,-361287931.0,-2580756430.0,-2580756430.0,-2580756430.0,"689,746,980,000",
5380,Hyundai_Motor,운송장비·부품,2018,Q4,"22,325,069,000,000","47,083,668,000,000","69,408,737,000,000","12,737,313,000,000","4,429,408,000,000","17,166,721,000,000","47,803,780,000,000","52,242,016,000,000",12415337000000.0,-87248000000.0,-303114000000.0,610747000000.0,610747000000.0,"1,488,993,000,000",
5850,SL_Corp,운송장비·부품,2018,Q4,"483,000,430,238","466,475,176,109","949,475,606,347","154,755,067,606","35,841,733,436","190,596,801,042","599,763,871,337","758,878,805,305",232544816970.0,7424927662.0,748834834.0,2120473664.0,2120473664.0,"16,932,545,000",
9680,Motonic,운송장비·부품,2018,Q4,"328,686,066,499","104,622,210,143","433,308,276,642","23,555,287,920","12,607,480,557","36,162,768,477","348,705,191,945","397,145,508,165",52808341013.0,2413829103.0,2616498462.0,1847505440.0,1847505440.0,"16,500,000,000",
10140,Samsung_Heavy Industries,운송장비·부품,2018,Q4,"7,008,209,778,598","6,660,889,240,942","13,669,099,019,540","5,897,655,908,867","1,206,391,267,980","7,104,047,176,847","2,610,882,093,083","6,565,051,842,693",1219863686167.0,-154220737766.0,-161778226813.0,-130152902658.0,-130152902658.0,"3,150,574,225,000",
10620,Hyundai_Mipo_Dockyard,운송장비·부품,2018,Q4,"1,997,260,719,000","1,527,627,105,000","3,524,887,824,000","1,163,398,586,000","57,828,029,000","1,221,226,615,000","1,800,322,967,000","2,303,661,209,000",726047694000.0,3763104000.0,6994004000.0,-477803000.0,-477803000.0,"199,710,745,000",
10690,Hwashin,운송장비·부품,2018,Q4,"364,046,429,960","262,147,422,989","626,193,852,949","252,015,137,303","22,632,393,684","274,647,530,987","353,152,237,334","351,546,321,962",183614761547.0,1567841668.0,2145365085.0,4353022600.0,4353022600.0,"17,460,205,000",
11210,Hyundai_WIA,운송장비·부품,2018,Q4,"3,236,442,245,576","2,843,355,512,536","6,079,797,758,112","1,649,226,348,806","1,430,261,765,608","3,079,488,114,414","2,412,703,197,929","3,000,309,643,698",1980570289438.0,118042818.0,-6853810081.0,-2409330080.0,-2409330080.0,"135,975,415,000",
12330,Hyundai_Mobis,운송장비·부품,2018,Q4,"13,407,569,000,000","13,770,188,000,000","27,177,757,000,000","4,452,892,000,000","318,508,000,000","4,771,400,000,000","20,930,306,000,000","22,406,357,000,000",5924725000000.0,512770000000.0,445438000000.0,316269000000.0,316269000000.0,"491,096,000,000",
12450,Hanwha_Aerospace,운송장비·부품,2018,Q4,"1,262,053,255,590","2,619,033,746,698","3,881,087,002,288","1,079,832,666,353","832,281,795,930","1,912,114,462,283","1,347,401,632,670","1,968,972,540,005",308170006031.0,-21637592946.0,200612309.0,18355841731.0,18355841731.0,"265,650,000,000",
33530,Sejong_Industrial,운송장비·부품,2018,Q4,"238,537,330,084","299,735,757,871","538,273,087,955","197,161,848,409","23,830,901,855","220,992,750,264","304,513,298,665","317,280,337,691",121338880281.0,2685719417.0,6144838848.0,5374314827.0,5374314827.0,"10,226,239,500",
42660,Daewoo_Shipbuilding_&_Marine_Engineering,운송장비·부품,2018,Q4,"7,328,628,645,143","4,408,147,024,384","11,736,775,669,527","5,292,815,867,000","2,712,193,589,054","8,005,009,456,054","541,514,382,198","3,731,766,213,473",2849795367028.0,327443157234.0,262914375138.0,247596366900.0,247596366900.0,"541,028,760,000",
47810,Korea_Aerospace_Industries,운송장비·부품,2018,Q4,"2,339,640,073,896","1,395,360,572,282","3,735,000,646,178","1,665,594,115,812","1,020,092,942,906","2,685,687,058,718","433,622,926,214","1,049,313,587,460",866790380135.0,75283451901.0,59650003116.0,47505722008.0,47505722008.0,"487,375,535,000",
64350,Hyundai_Rotem,운송장비·부품,2018,Q4,"2,551,587,031,000","1,189,861,934,000","3,741,448,965,000","1,634,297,352,000","1,059,723,433,000","2,694,020,785,000","216,917,811,000","1,047,428,180,000",585038385000.0,-231869381000.0,-267097554000.0,-262555691000.0,-262555691000.0,"425,000,000,000",
64960,S&T_Motiv,운송장비·부품,2018,Q4,"467,185,179,358","482,890,452,044","950,075,631,402","221,157,339,207","64,936,083,974","286,093,423,181","584,981,524,484","663,982,208,221",250651821948.0,18827549313.0,20615897091.0,13222742690.0,13222742690.0,"73,115,680,000",
