code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,파생상품자산,파생상품관련손익,파생상품부채,영업비용,이자수익,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산,차입부채,이자비용,상각후원가측정금융자산,금융상품관련순손익
660,SK하이닉스,정보기술,2023,Q3,2023-11-14,"17,567,697,000,000","76,628,197,000,000","94,195,894,000,000","15,568,486,000,000","22,840,202,000,000","38,408,688,000,000","50,028,634,000,000","55,787,206,000,000",7737724000000.0,-774739000000.0,-1074285000000.0,-739653000000.0,-739653000000.0,"3,657,652,000,000",-754194000000.0,,,,,,,,,,,
3550,LG,정보기술,2023,Q3,2023-11-14,"1,722,349,000,000","8,249,470,000,000","9,971,819,000,000","198,952,000,000","168,548,000,000","367,500,000,000","8,225,972,000,000","9,604,319,000,000",159524000000.0,87348000000.0,105936000000.0,,,"801,613,000,000",95360000000.0,,,,72176000000.0,,,,,,,
4710,한솔테크닉스,정보기술,2023,Q3,2023-11-14,"221,110,366,855","354,158,769,616","575,269,136,471","135,940,989,486","139,217,932,631","275,158,922,117","84,418,907,323","300,110,214,354",194381538591.0,11090267834.0,18160521677.0,16637751663.0,16637751663.0,"160,549,390,000",16637751663.0,,,,,,,,,,,
5930,삼성전자,정보기술,2023,Q3,2023-11-14,"74,844,254,000,000","219,646,193,000,000","294,490,447,000,000","38,156,918,000,000","30,125,495,000,000","68,282,413,000,000","221,190,271,000,000","226,208,034,000,000",45866224000000.0,-2167988000000.0,5101915000000.0,10416811000000.0,10416811000000.0,"897,514,000,000",10471395000000.0,,,,,,,,,,,
6400,삼성SDI,정보기술,2023,Q3,2023-11-14,"5,945,786,398,707","13,390,288,127,824","19,336,074,526,531","4,810,986,051,802","1,161,778,241,878","5,972,764,293,680","7,930,335,325,573","13,363,310,232,851",5022722267132.0,261098982983.0,231537387787.0,217554255440.0,217554255440.0,"356,712,130,000",224607136666.0,,,,,,,,,,,
8060,대덕전자,정보기술,2023,Q3,2023-11-14,"125,739,932,359","396,847,232,858","522,587,165,217","1,716,610,329","151,910,209","1,868,520,538","13,385,796,881","520,718,644,679",1646127765.0,284449093.0,2079773259.0,1502932514.0,1502932514.0,"17,551,253,500",1522878180.0,,,,1361678672.0,,,,,,,
9150,삼성전기,정보기술,2023,Q3,2023-11-14,"3,999,357,672,792","4,355,974,991,749","8,355,332,664,541","2,133,486,341,520","357,218,676,576","2,490,705,018,096","190,451,530,565","5,864,627,646,445",1843772955908.0,29708489538.0,73978901841.0,62707169803.0,62707169803.0,"388,003,400,000",78160807895.0,,,,,,,,,,,
11070,LG이노텍,정보기술,2023,Q3,2023-11-09,"4,973,408,623,265","5,041,565,211,572","10,014,973,834,837","4,166,850,400,292","2,230,075,278,742","6,396,925,679,034","2,343,373,493,026","3,618,048,155,803",4657962163898.0,144556794045.0,114132451754.0,101297500926.0,101297500926.0,"118,335,535,000",115285750493.0,,,,,,,,,,,
18260,삼성에스디에스,정보기술,2023,Q3,2023-11-14,"3,823,403,185,335","3,538,361,354,469","7,361,764,539,804","862,012,208,806","472,111,370,089","1,334,123,578,895","4,932,203,954,751","6,027,640,960,909",1272257068479.0,79771881768.0,104883691544.0,85606684295.0,85606684295.0,"38,688,900,000",82071415445.0,,,,,,,,,,,
20150,일진머티리얼즈,정보기술,2023,Q3,2023-11-14,"292,133,878,753","480,180,081,673","772,313,960,426","136,368,838,564","39,379,029,941","175,747,868,505","151,230,076,973","596,566,091,921",79362445729.0,-6857412817.0,-6064933958.0,-5804274898.0,-5804274898.0,"23,055,417,500",-5772311203.0,,,,,,,,,,,
29530,신도리코,정보기술,2023,Q3,2023-11-14,"675,482,966,270","378,370,580,818","1,053,853,547,088","70,623,568,888","12,947,772,409","83,571,341,297","844,087,847,221","970,282,205,791",95055228579.0,6043366519.0,28889719534.0,22325538656.0,22325538656.0,"50,400,145,000",22739440330.0,,,,,,,,,,,
34220,LG디스플레이,정보기술,2023,Q3,2023-11-14,"5,655,444,000,000","24,589,554,000,000","30,244,998,000,000","16,077,680,000,000","8,407,614,000,000","24,485,294,000,000","1,719,512,000,000","5,759,704,000,000",4688687000000.0,-589179000000.0,-840903000000.0,-641314000000.0,-641314000000.0,"1,789,079,000,000",-641268000000.0,,,,,,,,,,,
34730,SK,정보기술,2023,Q3,2023-11-23,"1,719,782,000,000","27,442,537,000,000","29,162,319,000,000","5,337,961,000,000","7,373,937,000,000","12,711,898,000,000","12,947,139,000,000","16,450,421,000,000",765710000000.0,192390000000.0,35662000000.0,37728000000.0,37728000000.0,"16,143,000,000",44069000000.0,,,,,,,,,,,
42700,한미반도체,정보기술,2023,Q3,2023-11-14,"239,385,459,891","387,264,088,545","626,649,548,436","42,884,458,619","37,211,203,643","80,095,662,262","476,755,947,608","546,553,886,174",30779310857.0,3818442177.0,20894630749.0,16193338831.0,16193338831.0,"12,716,420,500",16240741275.0,,,,,,,,,,,
66570,LG전자,정보기술,2023,Q3,2023-11-14,"11,736,209,000,000","20,925,786,000,000","32,661,995,000,000","13,317,976,000,000","7,799,724,000,000","21,117,700,000,000","7,547,576,000,000","11,544,295,000,000",7412751000000.0,384426000000.0,671881000000.0,564707000000.0,564707000000.0,"904,169,000,000",625592000000.0,,,,,,,,,,,
