code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익
100,Yuhan_Corporation,제약,2016,Q4,"868,770,776,182","829,323,488,871","1,698,094,265,053","240,586,860,461","66,689,347,048","307,276,207,509","1,296,286,027,173","1,390,818,057,544",347629614045.0,20291772777.0,65016345292.0,52648436776.0,52648436776.0,,
230,Ildong_Pharmaceutical,제약,2016,Q4,"48,351,799,253","89,952,076,400","138,303,875,653","14,423,744,975","19,962,588,684","34,386,333,659","532,879,018,917","103,917,541,994",-113057444964.0,-8964391089.0,-8351206181.0,687229565.0,687229565.0,,
3000,Bukwang_Pharmaceutical,제약,2016,Q4,"132,153,975,454","117,179,811,828","249,333,787,282","16,727,588,596","5,407,282,340","22,134,870,936","221,279,847,725","227,198,916,346",36549220687.0,5059171128.0,1889023406.0,1617351849.0,1617351849.0,"18,693,760,500",
3520,Youngjin_Pharmaceutical,제약,2016,Q4,"122,729,858,698","76,624,526,145","199,354,384,843","42,918,060,369","50,268,323,853","93,186,384,222","14,388,088,331","106,168,000,621",51599634197.0,-646225287.0,-1102299662.0,-314279003.0,-314279003.0,"88,810,000,000",
6280,GC_Biopharma,제약,2016,Q4,"699,626,768,688","723,130,495,315","1,422,757,264,003","263,602,436,270","177,107,632,438","440,710,068,708","630,821,025,861","982,047,195,295",276836471006.0,8593762412.0,21941881831.0,17067634111.0,17067634111.0,,
7570,Ilyang_Pharmaceutical,제약,2016,Q4,"114,200,163,599","279,372,606,238","393,572,769,837","167,628,164,680","31,167,496,190","198,795,660,870","2,807,838,412","194,777,108,967",38910353475.0,1929643267.0,-491541091.0,-647349153.0,-647349153.0,,
9290,Kwang_Dong_Pharmaceutical,제약,2016,Q4,"258,075,282,504","287,522,603,783","545,597,886,287","141,249,455,711","37,787,495,464","179,036,951,175","305,896,263,058","366,560,935,112",154712196147.0,7726887522.0,3744157685.0,2697987013.0,2697987013.0,,
69620,Daewoong_Pharmaceutical,제약,2016,Q4,"403,022,674,603","612,224,251,931","1,015,246,926,534","202,360,569,438","295,226,272,607","497,586,842,045","432,600,976,176","517,660,084,489",213127283697.0,14749099573.0,14226030459.0,17367949216.0,17367949216.0,,
128940,Hanmi_Pharmaceutical,제약,2016,Q4,"670,598,130,550","675,577,395,313","1,346,175,525,863","518,764,436,303","292,072,783,988","810,837,220,291","119,857,718,736","535,338,305,572",123731442926.0,-19932797098.0,-53539728501.0,-42751450683.0,-42751450683.0,"26,087,777,500",
170900,Dong-A_ST,제약,2016,Q4,"560,895,995,491","505,610,163,545","1,066,506,159,036","386,131,676,684","91,248,914,220","477,380,590,904","99,768,953,928","589,125,568,132",124321133141.0,-6416300550.0,7732648674.0,7248713412.0,7248713412.0,,
185750,Jongkundang,제약,2016,Q4,"338,757,339,590","302,941,530,855","641,698,870,445","211,442,258,080","76,006,230,924","287,448,489,004","58,888,897,108","354,250,381,441",219675304546.0,20175897145.0,18121988065.0,13172120193.0,13172120193.0,,
