code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,파생상품자산,파생상품관련손익,파생상품부채,영업비용,이자수익,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산,차입부채,이자비용,상각후원가측정금융자산,금융상품관련순손익
9540,현대중공업,중공업,2017,Q4,2018-07-10,"8,552,688,501,000","11,377,526,569,000","19,930,215,070,000","7,606,239,612,000","1,828,600,708,000","9,434,840,320,000","15,925,512,111,000","10,495,374,750,000",2378187193000.0,-159068832000.0,-562923521000.0,-481446929000.0,-481446929000.0,"283,327,130,000",,,,,,,,,,,,
10140,삼성중공업,중공업,2017,Q4,2018-03-23,"6,423,393,130,756","6,826,047,683,960","13,249,440,814,716","6,826,559,434,515","755,026,459,177","7,581,585,893,692","3,057,572,508,422","5,667,854,921,024",1315333397020.0,-587898796582.0,-556496362944.0,-437748509575.0,-437748509575.0,"1,950,574,225,000",,,,,,,,,,,,
10620,현대미포조선,중공업,2017,Q4,2018-06-22,"2,336,011,627,000","1,422,017,921,000","3,758,029,548,000","1,479,802,211,000","53,127,134,000","1,532,929,345,000","1,695,735,031,000","2,225,100,203,000",489542106000.0,-34637361000.0,124809089000.0,102458780000.0,102458780000.0,"100,000,000,000",,,,,,,,,,,,
12450,한화테크윈,중공업,2017,Q4,2018-07-25,"1,121,047,993,679","2,672,866,518,145","3,793,914,511,824","839,648,354,613","913,646,710,384","1,753,295,064,997","1,265,222,547,521","2,040,619,446,827",374525974033.0,-54921090665.0,-92872135887.0,-131657471587.0,-131657471587.0,"265,650,000,000",,,,,,,,,,,,
17800,현대엘리베이,중공업,2017,Q4,2018-08-14,"752,585,912,591","946,010,849,634","1,698,596,762,225","544,469,799,897","278,323,431,845","822,793,231,742","265,241,987,580","875,803,530,483",402284827635.0,40231741979.0,-33209012090.0,-38903238687.0,-38903238687.0,"123,162,565,000",,,,,,,,,,,,
34020,두산중공업,중공업,2017,Q4,2018-03-31,"2,979,312,055,406","8,630,844,420,960","11,610,156,476,366","4,999,247,972,470","2,270,323,675,356","7,269,571,647,826","1,467,731,957,495","4,340,584,828,540",1193034601237.0,4839432808.0,-204739048888.0,-146879670867.0,-146879670867.0,"596,836,515,000",69644418161.0,,,,,,,,,,,
42660,대우조선해양,중공업,2017,Q4,2018-05-23,"6,566,788,800,347","4,455,954,988,405","11,022,743,788,752","6,042,129,334,177","2,236,598,216,570","8,278,727,550,747","-777,526,300,561","2,744,016,238,005",2489700486649.0,-327784379586.0,-441760481441.0,-857786390287.0,-857786390287.0,"538,281,440,000",,,,,,,,,,,,
42670,두산인프라코어,중공업,2017,Q4,2018-03-29,"1,314,438,080,938","3,739,462,698,115","5,053,900,779,053","2,289,259,317,505","1,418,175,225,703","3,707,434,543,208","37,060,110,917","1,346,466,235,845",643046181635.0,39798441830.0,62761160480.0,-18938928993.0,-18938928993.0,"1,040,000,595,000",,,,,,,,,,,,
64350,현대로템,중공업,2017,Q4,2018-03-30,"2,487,086,481,000","1,218,963,585,000","3,706,050,066,000","1,220,699,132,000","1,163,514,436,000","2,384,213,568,000","488,446,564,000","1,321,836,498,000",630705858000.0,-27596854000.0,-63837660000.0,-64106265000.0,-64106265000.0,"425,000,000,000",,,,,,,,,,,,
82740,두산엔진,중공업,2017,Q4,2018-03-29,"315,523,664,714","922,488,582,102","1,238,012,246,816","521,501,479,479","160,545,652,835","682,047,132,314","4,387,911,653","555,965,114,502",128051972852.0,-4372761908.0,-14309028541.0,-17242449973.0,-17242449973.0,"69,500,000,000",,,,,,,,,,,,
97230,한진중공업,중공업,2017,Q4,2018-06-15,"1,390,569,000,000","1,921,734,000,000","3,312,303,000,000","2,532,122,000,000","216,771,000,000","2,748,893,000,000","-710,560,000,000","563,410,000,000",503825000000.0,-3577000000.0,-137502000000.0,-135730000000.0,-135730000000.0,"530,263,000,000",,,,,,,,,,,,
