code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익(손실),자본금,총포괄손익,파생상품자산,파생상품관련손익,파생상품부채,영업비용,이자수익,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산,차입부채,이자비용,상각후원가측정금융자산,금융상품관련순손익
9540,현대중공업,중공업,2024,Q2,2024-08-14,"2,109,640,490,000","9,761,246,030,000","11,870,886,520,000","177,586,861,000","45,574,448,000","223,161,309,000","16,910,804,736,000","11,647,725,211,000",106013256000.0,-4498530000.0,148330388000.0,112577313000.0,"353,865,580,000",108479926000.0,,,,,,,,,,,
10140,삼성중공업,중공업,2024,Q2,2024-08-14,"9,876,070,287,343","6,831,606,026,057","16,707,676,313,400","11,979,132,192,798","870,484,347,633","12,849,616,540,431","-2,276,935,880,881","3,858,059,772,969",2527599283170.0,119259471951.0,60327872891.0,60327872891.0,"880,114,845,000",227997114853.0,,,,,,,,,,,
10620,현대미포조선,중공업,2024,Q2,2024-08-14,"2,772,843,183,000","1,985,061,934,000","4,757,905,117,000","2,532,025,577,000","245,761,625,000","2,777,787,202,000","1,414,544,147,000","1,980,117,915,000",1114417797000.0,10322347000.0,29902617000.0,24253025000.0,"199,710,745,000",23926444000.0,,,,,,,,,,,
12450,한화테크윈,중공업,2024,Q2,2024-08-14,"7,583,011,238,019","8,368,742,738,464","15,951,753,976,483","9,950,764,307,690","2,785,674,195,888","12,736,438,503,578","2,404,712,434,283","3,215,315,472,905",1547103222793.0,269353621560.0,148589897919.0,138726219345.0,"265,650,000,000",138376246722.0,,,,,,,,,,,
17800,현대엘리베이,중공업,2024,Q2,2024-08-14,"783,414,212,000","1,748,376,654,000","2,531,790,866,000","980,982,399,000","349,556,848,000","1,330,539,247,000","501,865,133,000","1,201,251,619,000",524085889000.0,42427158000.0,52671993000.0,44771943000.0,"212,235,955,000",44400849000.0,,,,,,,,,,,
34020,두산중공업,중공업,2024,Q2,2024-08-14,"4,024,291,875,688","9,770,506,516,865","13,794,798,392,553","5,798,918,856,631","1,891,792,959,634","7,690,711,816,265","286,518,963,317","6,104,086,576,288",1555700159447.0,117482224017.0,123889805593.0,111474496484.0,"3,267,326,780,000",119780504260.0,,,,,,,,,,,
42660,대우조선해양,중공업,2024,Q2,2024-08-13,"11,012,666,638,672","4,834,004,862,746","15,846,671,501,418","9,553,757,098,843","2,255,314,076,839","11,809,071,175,682","-384,877,349,290","4,037,600,325,736",2542676803398.0,-26134936279.0,-43273596930.0,-43741096605.0,"1,536,794,495,000",-44847354714.0,,,,,,,,,,,
42670,두산인프라코어,중공업,2024,Q2,2024-08-14,"1,864,588,573,233","2,087,236,702,786","3,951,825,276,019","1,570,663,242,648","521,001,698,184","2,091,664,940,832","1,540,600,594,390","1,860,160,335,187",937208819846.0,63813445963.0,68914726864.0,52167843520.0,"199,603,453,000",38827078267.0,,,,,,,,,,,
64350,현대로템,중공업,2024,Q2,2024-08-14,"3,289,803,775,000","1,515,467,186,000","4,805,270,961,000","2,863,229,729,000","171,499,100,000","3,034,728,829,000","445,438,895,000","1,770,542,132,000",1080417632000.0,118927653000.0,137424982000.0,107058424000.0,"545,711,465,000",106778865000.0,,,,,,,,,,,
82740,두산엔진,중공업,2024,Q2,2024-08-14,"699,944,852,653","520,351,331,655","1,220,296,184,308","535,412,689,217","343,200,793,868","878,613,483,085","-122,080,086,618","341,682,701,223",286485259327.0,18622976943.0,18538670970.0,14307739967.0,"83,447,142,000",14319272731.0,,,,,,,,,,,
97230,한진중공업,중공업,2024,Q2,2024-08-14,"1,602,652,000,000","1,157,800,000,000","2,760,452,000,000","2,015,511,000,000","431,171,000,000","2,446,682,000,000","-1,557,889,000,000","313,770,000,000",484600000000.0,-39914000000.0,-41433000000.0,-41460000000.0,"416,371,000,000",-41591000000.0,,,,,,,,,,,
