code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,파생상품자산,파생상품관련손익,파생상품부채,영업비용,이자수익,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산,차입부채,이자비용,상각후원가측정금융자산,금융상품관련순손익
480,조선내화,철강_소재,2020,Q1,2020-05-14,"206,894,142,935","522,468,407,185","729,362,550,120","219,895,853,955","35,217,833,309","255,113,687,264","413,373,562,432","474,248,862,856",119063158349.0,5788544746.0,6640532220.0,5409125268.0,5409125268.0,"20,000,000,000",,,,,,,,,,,,
670,영풍,철강_소재,2020,Q1,2020-05-15,"682,853,823,979","1,636,658,285,448","2,319,512,109,427","192,805,744,832","259,407,051,327","452,212,796,159","1,881,415,958,121","1,867,299,313,268",294057984959.0,2818033779.0,77754279800.0,64252060821.0,64252060821.0,"9,210,200,000",,,,,,,,,,,,
1230,동국제강,철강_소재,2020,Q1,2020-05-15,"1,487,650,691,761","3,985,557,685,443","5,473,208,377,204","2,614,932,734,266","508,787,381,204","3,123,720,115,470","569,174,868,817","2,349,488,261,734",1114350887404.0,48145423276.0,-7240817944.0,-7240817944.0,-7240817944.0,"690,953,196,364",,,,,,,,,,,,
1430,세아베스틸,철강_소재,2020,Q1,2020-05-15,"792,070,844,194","2,000,863,025,514","2,792,933,869,708","497,585,627,633","649,882,827,266","1,147,468,454,899","1,133,676,180,564","1,645,465,414,809",408654554197.0,-3908906140.0,-4153859880.0,-2960490010.0,-2960490010.0,"219,310,595,000",,,,,,,,,,,,
2240,고려제강,철강_소재,2020,Q1,2020-06-02,"251,510,808,183","1,154,727,965,050","1,406,238,773,233","230,850,295,782","87,727,197,320","318,577,493,102","1,052,993,328,905","1,087,661,280,131",113861674204.0,9285872112.0,17097656301.0,13267781290.0,13267781290.0,"20,000,000,000",,,,,,,,,,,,
3030,세아제강,철강_소재,2020,Q1,2020-05-15,"22,629,747,480","706,516,247,630","729,145,995,110","49,752,609,270","30,482,302,043","80,234,911,313","537,248,507,024","648,911,083,797",8600015314.0,7143912073.0,9697607339.0,9817330028.0,9817330028.0,"20,708,285,000",,,,,,,,,,,,
4020,현대제철,철강_소재,2020,Q1,2020-05-15,"7,720,804,616,068","23,872,300,631,095","31,593,105,247,163","5,592,736,447,157","9,609,826,056,354","15,202,562,503,511","11,273,305,224,602","16,390,542,743,652",4144332557253.0,-21289223351.0,-117733407280.0,-88636051576.0,-88636051576.0,"667,228,925,000",,,,,,,,,,,,
5090,삼광글라스,철강_소재,2020,Q1,2020-05-15,"129,655,191,183","335,338,694,143","464,993,885,326","261,764,446,611","20,992,408,057","282,756,854,668","142,502,662,395","182,237,030,658",81150371823.0,2482222384.0,6242682069.0,5381428593.0,5381428593.0,"24,272,090,000",,,,,,,,,,,,
5490,POSCO,철강_소재,2020,Q1,2020-05-15,"20,774,351,810,895","37,662,025,973,037","58,436,377,783,932","4,179,100,856,034","8,707,336,045,732","12,886,436,901,766","45,498,431,215,647","45,549,940,882,166",6969856036498.0,458110742653.0,616955954655.0,453020315302.0,453020315302.0,"482,403,125,000",,,,,,,,,,,,
9580,무림P&P,철강_소재,2020,Q1,2020-05-15,"270,345,770,105","846,699,245,795","1,117,045,015,900","235,558,216,598","283,698,560,960","519,256,777,558","324,041,901,445","597,788,238,342",142201702124.0,6462840376.0,4703892770.0,3846484342.0,3846484342.0,,,,,,,,,,,,,
10130,고려아연,철강_소재,2020,Q1,2020-05-15,"3,655,523,764,214","3,240,373,848,721","6,895,897,612,935","582,925,982,595","88,241,718,741","671,167,701,336","6,116,279,018,202","6,224,729,911,599",1337647132922.0,196861840057.0,190516461190.0,137924891010.0,137924891010.0,"94,350,000,000",,,,,,,,,,,,
103140,풍산,철강_소재,2020,Q1,2020-05-15,"935,326,042,650","1,377,140,273,245","2,312,466,315,895","614,461,923,316","327,109,144,149","941,571,067,465","715,188,865,500","1,370,895,248,430",406516592624.0,12419583697.0,1703613390.0,-2825264641.0,-2825264641.0,"140,121,390,000",,,,,,,,,,,,
104700,한국철강,철강_소재,2020,Q1,2020-05-15,"534,952,440,908","295,852,381,123","830,804,822,031","87,603,234,971","18,669,743,501","106,272,978,472","129,462,958,825","724,531,843,559",148452452103.0,9966211601.0,16167334636.0,12695727193.0,12695727193.0,"46,050,000,000",,,,,,,,,,,,
