code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익(손실),자본금,총포괄손익,파생상품자산,파생상품관련손익,파생상품부채,영업비용,이자수익,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산,차입부채,이자비용,상각후원가측정금융자산,금융상품관련순손익
480,조선내화,철강_소재,2023,Q4,2024-03-13,"18,356,828,431","801,164,362,033","819,521,190,464","260,956,621,767","10,695,753,579","271,652,375,346","467,875,354,757","547,868,815,118",-115339722037.0,-11637081419.0,-16935416970.0,-662444787.0,"23,445,245,000",-15007505448.0,,,,,,,,,,,
670,영풍,철강_소재,2023,Q4,2024-03-12,"570,181,192,642","1,808,909,616,609","2,379,090,809,251","357,777,762,740","311,311,121,940","669,088,884,680","1,705,406,579,382","1,710,001,924,571",351784302394.0,-82690791048.0,-187781218994.0,-141717596892.0,"9,210,200,000",-95331362371.0,,,,,,,,,,,
1230,동국제강,철강_소재,2023,Q4,2024-03-14,"129,842,481,369","569,181,826,959","699,024,308,328","15,324,506,402","13,431,172,191","28,755,678,593","1,079,183,619,523","670,268,629,735",-1702345198480.0,-146752262377.0,-128169510736.0,-47006122659.0,"271,066,765,000",-325516670413.0,,,,25035293768.0,,,,,,,
1430,세아베스틸,철강_소재,2023,Q4,2024-03-12,"18,826,282,862","1,731,727,626,313","1,750,553,909,175","180,794,254,415","60,759,105,243","241,553,359,658","984,163,290,000","1,509,000,549,517",6540886040.0,-1022188757.0,-4081481291.0,-4564518983.0,"219,310,595,000",30395319374.0,,,,,,,,,,,
2240,고려제강,철강_소재,2023,Q4,2024-03-21,"258,198,894,013","1,153,610,243,576","1,411,809,137,589","99,374,513,190","86,489,637,162","185,864,150,352","1,193,053,460,513","1,225,944,987,237",135180461280.0,15845540694.0,11999279244.0,13418192674.0,"25,000,000,000",36129375108.0,,,,,,,,,,,
3030,세아제강,철강_소재,2023,Q4,2024-03-18,"10,447,284,015","813,964,905,718","824,412,189,733","31,116,539,706","97,324,538,034","128,441,077,740","589,690,793,581","695,971,111,993",3630395950.0,-520514855.0,-12062691918.0,-6508890226.0,"20,708,285,000",21099832133.0,,,,10866752835.0,,,,,,,
4020,현대제철,철강_소재,2023,Q4,2024-03-18,"9,686,638,705,655","22,763,038,374,464","32,449,677,080,119","6,640,368,692,642","6,980,372,359,245","13,620,741,051,887","13,361,761,537,163","18,828,936,028,232",4899414237900.0,-308170644775.0,-404226242013.0,-288256718300.0,"667,228,925,000",274208204898.0,,,,,,,,,,,
5090,삼광글라스,철강_소재,2023,Q4,2024-03-13,"323,088,022,920","1,269,287,685,107","1,592,375,708,027","807,372,340,970","139,135,956,186","946,508,297,156","152,206,883,260","645,867,410,871",193462266943.0,26701215069.0,9363821953.0,5863026616.0,"73,385,020,000",16474490915.0,,,,,,,,,,,
5490,POSCO,철강_소재,2023,Q4,2024-03-13,"4,657,898,827,934","46,988,298,811,561","51,646,197,639,495","1,819,669,592,063","2,326,663,248,427","4,146,332,840,490","47,505,885,055,039","47,499,864,799,005",1454079239690.0,70961796111.0,37064629216.0,67531814033.0,"482,403,125,000",786524306047.0,,,,347449867010.0,,,,,,,
9580,무림P&P,철강_소재,2023,Q4,2024-03-15,"370,913,334,779","934,977,826,802","1,305,891,161,581","410,079,594,832","316,592,456,706","726,672,051,538","305,843,064,879","579,219,110,043",183131295690.0,-5082903069.0,-19966617577.0,-8558934871.0,,-9617937264.0,,,,,,,,,,,
10130,고려아연,철강_소재,2023,Q4,2024-03-11,"4,223,804,225,522","5,953,891,567,061","10,177,695,792,583","1,354,938,343,062","32,230,613,620","1,387,168,956,682","7,347,731,321,071","8,790,526,835,901",1905845070841.0,221250098774.0,272393886263.0,197712625446.0,"104,542,940,000",481264610319.0,,,,,,,,,,,
103140,풍산,철강_소재,2023,Q4,2024-03-14,"1,701,253,580,032","1,614,948,223,509","3,316,201,803,541","1,115,083,483,366","235,163,799,677","1,350,247,283,043","1,314,983,073,081","1,965,954,520,498",880998747256.0,57071002639.0,47543327322.0,36629367174.0,"140,121,390,000",125179311330.0,,,,,,,,,,,
104700,한국철강,철강_소재,2023,Q4,2024-03-14,"687,547,285,696","284,917,039,188","972,464,324,884","84,315,666,918","36,401,125,362","120,716,792,280","285,637,373,544","851,747,532,604",216483566537.0,17051283180.0,10126640764.0,5530808279.0,"46,050,000,000",47746711181.0,,,,,,,,,,,
