code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익
210,DL_Holdings,화학,2024,Q1,"323,540,976,784","3,344,820,444,737","3,668,361,421,521","389,444,012,961","190,374,787,841","579,818,800,802","5,663,070,003,137","3,088,542,620,719",9692511701.0,5785648818.0,4227944026.0,3667882181.0,3667882181.0,"138,709,995,000",3667882181.0
880,Hanwha_Corp,화학,2024,Q1,"3,282,774,000,000","7,849,067,000,000","11,131,841,000,000","4,243,254,000,000","3,447,915,000,000","7,691,169,000,000","3,017,378,000,000","3,440,672,000,000",1652430000000.0,183672000000.0,138305000000.0,127958000000.0,127958000000.0,"489,550,000,000",109878000000.0
2350,Nexen_Tire,화학,2024,Q1,"1,347,743,792,048","2,030,872,458,034","3,378,616,250,082","1,009,848,711,662","671,255,517,321","1,681,104,228,983","1,585,165,209,920","1,697,512,021,099",524433593076.0,48633379804.0,73314626990.0,56825875445.0,56825875445.0,"54,083,938,500",57056235245.0
2380,KCC,화학,2024,Q1,"2,448,592,675,262","7,904,680,636,704","10,353,273,311,966","2,555,316,614,753","1,916,095,686,715","4,471,412,301,468","5,617,524,624,209","5,881,861,010,498",761600275908.0,88182575070.0,712692843064.0,575561937477.0,575561937477.0,"48,084,660,000",575054018980.0
2790,AmoreG,화학,2024,Q1,"426,698,785,801","1,733,871,849,774","2,160,570,635,575","32,273,159,346","13,354,091,870","45,627,251,216","1,403,445,341,928","2,114,943,384,359",38663283339.0,32117557397.0,36944131279.0,35405367689.0,35405367689.0,"47,997,075,000",25187266886.0
2960,Korea_Shell_Petroleum,화학,2024,Q1,"167,272,133,388","30,257,869,949","197,530,003,337","90,430,458,741","2,833,419,284","93,263,878,025","96,265,787,555","104,266,125,312",81373659102.0,12374719009.0,13653852147.0,10615870047.0,10615870047.0,"7,000,000,000",10615870047.0
3240,Taekwang_Industrial,화학,2024,Q1,"1,611,549,012,710","2,161,627,792,533","3,773,176,805,243","313,189,111,293","239,982,085,985","553,171,197,278","3,209,710,993,086","3,220,005,607,965",492001364764.0,-31755672.0,65411552497.0,53737631481.0,53737631481.0,"5,567,000,000",54584008848.0
4000,Samsung_Fine Chemicals,화학,2024,Q1,"1,140,360,097,255","1,462,665,523,844","2,603,025,621,099","301,587,912,765","118,729,587,220","420,317,499,985","1,730,377,210,965","2,182,708,121,114",402561279303.0,12348964602.0,62967722698.0,55543231574.0,55543231574.0,"129,000,000,000",55543231574.0
6650,Korea_Petrochemical_Ind,화학,2024,Q1,"542,643,960,042","1,493,553,082,032","2,036,197,042,074","311,162,787,892","7,820,091,570","318,982,879,462","1,415,555,107,458","1,717,214,162,612",659064856026.0,-16689865729.0,-12014729715.0,-8641707635.0,-8641707635.0,"41,000,000,000",-8641707635.0
7690,Kukdo_Chemical,화학,2024,Q1,"610,101,887,161","839,820,623,573","1,449,922,510,734","535,424,396,067","90,500,291,006","625,924,687,073","680,863,930,338","823,997,823,661",227913469805.0,4797647815.0,5037044894.0,3951255813.0,3951255813.0,"45,053,080,000",4377119645.0
8490,Seohung,화학,2024,Q1,"191,606,795,584","382,528,554,988","574,135,350,572","245,913,106,771","520,849,736","246,433,956,507","304,837,120,426","327,701,394,065",81689211914.0,5972243702.0,9957041100.0,6985692574.0,6985692574.0,"6,084,556,500",6985692574.0
9830,Hanwha_Solutions,화학,2024,Q1,"3,667,964,202,666","13,724,878,937,050","17,392,843,139,716","6,229,790,307,165","3,534,010,592,323","9,763,800,899,488","5,674,829,628,176","7,629,042,240,228",1573627419232.0,-45947463750.0,-36432795908.0,-30844067005.0,-30844067005.0,"888,568,910,000",-30832739721.0
10950,S-Oil,화학,2024,Q1,"10,197,173,000,000","12,051,674,000,000","22,248,847,000,000","9,971,251,000,000","3,258,407,000,000","13,229,658,000,000","7,353,288,000,000","9,019,189,000,000",9223162000000.0,453503000000.0,229638000000.0,168791000000.0,168791000000.0,"291,512,000,000",168791000000.0
11170,Lotte_Chemical,화학,2024,Q1,"5,884,410,982,979","15,956,082,862,549","21,840,493,845,528","5,805,476,811,869","3,205,039,985,738","9,010,516,797,607","10,276,434,954,577","12,829,977,047,921",3396127833556.0,-92430201978.0,-47990997854.0,-5884363551.0,-5884363551.0,"213,877,095,000",32034415565.0
11780,Kumho_Petrochemical,화학,2024,Q1,"1,543,464,099,661","3,076,888,305,800","4,620,352,405,461","1,049,900,135,212","312,155,135,686","1,362,055,270,898","2,929,970,839,793","3,258,297,134,563",1109335103911.0,54777813651.0,137238281743.0,126945104730.0,126945104730.0,"167,455,885,000",119177466550.0
11790,SKC,화학,2024,Q1,"76,764,450,999","2,649,511,851,795","2,726,276,302,794","459,740,510,669","465,052,675,135","924,793,185,804","1,718,586,274,389","1,801,483,116,990",4981509168.0,-9760177474.0,-22204006650.0,95082273.0,95082273.0,"189,341,490,000",109513158.0
14680,Hansol_Chemical,화학,2024,Q1,"313,555,388,337","828,064,863,509","1,141,620,251,846","215,613,908,619","171,306,019,709","386,919,928,328","720,566,643,484","754,700,323,518",149174667967.0,31442893502.0,39839824000.0,30065038605.0,30065038605.0,"56,675,975,000",30307824466.0
14820,Dongwon_Systems,화학,2024,Q1,"501,417,785,361","997,093,400,456","1,498,511,185,817","557,106,843,469","211,288,025,679","768,394,869,148","266,902,136,903","730,116,316,669",287378541872.0,14531864839.0,11536847016.0,13010294662.0,13010294662.0,"146,276,965,000",13179014645.0
14830,UNID,화학,2024,Q1,"282,032,823,051","621,049,276,424","903,082,099,475","202,893,785,807","24,579,583,508","227,473,369,315","836,776,764,343","675,608,730,160",147833300400.0,16973408165.0,38729774735.0,34676060597.0,34676060597.0,"33,838,000,000",30340933330.0
