Year,Quarter,sj_div,account_nm,thstrm_dt,thstrm_amount
2017,Q1,BS,유동자산,2017.03.31 현재,7032828000000.0
2017,Q1,BS,비유동자산,2017.03.31 현재,11454948000000.0
2017,Q1,BS,자산총계,2017.03.31 현재,18487776000000.0
2017,Q1,BS,유동부채,2017.03.31 현재,3748675000000.0
2017,Q1,BS,비유동부채,2017.03.31 현재,425111000000.0
2017,Q1,BS,부채총계,2017.03.31 현재,4173786000000.0
2017,Q1,BS,이익잉여금,2017.03.31 현재,11992867000000.0
2017,Q1,BS,자본총계,2017.03.31 현재,14313990000000.0
2017,Q1,IS,매출액,2017.01.01 ~ 2017.03.31,5187315000000.0
2017,Q1,IS,영업이익,2017.01.01 ~ 2017.03.31,591596000000.0
2017,Q1,IS,법인세차감전 순이익,2017.01.01 ~ 2017.03.31,513369000000.0
2017,Q1,IS,당기순이익,2017.01.01 ~ 2017.03.31,412130000000.0
2017,Q1,IS,당기순이익(손실),2017.01.01 ~ 2017.03.31,412130000000.0
2017,Q2,BS,유동자산,2017.06.30 현재,7325522000000.0
2017,Q2,BS,비유동자산,2017.06.30 현재,11561951000000.0
2017,Q2,BS,자산총계,2017.06.30 현재,18887473000000.0
2017,Q2,BS,유동부채,2017.06.30 현재,2776576000000.0
2017,Q2,BS,비유동부채,2017.06.30 현재,1256071000000.0
2017,Q2,BS,부채총계,2017.06.30 현재,4032647000000.0
2017,Q2,BS,이익잉여금,2017.06.30 현재,12534773000000.0
2017,Q2,BS,자본총계,2017.06.30 현재,14854826000000.0
2017,Q2,IS,매출액,2017.01.01 ~ 2017.06.30,5154792000000.0
2017,Q2,IS,영업이익,2017.01.01 ~ 2017.06.30,599352000000.0
2017,Q2,IS,법인세차감전 순이익,2017.01.01 ~ 2017.06.30,663708000000.0
2017,Q2,IS,당기순이익,2017.01.01 ~ 2017.06.30,544079000000.0
2017,Q2,IS,당기순이익(손실),2017.01.01 ~ 2017.06.30,544079000000.0
2017,Q3,BS,유동자산,2017.09.30 현재,7846243000000.0
2017,Q3,BS,비유동자산,2017.09.30 현재,11749224000000.0
2017,Q3,BS,자산총계,2017.09.30 현재,19595467000000.0
2017,Q3,BS,유동부채,2017.09.30 현재,3008717000000.0
2017,Q3,BS,비유동부채,2017.09.30 현재,1312258000000.0
2017,Q3,BS,부채총계,2017.09.30 현재,4320975000000.0
2017,Q3,BS,자본금,2017.09.30 현재,391406000000.0
2017,Q3,BS,이익잉여금,2017.09.30 현재,12956027000000.0
2017,Q3,BS,자본총계,2017.09.30 현재,15274492000000.0
2017,Q3,IS,매출액,2017.01.01 ~ 2017.09.30,5236673000000.0
2017,Q3,IS,영업이익,2017.01.01 ~ 2017.09.30,630050000000.0
2017,Q3,IS,법인세차감전 순이익,2017.01.01 ~ 2017.09.30,541335000000.0
2017,Q3,IS,당기순이익,2017.01.01 ~ 2017.09.30,423280000000.0
2017,Q3,IS,당기순이익(손실),2017.01.01 ~ 2017.09.30,423280000000.0
2017,Q4,BS,유동자산,2017.12.31 현재,8377679000000.0
2017,Q4,BS,비유동자산,2017.12.31 현재,12770457000000.0
2017,Q4,BS,자산총계,2017.12.31 현재,21148136000000.0
2017,Q4,BS,유동부채,2017.12.31 현재,4458776000000.0
2017,Q4,BS,비유동부채,2017.12.31 현재,1183828000000.0
2017,Q4,BS,부채총계,2017.12.31 현재,5642604000000.0
2017,Q4,BS,자본금,2017.12.31 현재,391406000000.0
2017,Q4,BS,이익잉여금,2017.12.31 현재,13188495000000.0
2017,Q4,BS,자본총계,2017.12.31 현재,15505532000000.0
2017,Q4,IS,매출액,2017.01.01 ~ 2017.12.31,5301456000000.0
2017,Q4,IS,영업이익,2017.01.01 ~ 2017.12.31,472231000000.0
2017,Q4,IS,법인세차감전 순이익,2017.01.01 ~ 2017.12.31,282223000000.0
2017,Q4,IS,당기순이익,2017.01.01 ~ 2017.12.31,225734000000.0
2017,Q4,IS,당기순이익(손실),2017.01.01 ~ 2017.12.31,225734000000.0
