,name,sector,year,quarter,Relative Return,자본총계 변화율,비유동자산 변화율,소비자물가지수 변화율,실업률 변화율,전체 주식 수 변화율,특정 증권 등 소유 수 변화율,전체 주주 수 변화율,자기주식수 변화율,1인평균급여 변화율,Label,Code
19,Kia_Corp,운송장비·부품,2020,Q1,-0.09429983050457971,-0.0298282288313656,-0.045996364556883496,-2.326416414584117,-0.00943396226415083,-0.015729732067117475,-0.016571997958428675,-0.018374530909622155,0.14239581335445284,0.06863412944785507,-0.2154208114690407,000270
19,S&T_Heavy_Industries,운송장비·부품,2020,Q1,-0.006536952897248441,0.012151772734218746,-0.03254657743619083,-2.326416414584117,-0.00943396226415083,-0.01797447029624233,0.0,-0.01797447029624233,0.04273124651549398,0.12092315288026645,0.011578074870504967,003570
18,SsangYong_Motor,운송장비·부품,2020,Q1,-0.3513294852658731,-0.017937231957127597,0.0895083656221265,-2.326416414584117,-0.00943396226415083,-0.017937231957127597,-0.017937231957127375,-0.017937231957127597,0.0,-89.75631260065433,-0.12057623542145715,003620
18,Hyundai_Motor,운송장비·부품,2020,Q1,-0.17513459473651738,0.006435034425519959,-0.023215868549683716,-2.326416414584117,-0.00943396226415083,-0.019384052577085864,-0.03635255911144575,-0.03414672915243777,0.2560461513162463,0.2658468078027538,-0.07193212122710371,005380
18,SL_Corp,운송장비·부품,2020,Q1,-0.31655700077859616,-0.04815229095619267,-0.050230842524295216,-2.326416414584117,-0.00943396226415083,-0.017981486623549037,-0.017981486623548815,-0.017981486623549037,0.6377698638433916,-0.017981486623549037,-0.07968494730650569,005850
18,Motonic,운송장비·부품,2020,Q1,-0.06870650789798277,0.008889443815664921,0.022145394252249706,-2.326416414584117,-0.00943396226415083,-0.01797634883578958,-0.01797634883578958,-0.0179763488357898,0.4347287950373824,0.4463527007240222,-0.054423079042736855,009680
18,Samsung_Heavy Industries,운송장비·부품,2020,Q1,-0.15045186942928937,-0.005502187085132837,-0.017425273172379185,-2.326416414584117,-0.00943396226415083,-0.012593507953652106,-0.012298286430330485,-0.011952745145136223,0.31424437769700875,0.2861660672883304,-0.2684792597426805,010140
18,Hyundai_Mipo_Dockyard,운송장비·부품,2020,Q1,-0.05105499274646762,-0.011284869284811316,-0.000435842174915102,-2.326416414584117,-0.00943396226415083,-0.017988322495947617,-0.017988322495947395,-0.017988322495947617,0.17997884128618802,0.1695166040211613,-0.22030820331898457,010620
18,Hwashin,운송장비·부품,2020,Q1,-0.1265622391232792,-0.013980752272514163,-0.08545266133482388,-2.326416414584117,-0.00943396226415083,-0.017978255337026905,0.0,-0.017978255337026905,0.5838025474282111,0.2620450873379674,-0.2698217767481187,010690
19,Hyundai_WIA,운송장비·부품,2020,Q1,-0.08229346441972189,-0.024620083150056482,0.010411243783059021,-2.326416414584117,-0.00943396226415083,-0.017872000545125166,-0.017872000545124944,-0.017872000545125166,0.20897147589370957,-0.026766736320567697,-0.27112543063410377,011210
19,Hyundai_Mobis,운송장비·부품,2020,Q1,-0.05649568194461208,-0.004895017647765121,-0.0358064066366901,-2.326416414584117,-0.00943396226415083,-0.01582279524473118,-0.020340896993834123,-0.020717138037643856,-0.1827056750831213,0.11822976426001952,-0.13897818464751968,012330
18,Hanwha_Aerospace,운송장비·부품,2020,Q1,-0.2496868590037177,0.0016884610373320008,-0.003490210150152606,-2.326416414584117,-0.00943396226415083,-0.019441157961528566,-0.03227859887965234,-0.01962128506213756,-0.02072283924371976,0.36955243291686923,-0.22283420513190624,012450
18,Sejong_Industrial,운송장비·부품,2020,Q1,-0.06127357198144029,0.008345176209713534,-0.005866361431023259,-2.326416414584117,-0.00943396226415083,-0.0179787835327212,-0.0179787835327212,-0.0179787835327212,0.3311557197770493,0.1945528275691616,-0.16421327343764694,033530
18,Daewoo_Shipbuilding_&_Marine_Engineering,운송장비·부품,2020,Q1,-0.1552264269788276,-0.06601456463772037,-0.021669100688223253,-2.326416414584117,-0.00943396226415083,-0.01566066411616074,-0.013519262075345928,-0.015241318397096526,0.2233984513145585,0.19179658250536724,-0.32204599057363603,042660
18,Korea_Aerospace_Industries,운송장비·부품,2020,Q1,-0.20354433630997998,-0.03329597887902569,0.004016130560730025,-2.326416414584117,-0.00943396226415083,-0.01814516690909196,-0.018145166909091737,-0.018145166909091737,0.0,-0.011394182151940546,-0.19062047100049748,047810
18,Hyundai_Rotem,운송장비·부품,2020,Q1,-0.26818677569220406,-0.361550058237031,-0.1988557221094467,-2.326416414584117,-0.00943396226415083,-0.017998521901897213,-0.017998521901897213,-0.017998521901897213,0.0,0.14416430422642712,-0.006913049389850073,064350
19,S&T_Motiv,운송장비·부품,2020,Q1,-0.29710554879702367,-0.004976725587236164,-0.06637752532179819,-2.326416414584117,-0.00943396226415083,-0.0179761069445874,-0.0179761069445874,-0.0179761069445874,0.024416979196314248,0.1622084881354875,-0.16458737834565804,064960
