접수번호,법인구분,회사코드,회사명,구분,주주 수,전체 주주 수,주주 비율,보유 주식 수,전체 주식 수,보유 주식 비율,결제일시,연도,분기
20160330000319,Y,00595191,후성,소액주주,"22,093",-,99.95%,"46,381,944",-,50.19%,2015-12-31,2015,Q4
20170607000125,Y,00595191,후성,소액주주,"19,791",-,99.8%,"39,868,623",-,43.1%,2016-12-31,2016,Q4
20180402000932,Y,00595191,후성,소액주주,"27,635",-,99.8%,"41,907,076",-,45.35%,2017-12-31,2017,Q4
20190401002191,Y,00595191,후성,소액주주,"30,425",-,99.89%,"38,681,214",-,41.77%,2018-12-31,2018,Q4
20200330004633,Y,00595191,후성,소액주주,"52,111",-,99.95%,"38,190,260",-,41.24%,2019-12-31,2019,Q4
20210322000692,Y,00595191,후성,소액주주,"84,917","84,931",99.98%,"38,055,024","92,606,819",41.10%,2020-12-31,2020,Q4
20220321001474,Y,00595191,후성,소액주주,"100,850","10,867",99.98%,"39,051,632","92,606,819",42.17%,2021-12-31,2021,Q4
20230321000387,Y,00595191,후성,소액주주,"118,487","118,505",99.98%,"41,433,771","94,352,104",43.91%,2022-12-31,2022,Q4
20240321000372,Y,00595191,후성,소액주주,"114,529","114,543",99.99%,"43,712,106","94,352,104",46.33%,2023-12-31,2023,Q4
20250317000896,Y,00595191,후성,소액주주,"107,563","107,578",99.99%,"53,157,435","107,255,330",49.56%,2024-12-31,2024,Q4
