접수번호,법인구분,회사코드,회사명,구분,발행할 주식 총수,현재까지 발행한 주식 총수,현재까지 감소한 주식의 총수,주식 수 감소,이익 소각,상환주식의 상환,기타,발행주식의 총수,자기주식수,유통주식수,결제일시,연도,분기
20160330002293,Y,00190321,케이티,보통주,"1,000,000,000","312,899,767","51,787,959",-,"51,787,959",-,-,"261,111,808","16,262,008","244,849,800",2015-12-31,2015,Q4
20160330002293,Y,00190321,케이티,우선주,-,-,-,-,-,-,-,-,-,-,2015-12-31,2015,Q4
20160330002293,Y,00190321,케이티,합계,"1,000,000,000","312,899,767","51,787,959",-,"51,787,959",-,-,"261,111,808","16,262,008","244,849,800",2015-12-31,2015,Q4
20160330002293,Y,00190321,케이티,비고,-,-,-,-,-,-,-,-,-,-,2015-12-31,2015,Q4
20170331002943,Y,00190321,케이티,보통주,"1,000,000,000","312,899,767","51,787,959",-,"51,787,959",-,-,"261,111,808","16,140,165","244,971,643",2016-12-31,2016,Q4
20170331002943,Y,00190321,케이티,우선주,-,-,-,-,-,-,-,-,-,-,2016-12-31,2016,Q4
20170331002943,Y,00190321,케이티,합계,"1,000,000,000","312,899,767","51,787,959",-,"51,787,959",-,-,"261,111,808","16,140,165","244,971,643",2016-12-31,2016,Q4
20170331002943,Y,00190321,케이티,비고,-,-,-,-,-,-,-,-,-,-,2016-12-31,2016,Q4
20180402004398,Y,00190321,케이티,보통주,"1,000,000,000","312,899,767","51,787,959",-,"51,787,959",-,-,"261,111,808","16,014,753","245,097,055",2017-12-31,2017,Q4
20180402004398,Y,00190321,케이티,우선주,-,-,-,-,-,-,-,-,-,-,2017-12-31,2017,Q4
20180402004398,Y,00190321,케이티,합계,"1,000,000,000","312,899,767","51,787,959",-,"51,787,959",-,-,"261,111,808","16,014,753","245,097,055",2017-12-31,2017,Q4
20180402004398,Y,00190321,케이티,비고,-,-,-,-,-,-,-,-,-,-,2017-12-31,2017,Q4
20190401004942,Y,00190321,케이티,보통주,"1,000,000,000","312,899,767","51,787,959",-,"51,787,959",-,-,"261,111,808","15,967,040","245,144,768",2018-12-31,2018,Q4
20190401004942,Y,00190321,케이티,우선주,-,-,-,-,-,-,-,-,-,-,2018-12-31,2018,Q4
20190401004942,Y,00190321,케이티,합계,"1,000,000,000","312,899,767","51,787,959",-,"51,787,959",-,-,"261,111,808","15,967,040","245,144,768",2018-12-31,2018,Q4
20190401004942,Y,00190321,케이티,비고,-,-,-,-,-,-,-,-,-,-,2018-12-31,2018,Q4
20200330004658,Y,00190321,케이티,보통주,"1,000,000,000","312,899,767","51,787,959",-,"51,787,959",-,-,"261,111,808","15,870,258","245,241,550",2019-12-31,2019,Q4
20200330004658,Y,00190321,케이티,우선주,-,-,-,-,-,-,-,-,-,-,2019-12-31,2019,Q4
20200330004658,Y,00190321,케이티,합계,"1,000,000,000","312,899,767","51,787,959",-,"51,787,959",-,-,"261,111,808","15,870,258","245,241,550",2019-12-31,2019,Q4
20200330004658,Y,00190321,케이티,비고,-,-,-,-,-,-,-,-,-,-,2019-12-31,2019,Q4
20210319001235,Y,00190321,케이티,보통주,"1,000,000,000","312,899,767","51,787,959",-,"51,787,959",-,-,"261,111,808","19,269,678","241,842,130",2020-12-31,2020,Q4
20210319001235,Y,00190321,케이티,우선주,-,-,-,-,-,-,-,-,-,-,2020-12-31,2020,Q4
20210319001235,Y,00190321,케이티,합계,"1,000,000,000","312,899,767","51,787,959",-,"51,787,959",-,-,"261,111,808","19,269,678","241,842,130",2020-12-31,2020,Q4
20210319001235,Y,00190321,케이티,비고,-,-,-,-,-,-,-,-,-,-,2020-12-31,2020,Q4
20221006000582,Y,00190321,케이티,보통주,"1,000,000,000","312,899,767","51,787,959",-,"51,787,959",-,-,"261,111,808","25,303,662","235,808,146",2021-12-31,2021,Q4
20221006000582,Y,00190321,케이티,우선주,-,-,-,-,-,-,-,-,-,-,2021-12-31,2021,Q4
20221006000582,Y,00190321,케이티,합계,"1,000,000,000","312,899,767","51,787,959",-,"51,787,959",-,-,"261,111,808","25,303,662","235,808,146",2021-12-31,2021,Q4
20221006000582,Y,00190321,케이티,비고,-,-,-,-,-,-,-,-,-,-,2021-12-31,2021,Q4
20230323001449,Y,00190321,케이티,보통주,"1,000,000,000","312,899,767","51,787,959",-,"51,787,959",-,-,"261,111,808","5,069,130","256,042,678",2022-12-31,2022,Q4
20230323001449,Y,00190321,케이티,우선주,-,-,-,-,-,-,-,-,-,-,2022-12-31,2022,Q4
20230323001449,Y,00190321,케이티,합계,"1,000,000,000","312,899,767","51,787,959",-,"51,787,959",-,-,"261,111,808","5,069,130","256,042,678",2022-12-31,2022,Q4
20230323001449,Y,00190321,케이티,비고,-,-,-,-,-,-,-,-,-,-,2022-12-31,2022,Q4
20240320002050,Y,00190321,케이티,보통주,"1,000,000,000","312,899,767","55,039,007",-,"55,039,007",-,-,"257,860,760","11,447,338","246,413,422",2023-12-31,2023,Q4
20240320002050,Y,00190321,케이티,우선주,-,-,-,-,-,-,-,-,-,-,2023-12-31,2023,Q4
20240320002050,Y,00190321,케이티,합계,"1,000,000,000","312,899,767","55,039,007",-,"55,039,007",-,-,"257,860,760","11,447,338","246,413,422",2023-12-31,2023,Q4
20240320002050,Y,00190321,케이티,비고,-,-,-,-,-,-,-,-,-,-,2023-12-31,2023,Q4
20250321001834,Y,00190321,케이티,보통주,"1,000,000,000","312,899,767","60,878,082",-,"60,878,082",-,-,"252,021,685","6,188,739","245,832,946",2024-12-31,2024,Q4
20250321001834,Y,00190321,케이티,우선주,-,-,-,-,-,-,-,-,-,-,2024-12-31,2024,Q4
20250321001834,Y,00190321,케이티,합계,"1,000,000,000","312,899,767","60,878,082",-,"60,878,082",-,-,"252,021,685","6,188,739","245,832,946",2024-12-31,2024,Q4
