접수번호,법인구분,회사코드,회사명,주식종류,이름,관계,기초 소유 주식 수,기초 소유주식 지분율,기말 소유주식 수,기말 소유주식 지분율,비고,결제일시,연도,분기
20160330002726,Y,00102858,고려아연,보통주,㈜영풍,본인,"5,078,297",26.91,"5,078,297",26.91,-,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,김록희,출자자,"120,586",0.64,"120,586",0.64,-,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,최내현,출자자,"171,459",0.91,"166,459",0.88,장내매도,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,최진하,출자자,608,0.00,"1,027",0.01,장내매수,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,최윤하,출자자,608,0.00,"1,027",0.01,장내매수,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,최은아,출자자,"92,480",0.49,"92,480",0.49,-,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,이원복,출자자,"1,130",0.01,"1,144",0.01,장내매수,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,이승원,출자자,"5,178",0.03,"5,451",0.03,장내매수,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,이세림,출자자,829,0.00,"1,047",0.01,장내매수,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,최정일,출자자,"302,405",1.60,"302,405",1.60,-,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,김미숙,출자자,383,0.00,387,0.00,장내매수,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,장형진,임원,"850,829",4.51,"850,829",4.51,-,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,최윤지,출자자,618,0.00,"1,240",0.00,장내매수,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,최재윤,출자자,0,0.00,"1,021",0.00,장내매수,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,최창근,출자자,"170,412",0.90,"170,412",0.90,-,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,이신영,출자자,"26,526",0.14,"26,526",0.14,-,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,최경아,출자자,"33,665",0.18,"33,665",0.18,-,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,최강민,출자자,"30,179",0.16,"30,179",0.16,-,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,최민석,출자자,"53,429",0.28,"53,429",0.28,-,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,최창규,출자자,"332,093",1.76,"332,093",1.76,-,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,정지혜,출자자,"6,743",0.04,"6,743",0.04,-,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,최주원,출자자,"35,382",0.19,"35,482",0.19,장내매수,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,최창걸,임원,"26,212",0.14,"25,912",0.14,양도,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,최정상,출자자,"34,726",0.18,"34,726",0.18,-,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,최정운,출자자,"333,708",1.77,"333,769",1.77,장내매수,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,한진희,출자자,"25,104",0.13,"25,114",0.13,장내매수,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,최은오,출자자,"9,602",0.05,"9,606",0.05,장내매수,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,최민정,출자자,"23,571",0.12,"23,577",0.12,장내매수,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,최윤석,출자자,"39,802",0.21,"39,808",0.21,장내매수,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,경원문화재단,출자단체,"6,150",0.03,"6,450",0.03,양수,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,유미개발㈜,피지배회사,"177,000",0.94,"177,000",0.94,-,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,영풍정밀㈜,피지배회사,"295,110",1.56,"295,110",1.56,-,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,해주최씨준극경수기호종중,출자단체,"50,400",0.27,"50,400",0.27,-,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,유중근,출자자,"66,500",0.35,"67,100",0.36,장내매수,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,장철진,출자자,"401,717",2.13,"401,717",2.13,-,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,장세경,출자자,"15,000",0.08,"15,000",0.08,-,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,장세명,출자자,"77,886",0.41,"77,886",0.41,-,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,장세욱,출자자,"68,652",0.36,"68,652",0.36,-,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,김혜경,출자자,"115,981",0.62,"115,981",0.62,-,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,장혜선,출자자,"16,376",0.09,"16,376",0.09,-,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,PARK CAROLINE CHOI,출자자,"38,861",0.21,"39,061",0.21,장내매수,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,최윤범,출자자,"341,607",1.81,"341,607",1.81,-,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,이경은,출자자,"3,258",0.02,"3,304",0.02,장내매수,2015-12-31,2015,Q4
20160330002726,Y,00102858,고려아연,보통주,최수연,출자자,"1,596",0.01,"1,596",0.01,-,2015-12-31,2015,Q4
