접수번호,법인구분,회사코드,회사명,변동일,최대주주명,보유 주식 수,보유 지분율,변동원인,비고,결제일시,연도,분기
20180710000623,Y,00164830,HD한국조선해양,-,-,-,-,-,-,2015-12-31,2015,Q4
20180710000633,Y,00164830,HD한국조선해양,-,-,-,-,-,-,2016-12-31,2016,Q4
20180710000643,Y,00164830,HD한국조선해양,2017년 03월 31일,정몽준,"16,207,344",21.33 %,-,-,2017-12-31,2017,Q4
20180710000643,Y,00164830,HD한국조선해양,2017년 03월 31일,"현대중공업지주㈜
(구, 현대로보틱스㈜)","19,656,225",34.69 %,-,-,2017-12-31,2017,Q4
20190401004390,Y,00164830,HD한국조선해양,-,-,-,-,-,-,2018-12-31,2018,Q4
20200330003961,Y,00164830,HD한국조선해양,-,-,-,-,-,-,2019-12-31,2019,Q4
20210316001006,Y,00164830,HD한국조선해양,-,-,-,-,-,-,2020-12-31,2020,Q4
20220314000893,Y,00164830,HD한국조선해양,-,-,-,-,-,-,2021-12-31,2021,Q4
20230320000758,Y,00164830,HD한국조선해양,2022년 02월 24일,HD현대㈜,"24,807,124",35.05%,시간외 대량매매,-,2022-12-31,2022,Q4
20240321000061,Y,00164830,HD한국조선해양,2022년 02월 24일,HD현대㈜,"24,807,124",35.05%,시간외 대량매매,-,2023-12-31,2023,Q4
20250318001131,Y,00164830,HD한국조선해양,2022년 02월 24일,HD현대㈜,"24,807,124",35.05%,시간외 대량매매,-,2024-12-31,2024,Q4
