code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,이자수익
19680,대교,경기소비재,2015,Q4,2016-03-30,"303,126,569,802","477,589,413,029","780,715,982,831","130,818,438,292","9,482,779,381","140,301,217,673","538,592,993,555","640,414,765,158",750317949755,46011200348,60440582327,46591630282,46591630282,,,
19680,대교,경기소비재,2016,Q1,2016-05-16,"303,727,587,017","481,569,797,019","785,297,384,036","130,719,105,334","12,977,148,260","143,696,253,594","538,001,104,675","641,601,130,442",191824762383,9605650049,15809645200,12449270100,12449270100,,,
19680,대교,경기소비재,2016,Q2,2016-08-16,"306,359,462,933","481,441,497,717","787,800,960,650","130,087,084,311","15,034,864,159","145,121,948,470","544,763,538,771","642,679,012,180",191124369539,12224140036,9404130207,6762434096,6762434096,,,
19680,대교,경기소비재,2016,Q3,2016-11-14,"296,533,635,277","487,952,521,660","784,486,156,937","127,146,659,566","13,462,013,418","140,608,672,984","544,365,666,442","643,877,483,953",187967618182,11520209988,11667489019,8890074736,8890074736,,,
19680,대교,경기소비재,2016,Q4,2017-03-30,"320,582,137,825","489,376,222,485","809,958,360,310","131,363,925,425","17,498,073,524","148,861,998,949","558,251,457,303","661,096,361,361",188928165772,12181199752,19222658910,16389086704,16389086704,,,
19680,대교,경기소비재,2017,Q1,2017-05-15,"322,349,585,842","501,207,990,834","823,557,576,676","145,599,837,237","20,562,116,981","166,161,954,218","558,942,035,897","657,395,622,458",195823691286,12001804850,17577207057,13629527478,13629527478,,,
19680,대교,경기소비재,2017,Q2,2017-08-14,"309,937,575,826","516,070,834,002","826,008,409,828","139,324,564,726","14,150,668,345","153,475,233,071","571,765,743,505","672,533,176,757",191491439904,12250729821,17321519969,12823707608,12823707608,,,
19680,대교,경기소비재,2017,Q3,2017-11-14,"301,189,721,722","524,129,610,827","825,319,332,549","129,871,156,540","20,008,940,373","149,880,096,913","576,016,835,678","675,439,235,636",186505375345,11585447707,17425835716,13208783473,13208783473,"52,064,920,000",,
19680,대교,경기소비재,2017,Q4,2018-04-02,"300,034,318,826","522,110,226,424","822,144,545,250","124,529,848,314","22,497,230,106","147,027,078,420","577,391,691,356","675,117,466,830",182949773634,11258544754,1102922798,1034974704,1034974704,"52,064,920,000",,
19680,대교,경기소비재,2018,Q1,2018-05-15,"313,994,336,144","504,213,521,774","818,207,857,918","124,047,464,658","27,652,488,437","151,699,953,095","585,161,312,020","666,507,904,823",187953032219,11072724260,14634849831,11257419139,11257419139,"52,064,920,000",,
19680,대교,경기소비재,2018,Q2,2018-08-14,"300,444,506,754","500,073,322,712","800,517,829,466","110,340,268,632","23,199,303,424","133,539,572,056","594,738,584,312","666,978,257,410",179568418069,10357319567,12851550474,9577272292,9577272292,"52,064,920,000",,
19680,대교,경기소비재,2018,Q3,2018-11-14,"279,540,689,204","532,557,125,055","812,097,814,259","127,512,426,621","21,429,498,857","148,941,925,478","586,991,239,252","663,155,888,781",171256681124,8731370043,6858919863,3428638134,3428638134,"52,064,920,000",,
19680,대교,경기소비재,2018,Q4,2019-04-01,"258,243,613,602","539,210,502,564","797,454,116,166","130,182,358,443","24,667,351,238","154,849,709,681","579,837,983,174","642,604,406,485",166715577280,-3946340828,-6585768951,-4809071997,-4809071997,"52,064,920,000",,
