code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),총포괄손익
029530,신도리코,정보기술,2015,Q4,"605,412,632,782","259,656,086,375","865,068,719,157","32,124,473,719","12,234,942,005","44,359,415,724","50,400,145,000","668,660,837,324","820,709,303,433",474963360053,7063329609,20801716345,14301808886,14301808886,
029530,신도리코,정보기술,2016,Q1,"616,163,570,536","263,948,896,482","880,112,467,018","48,887,587,771","13,798,697,061","62,686,284,832","50,400,145,000","665,266,077,874","817,426,182,186",129659142820,8563828227,10995046367,8403891350,8403891350,
029530,신도리코,정보기술,2016,Q2,"607,071,847,754","269,155,946,333","876,227,794,087","37,713,268,013","15,263,888,730","52,977,156,743","50,400,145,000","671,133,943,017","823,250,637,344",115454954444,4516914430,7656016839,5867865143,5867865143,
029530,신도리코,정보기술,2016,Q3,"616,243,577,275","266,368,089,485","882,611,666,760","42,867,662,454","15,898,471,102","58,766,133,556","50,400,145,000","671,626,091,208","823,845,533,204",113921986142,-643641957,559477077,492148191,492148191,
029530,신도리코,정보기술,2016,Q4,"628,585,135,899","268,925,289,828","897,510,425,727","51,883,562,336","11,368,629,524","63,252,191,860","50,400,145,000","678,898,207,485","834,258,233,867",121078164447,1185922500,7928693170,7272116277,7272116277,
029530,신도리코,정보기술,2017,Q1,"637,467,149,178","267,799,450,546","905,266,599,724","69,225,427,145","12,120,901,038","81,346,328,183","50,400,145,000","668,395,218,006","823,920,271,541",126167234739,6618501525,5501400074,4245324021,4245324021,
029530,신도리코,정보기술,2017,Q2,"642,159,458,488","263,042,430,260","905,201,888,748","54,191,738,983","11,716,318,656","65,908,057,639","50,400,145,000","683,360,859,266","839,293,831,109",126619867295,10786967994,19151934266,14965641260,14965641260,
029530,신도리코,정보기술,2017,Q3,"673,666,965,854","249,008,355,253","922,675,321,107","63,109,316,516","12,844,239,751","75,953,556,267","50,400,145,000","690,730,101,292","846,721,764,840",140125377552,6272367691,9626683608,7369242026,7369242026,
029530,신도리코,정보기술,2017,Q4,"675,045,242,772","246,572,154,243","921,617,397,015","56,109,489,072","9,465,607,143","65,575,096,215","50,400,145,000","697,080,826,103","856,042,300,800",138354580739,5038003609,4807830122,6350724811,6350724811,
029530,신도리코,정보기술,2018,Q1,"659,849,489,465","268,393,585,864","928,243,075,329","70,318,084,365","10,637,548,938","80,955,633,303","50,400,145,000","688,525,586,355","847,287,442,026",130262201545,5718183369,9932854389,7667905102,7667905102,
