code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익
004370,농심,생활소비재,2015,Q4,2015-05-15,"839,094,137,809","1,418,376,950,573","2,257,471,088,382","541,129,186,786","86,875,714,537","628,004,901,323","1,550,784,088,172","1,629,466,187,059",1878665374535,105300063076,148325549746,115183232575,115183232575,,
004370,농심,생활소비재,2016,Q1,2016-05-16,"930,133,910,623","1,434,640,126,825","2,364,774,037,448","523,616,006,242","90,983,358,596","614,599,364,838","1,671,180,013,622","1,750,174,672,610",478039687138,28687955922,154663732019,143526425450,143526425450,,
004370,농심,생활소비재,2016,Q2,2016-08-16,"868,267,701,537","1,446,939,919,746","2,315,207,621,283","481,859,712,440","72,450,993,372","554,310,705,812","1,682,031,782,621","1,760,896,915,471",440747529500,4930939549,14242814093,10851768999,10851768999,,
004370,농심,생활소비재,2016,Q3,2016-11-14,"853,333,021,648","1,443,252,198,983","2,296,585,220,631","446,147,638,019","69,635,774,735","515,783,412,754","1,701,918,040,846","1,780,801,807,877",458614860604,15855715857,26530277123,19886258225,19886258225,,
004370,농심,생활소비재,2016,Q4,2016-05-16,"869,641,720,772","1,460,456,264,300","2,330,097,985,072","463,490,437,844","75,003,153,335","538,493,591,179","1,713,474,118,702","1,791,604,393,893",484785381530,19622228955,26085385187,19979495224,19979495224,,
004370,농심,생활소비재,2017,Q1,2017-05-15,"877,234,215,345","1,460,489,011,241","2,337,723,226,586","475,510,189,793","66,924,984,214","542,435,174,007","1,717,410,218,935","1,795,288,052,579",459376064756,26144932178,35611240930,27066600233,27066600233,,
004370,농심,생활소비재,2017,Q2,2017-08-14,"814,892,122,095","1,508,490,275,579","2,323,382,397,674","452,008,172,544","59,245,814,220","511,253,986,764","1,734,295,390,567","1,812,128,410,910",453503786133,15817606538,22139372996,16885171632,16885171632,,
004370,농심,생활소비재,2017,Q3,2017-11-14,"826,494,999,919","1,535,286,972,429","2,361,781,972,348","463,908,330,040","62,082,456,596","525,990,786,636","1,758,106,919,112","1,835,791,185,712",480983269194,23627825448,31408786996,23811528545,23811528545,"30,413,210,000",
004370,농심,생활소비재,2017,Q4,2017-03-30,"790,610,058,045","1,526,767,646,342","2,317,377,704,387","410,759,017,341","59,442,835,893","470,201,853,234","1,769,737,225,633","1,847,175,851,153",461501000958,10471486860,17215816250,12623895249,12623895249,"30,413,210,000",
004370,농심,생활소비재,2018,Q1,2018-05-15,"839,942,657,101","1,522,899,854,792","2,362,842,511,893","451,448,080,886","59,219,612,186","510,667,693,072","1,774,955,139,164","1,852,174,818,821",469268273945,28325035802,36656097168,28348413531,28348413531,"30,413,210,000",
