날짜,시가,고가,저가,종가,거래량,등락률
2015-01-02,24568,24620,23689,23896,491459,-3.14526588845655
2015-01-05,23947,23947,22706,22913,889216,-4.113659189822565
2015-01-06,22551,22706,22085,22189,847097,-3.159778291799415
2015-01-07,22137,22499,21981,22137,568552,-0.23435035377889946
2015-01-08,22292,22499,21982,22034,484992,-0.46528436554185304
2015-01-09,22292,24723,22137,23482,1507591,6.571661976944722
2015-01-12,23689,24465,23430,23586,497605,0.4428924282429095
2015-01-13,23948,24465,23637,23948,646288,1.534808784872382
2015-01-14,24051,24206,23016,23120,480276,-3.4574912310005015
2015-01-15,23016,23637,22861,23327,397077,0.8953287197231834
2015-01-16,23068,23275,22137,22293,450724,-4.432631714322459
2015-01-19,22602,23792,22499,23637,673467,6.028798277486207
2015-01-20,24103,24517,23224,23224,618917,-1.7472606506747894
2015-01-21,23431,23431,22396,22500,485548,-3.117464691698243
2015-01-22,22758,23275,22654,23017,405831,2.2977777777777777
2015-01-23,23326,23482,22654,22758,379013,-1.1252552461224312
2015-01-26,22706,22810,22137,22293,376691,-2.0432375428420775
2015-01-27,22395,22913,22189,22758,382177,2.085856546898129
2015-01-28,22706,24723,22603,24672,1351012,8.410229369891905
2015-01-29,24051,24465,23534,23741,1018218,-3.773508430609598
2015-01-30,24051,24103,22965,23741,643963,0.0
2015-02-02,23585,24361,23430,24258,665583,2.1776673265658566
2015-02-03,24568,25964,24206,24775,1572611,2.1312556682331603
2015-02-04,24982,25240,24672,24672,633108,-0.41574167507568116
2015-02-05,24827,24930,23947,24103,462545,-2.306258106355383
2015-02-06,24103,24620,23844,24310,444047,0.858814255486869
2015-02-09,24310,24879,24258,24362,393535,0.21390374331550802
2015-02-10,24309,24516,23327,23534,602589,-3.3987357359822674
2015-02-11,23637,24672,23378,24672,490558,4.835557066372057
2015-02-12,24723,25396,24568,24879,551276,0.8390077821011673
2015-02-13,25240,25292,24671,25137,428921,1.0370191727963343
2015-02-16,25189,25551,24930,25396,334448,1.0303536619326092
2015-02-17,25396,26689,25241,26379,941778,3.8706882973696644
2015-02-23,26689,26792,26016,26741,537688,1.3723037264490694
2015-02-24,26793,26896,26379,26793,362218,0.19445794846864364
2015-02-25,26844,27413,26689,27103,493123,1.1570186242675327
2015-02-26,27154,27154,26223,26534,603986,-2.0993985905619303
2015-02-27,26430,26482,25758,25758,498095,-2.924549634431296
2015-03-02,25861,26895,25602,26689,518684,3.6144110567590646
2015-03-03,26533,26999,26016,26689,411052,0.0
2015-03-04,26792,27413,26637,27051,455524,1.3563640451122185
2015-03-05,27310,27310,26741,26793,252556,-0.9537540201840966
2015-03-06,26895,27568,26068,26275,624625,-1.9333407979696189
2015-03-09,25862,26275,25603,25862,358528,-1.5718363463368221
2015-03-10,26275,26482,25603,25655,296800,-0.8004021344056916
2015-03-11,25344,26068,25292,25448,306353,-0.8068602611576692
2015-03-12,25551,25706,24672,24672,563958,-3.049355548569632
2015-03-13,24827,25085,24413,24672,454057,0.0
2015-03-16,24620,24620,23586,23793,579441,-3.5627431906614784
2015-03-17,23948,24258,23844,24000,643832,0.8700037826251419
2015-03-18,24258,24517,24000,24000,317288,0.0
2015-03-19,24309,24361,23533,23637,650337,-1.5125
2015-03-20,23637,23948,23327,23793,510223,0.6599822312476202
2015-03-23,24050,25085,23740,24982,697012,4.99726810406422
2015-03-24,24930,24982,24517,24724,318167,-1.0327435753742695
2015-03-25,24930,25603,24827,25293,585099,2.301407539233134
2015-03-26,25085,25602,24827,25034,372531,-1.023998734827818
2015-03-27,25085,25137,24516,24672,338866,-1.4460333945833665
2015-03-30,24465,24775,24258,24362,376685,-1.256485084306096
2015-03-31,24310,24982,24310,24517,377545,0.6362367621705936
2015-04-01,24517,24620,23637,23793,480467,-2.9530529836440023
2015-04-02,23793,24051,23586,24000,290639,0.8700037826251419
2015-04-03,23896,25499,23792,25241,685185,5.170833333333333
2015-04-06,25240,26068,24930,25137,709364,-0.4120280496018383
2015-04-07,25499,26275,25344,25758,607420,2.4704618689581093
2015-04-08,25861,26120,25344,26017,515542,1.005512850376582
