접수번호,법인구분,회사코드,회사명,구분,주주 수,전체 주주 수,주주 비율,보유 주식 수,전체 주식 수,보유 주식 비율,결제일시,연도,분기
20160330001086,Y,00124504,포스코인터내셔널,소액주주,"36,303",-,99.90%,"33,958,344",-,29.82%,2015-12-31,2015,Q4
20170331003834,Y,00124504,포스코인터내셔널,소액주주,"28,672",-,99.99%,"32,616,083",-,28.64%,2016-12-31,2016,Q4
20180611000449,Y,00124504,포스코인터내셔널,소액주주,"36,988",-,99.99%,"38,854,081",-,31.49%,2017-12-31,2017,Q4
20190401001008,Y,00124504,포스코인터내셔널,소액주주,"32,773",-,99.98%,"35,616,100",-,28.87%,2018-12-31,2018,Q4
20200330002757,Y,00124504,포스코인터내셔널,소액주주,"29,634",-,99.98%,"35,137,010",-,28.48%,2019-12-31,2019,Q4
20210305000796,Y,00124504,포스코인터내셔널,소액주주,"39,838","39,868",99.92%,"37,612,017","123,375,149",30.49%,2020-12-31,2020,Q4
20220311001166,Y,00124504,포스코인터내셔널,소액주주,"71,390","71,414",99.97%,"35,853,619","123,375,149",29.06%,2021-12-31,2021,Q4
20230310000736,Y,00124504,포스코인터내셔널,소액주주,"53,940","53,946",99.99%,"31,395,506","123,375,149",25.45%,2022-12-31,2022,Q4
20240329001908,Y,00124504,포스코인터내셔널,소액주주,"180,598","180,602",99.99%,"38,442,919","175,922,788",21.85%,2023-12-31,2023,Q4
20250314001718,Y,00124504,포스코인터내셔널,소액주주,"153,566","153,568",99.99%,"35,608,549","175,922,788",20.24%,2024-12-31,2024,Q4
