접수번호,법인구분,회사코드,회사명,구분,발행할 주식 총수,현재까지 발행한 주식 총수,현재까지 감소한 주식의 총수,주식 수 감소,이익 소각,상환주식의 상환,기타,발행주식의 총수,자기주식수,유통주식수,결제일시,연도,분기
20160329000310,Y,00104388,국도화학,보통주,"20,000,000","5,810,616",-,-,-,-,-,"5,810,616",-,"5,810,616",2015-12-31,2015,Q4
20160329000310,Y,00104388,국도화학,우선주,-,-,-,-,-,-,-,-,-,-,2015-12-31,2015,Q4
20160329000310,Y,00104388,국도화학,합계,"20,000,000","5,810,616",-,-,-,-,-,"5,810,616",-,"5,810,616",2015-12-31,2015,Q4
20160329000310,Y,00104388,국도화학,비고,-,-,-,-,-,-,-,-,-,-,2015-12-31,2015,Q4
20170329000302,Y,00104388,국도화학,보통주,"20,000,000","5,810,616",-,-,-,-,-,"5,810,616",-,"5,810,616",2016-12-31,2016,Q4
20170329000302,Y,00104388,국도화학,우선주,-,-,-,-,-,-,-,-,-,-,2016-12-31,2016,Q4
20170329000302,Y,00104388,국도화학,합계,"20,000,000","5,810,616",-,-,-,-,-,"5,810,616",-,"5,810,616",2016-12-31,2016,Q4
20170329000302,Y,00104388,국도화학,비고,-,-,-,-,-,-,-,-,-,-,2016-12-31,2016,Q4
20180330000113,Y,00104388,국도화학,보통주,"20,000,000","5,810,616",-,-,-,-,-,"5,810,616","144,289","5,666,327",2017-12-31,2017,Q4
20180330000113,Y,00104388,국도화학,우선주,-,-,-,-,-,-,-,-,-,-,2017-12-31,2017,Q4
20180330000113,Y,00104388,국도화학,합계,"20,000,000","5,810,616",-,-,-,-,-,"5,810,616","144,289","5,666,327",2017-12-31,2017,Q4
20180330000113,Y,00104388,국도화학,비고,-,-,-,-,-,-,-,-,-,-,2017-12-31,2017,Q4
20190329001968,Y,00104388,국도화학,보통주,"20,000,000","5,810,616",-,-,-,-,-,"5,810,616","244,289","5,566,327",2018-12-31,2018,Q4
20190329001968,Y,00104388,국도화학,우선주,-,-,-,-,-,-,-,-,-,-,2018-12-31,2018,Q4
20190329001968,Y,00104388,국도화학,합계,"20,000,000","5,810,616",-,-,-,-,-,"5,810,616","244,289","5,566,327",2018-12-31,2018,Q4
20190329001968,Y,00104388,국도화학,비고,-,-,-,-,-,-,-,-,-,-,2018-12-31,2018,Q4
20200330001259,Y,00104388,국도화학,보통주,"20,000,000","5,810,616",-,-,-,-,-,"5,810,616","244,289","5,566,327",2019-12-31,2019,Q4
20200330001259,Y,00104388,국도화학,우선주,-,-,-,-,-,-,-,-,-,-,2019-12-31,2019,Q4
20200330001259,Y,00104388,국도화학,합계,"20,000,000","5,810,616",-,-,-,-,-,"5,810,616","244,289","5,566,327",2019-12-31,2019,Q4
20200330001259,Y,00104388,국도화학,비고,-,-,-,-,-,-,-,-,-,-,2019-12-31,2019,Q4
20210312000286,Y,00104388,국도화학,보통주,"20,000,000","5,810,616",-,-,-,-,-,"5,810,616","364,289","5,446,327",2020-12-31,2020,Q4
20210312000286,Y,00104388,국도화학,우선주,-,-,-,-,-,-,-,-,-,-,2020-12-31,2020,Q4
20210312000286,Y,00104388,국도화학,합계,"20,000,000","5,810,616",-,-,-,-,-,"5,810,616","364,289","5,446,327",2020-12-31,2020,Q4
20210312000286,Y,00104388,국도화학,비고,-,-,-,-,-,-,-,-,-,-,2020-12-31,2020,Q4
20220310001195,Y,00104388,국도화학,보통주,"20,000,000","9,010,616",-,-,-,-,-,"9,010,616","370,082","8,640,534",2021-12-31,2021,Q4
20220310001195,Y,00104388,국도화학,우선주,-,-,-,-,-,-,-,-,-,-,2021-12-31,2021,Q4
20220310001195,Y,00104388,국도화학,합계,"20,000,000","9,010,616",-,-,-,-,-,"9,010,616","370,082","8,640,534",2021-12-31,2021,Q4
20220310001195,Y,00104388,국도화학,비고,-,-,-,-,-,-,-,-,-,-,2021-12-31,2021,Q4
20230302000553,Y,00104388,국도화학,보통주,"20,000,000","9,010,616",-,-,-,-,-,"9,010,616","520,082","8,490,534",2022-12-31,2022,Q4
20230302000553,Y,00104388,국도화학,우선주,-,-,-,-,-,-,-,-,-,-,2022-12-31,2022,Q4
20230302000553,Y,00104388,국도화학,합계,"20,000,000","9,010,616",-,-,-,-,-,"9,010,616","520,082","8,490,534",2022-12-31,2022,Q4
20230302000553,Y,00104388,국도화학,비고,-,-,-,-,-,-,-,-,-,-,2022-12-31,2022,Q4
20240307000864,Y,00104388,국도화학,보통주,"20,000,000","9,010,616",-,-,-,-,-,"9,010,616","670,082","8,340,534",2023-12-31,2023,Q4
20240307000864,Y,00104388,국도화학,우선주,-,-,-,-,-,-,-,-,-,-,2023-12-31,2023,Q4
20240307000864,Y,00104388,국도화학,합계,"20,000,000","9,010,616",-,-,-,-,-,"9,010,616","670,082","8,340,534",2023-12-31,2023,Q4
20240307000864,Y,00104388,국도화학,비고,-,-,-,-,-,-,-,-,-,-,2023-12-31,2023,Q4
20250321001221,Y,00104388,국도화학,보통주,"17,500,000","9,010,616",-,-,-,-,-,"9,010,616","670,082","8,340,534",2024-12-31,2024,Q4
20250321001221,Y,00104388,국도화학,우선주,"2,500,000",-,-,-,-,-,-,-,-,-,2024-12-31,2024,Q4
20250321001221,Y,00104388,국도화학,합계,"20,000,000","9,010,616",-,-,-,-,-,"9,010,616","670,082","8,340,534",2024-12-31,2024,Q4
20250321001221,Y,00104388,국도화학,비고,-,-,-,-,-,-,-,-,-,-,2024-12-31,2024,Q4
