접수번호,접수일자,회사코드,회사명,대표보고자,발행 회사 관계 임원(등기여부),발행 회사 관계 임원 직위,발행 회사 관계 주요 주주,특정 증권 등 소유 수,특정 증권 등 소유 증감 수,특정 증권 등 소유 비율,특정 증권 등 소유 증감 비율,연도,분기
20230919000251,2023-09-19,00102858,고려아연,최윤범,등기임원,대표이사 회장,-,"354,422","4,393",1.70,-0.06,2023,Q3
20230926000494,2023-09-26,00102858,고려아연,최창걸,비등기임원,명예회장,-,0,"-24,912",0.00,-0.13,2023,Q3
20230926000506,2023-09-26,00102858,고려아연,최윤범,등기임원,대표이사 회장,-,"361,035","6,613",1.73,0.03,2023,Q3
20231011000299,2023-10-11,00102858,고려아연,최윤범,등기임원,대표이사 회장,-,"365,932","4,897",1.75,0.02,2023,Q4
20231011000359,2023-10-11,00102858,고려아연,최민석,비등기임원,담당,-,"55,429","1,000",0.27,-0.02,2023,Q4
20231017000193,2023-10-17,00102858,고려아연,영풍,-,-,10%이상주주,"5,258,797","72,000",25.15,-2.34,2023,Q4
20240514000712,2024-05-14,00102858,고려아연,최헌식,비등기임원,담당,-,21,21,0.00,0.00,2024,Q2
20240604000218,2024-06-04,00102858,고려아연,이건우,비등기임원,담당,-,150,150,0.00,0.00,2024,Q2
20240604000237,2024-06-04,00102858,고려아연,최내현,등기임원,기타비상무이사,-,"165,009","5,000",0.80,-0.01,2024,Q2
20240604000248,2024-06-04,00102858,고려아연,최윤범,등기임원,회장,-,"380,256","14,324",1.84,0.09,2024,Q2
20241017000301,2024-10-17,00102858,고려아연,영풍,-,-,10%이상주주,"5,262,450","3,653",25.42,0.27,2024,Q4
20241025000139,2024-10-25,00102858,고려아연,권경덕,비등기임원,본부장,-,10,10,0.00,0.00,2024,Q4
20241025000146,2024-10-25,00102858,고려아연,권기성,비등기임원,본부장,-,18,18,0.00,0.00,2024,Q4
20241025000180,2024-10-25,00102858,고려아연,원종관,비등기임원,본부장,-,10,10,0.00,0.00,2024,Q4
20241025000175,2024-10-25,00102858,고려아연,성남준,비등기임원,본부장,-,30,30,0.00,0.00,2024,Q4
20241025000165,2024-10-25,00102858,고려아연,류재길,비등기임원,담당,-,45,45,0.00,0.00,2024,Q4
20241025000156,2024-10-25,00102858,고려아연,권인대,비등기임원,본부장,-,50,50,0.00,0.00,2024,Q4
20241029000279,2024-10-29,00102858,고려아연,김영규,비등기임원,담당,-,10,10,0.00,0.00,2024,Q4
20241112000278,2024-11-12,00102858,고려아연,김용복,비등기임원,본부장,-,10,10,0.00,0.00,2024,Q4
20241112000285,2024-11-12,00102858,고려아연,박성웅,비등기임원,본부장,-,15,15,0.00,0.00,2024,Q4
20241220000618,2024-12-20,00102858,고려아연,이건우,비등기임원,담당,-,200,50,0.00,0.00,2024,Q4
20250314001136,2025-03-14,00102858,고려아연,와이피씨,-,-,10%이상주주,"5,262,450","5,262,450",25.42,25.42,2025,Q1
20250314001354,2025-03-14,00102858,고려아연,영풍,-,-,사실상지배주주,10,"-5,262,440",0.00,-25.42,2025,Q1
20250317000011,2025-03-17,00102858,고려아연,최윤범,등기임원,회장,-,"342,256","-38,000",1.65,-0.19,2025,Q1
20250410002303,2025-04-10,00102858,고려아연,강성두,등기임원,기타비상무이사,-,145,145,0.00,0.00,2025,Q2
20250605000383,2025-06-05,00102858,고려아연,최윤범,등기임원,회장,-,"323,056","-19,200",1.56,-0.09,2025,Q2
