접수번호,법인구분,고유번호,회사명,증자일자,증자방식,증자주식종류,증자주식수,주식액면가액,발행금액,결제일시,연도,분기
20160330003624,Y,00126478,삼성중공업,-,-,-,-,-,-,2015-12-31,2015,Q4
20170331005328,Y,00126478,삼성중공업,2016.11.16,유상증자(주주배정),보통주,"159,124,614","5,000","7,170",2016-12-31,2016,Q4
20180323001046,Y,00126478,삼성중공업,2016.11.16,유상증자(주주배정),보통주,"159,124,614","5,000","7,170",2017-12-31,2017,Q4
20190401004680,Y,00126478,삼성중공업,2016.11.16,유상증자(주주배정),보통주,"159,124,614","5,000","7,170",2018-12-31,2018,Q4
20190401004680,Y,00126478,삼성중공업,2018.04.23,유상증자(주주배정),보통주,"240,000,000","5,000","5,870",2018-12-31,2018,Q4
20200330004469,Y,00126478,삼성중공업,2016.11.16,유상증자(주주배정),보통주,"159,124,614","5,000","7,170",2019-12-31,2019,Q4
20200330004469,Y,00126478,삼성중공업,2018.04.23,유상증자(주주배정),보통주,"240,000,000","5,000","5,870",2019-12-31,2019,Q4
20210311000965,Y,00126478,삼성중공업,2016.11.16,유상증자(주주배정),보통주,"159,124,614","5,000","7,170",2020-12-31,2020,Q4
20210311000965,Y,00126478,삼성중공업,2018.04.23,유상증자(주주배정),보통주,"240,000,000","5,000","5,870",2020-12-31,2020,Q4
20220310001057,Y,00126478,삼성중공업,2016.11.16,유상증자(주주배정),보통주,"159,124,614","5,000","7,170",2021-12-31,2021,Q4
20220310001057,Y,00126478,삼성중공업,2018.04.23,유상증자(주주배정),보통주,"240,000,000","5,000","5,870",2021-12-31,2021,Q4
20220310001057,Y,00126478,삼성중공업,2021.07.26,무상감자,보통주,-,"1,000",-,2021-12-31,2021,Q4
20220310001057,Y,00126478,삼성중공업,2021.07.26,무상감자,우선주,-,"1,000",-,2021-12-31,2021,Q4
20220310001057,Y,00126478,삼성중공업,2021.11.08,유상증자(주주배정),보통주,"250,000,000","1,000","5,130",2021-12-31,2021,Q4
20230309000699,Y,00126478,삼성중공업,2018.04.23,유상증자(주주배정),보통주,"240,000,000","5,000","5,870",2022-12-31,2022,Q4
20230309000699,Y,00126478,삼성중공업,2021.07.26,무상감자,보통주,-,"1,000",-,2022-12-31,2022,Q4
20230309000699,Y,00126478,삼성중공업,2021.07.26,무상감자,우선주,-,"1,000",-,2022-12-31,2022,Q4
20230309000699,Y,00126478,삼성중공업,2021.11.08,유상증자(주주배정),보통주,"250,000,000","1,000","5,130",2022-12-31,2022,Q4
20240315000850,Y,00126478,삼성중공업,2021.07.26,무상감자,보통주,-,"1,000",-,2023-12-31,2023,Q4
20240315000850,Y,00126478,삼성중공업,2021.07.26,무상감자,우선주,-,"1,000",-,2023-12-31,2023,Q4
20240315000850,Y,00126478,삼성중공업,2021.11.08,유상증자(주주배정),보통주,"250,000,000","1,000","5,130",2023-12-31,2023,Q4
20250319000397,Y,00126478,삼성중공업,2021.07.26,무상감자,보통주,-,"1,000",-,2024-12-31,2024,Q4
20250319000397,Y,00126478,삼성중공업,2021.07.26,무상감자,우선주,-,"1,000",-,2024-12-31,2024,Q4
20250319000397,Y,00126478,삼성중공업,2021.11.08,유상증자(주주배정),보통주,"250,000,000","1,000","5,130",2024-12-31,2024,Q4
