접수번호,법인구분,회사코드,회사명,직원 수,총 급여액,1인평균급여,비고,결제일시,연도,분기
20160609000026,Y,00120526,롯데쇼핑,"2,093","172,392,507,000","81,548,000",-,2015-12-31,2015,Q4
20160609000026,Y,00120526,롯데쇼핑,"3,425","131,750,670,000","37,334,000",-,2015-12-31,2015,Q4
20160609000026,Y,00120526,롯데쇼핑,"3,882","193,844,788,000","49,723,000",-,2015-12-31,2015,Q4
20160609000026,Y,00120526,롯데쇼핑,"9,729","205,998,171,000","24,875,000",-,2015-12-31,2015,Q4
20160609000026,Y,00120526,롯데쇼핑,"2,338","72,281,736,000","30,779,000",-,2015-12-31,2015,Q4
20160609000026,Y,00120526,롯데쇼핑,"4,563","119,723,873,000","25,952,000",-,2015-12-31,2015,Q4
20170601000387,Y,00120526,롯데쇼핑,"2,019","175,129,073,000","86,356,000",-,2016-12-31,2016,Q4
20170601000387,Y,00120526,롯데쇼핑,"3,384","135,613,409,000","40,786,000",-,2016-12-31,2016,Q4
20170601000387,Y,00120526,롯데쇼핑,"3,850","201,824,207,000","52,043,000",-,2016-12-31,2016,Q4
20170601000387,Y,00120526,롯데쇼핑,"9,964","212,003,238,000","26,164,000",-,2016-12-31,2016,Q4
20170601000387,Y,00120526,롯데쇼핑,"2,375","99,508,461,000","42,757,000",-,2016-12-31,2016,Q4
20170601000387,Y,00120526,롯데쇼핑,"4,765","109,575,803,000","23,323,000",-,2016-12-31,2016,Q4
20180402005083,Y,00120526,롯데쇼핑,"1,976","171,256,636,000","86,232,000",-,2017-12-31,2017,Q4
20180402005083,Y,00120526,롯데쇼핑,"3,360","140,866,184,000","42,277,000",-,2017-12-31,2017,Q4
20180402005083,Y,00120526,롯데쇼핑,"3,805","202,155,930,000","52,512,000",-,2017-12-31,2017,Q4
20180402005083,Y,00120526,롯데쇼핑,"9,803","225,919,070,000","27,804,000",-,2017-12-31,2017,Q4
20180402005083,Y,00120526,롯데쇼핑,"2,349","97,925,861,000","42,155,000",-,2017-12-31,2017,Q4
20180402005083,Y,00120526,롯데쇼핑,"4,699","118,668,043,000","24,952,000",-,2017-12-31,2017,Q4
20190401004513,Y,00120526,롯데쇼핑,"2,021","153,125,381,000","74,189,000",-,2018-12-31,2018,Q4
20190401004513,Y,00120526,롯데쇼핑,"3,285","139,514,523,000","42,665,000",-,2018-12-31,2018,Q4
20190401004513,Y,00120526,롯데쇼핑,"3,805","198,913,007,000","53,640,000",-,2018-12-31,2018,Q4
20190401004513,Y,00120526,롯데쇼핑,"9,563","241,624,899,000","30,240,000",-,2018-12-31,2018,Q4
20190401004513,Y,00120526,롯데쇼핑,"2,156","90,917,516,000","42,253,000",-,2018-12-31,2018,Q4
20190401004513,Y,00120526,롯데쇼핑,"4,253","117,666,978,000","27,009,000",-,2018-12-31,2018,Q4
20200814001581,Y,00120526,롯데쇼핑,"1,908","149,173,365,000","78,928,000",-,2019-12-31,2019,Q4
20200814001581,Y,00120526,롯데쇼핑,"3,054","135,276,777,000","49,389,000",-,2019-12-31,2019,Q4
20200814001581,Y,00120526,롯데쇼핑,"3,727","198,201,673,000","53,465,000",-,2019-12-31,2019,Q4
20200814001581,Y,00120526,롯데쇼핑,"9,268","253,180,415,000","32,904,000",-,2019-12-31,2019,Q4
20200814001581,Y,00120526,롯데쇼핑,"2,266","94,500,525,000","42,151,000",-,2019-12-31,2019,Q4
20200814001581,Y,00120526,롯데쇼핑,"5,075","150,788,626,000","36,714,000",-,2019-12-31,2019,Q4
20210315000915,Y,00120526,롯데쇼핑,"1,835","138,582,012,000","75,286,000",-,2020-12-31,2020,Q4
20210315000915,Y,00120526,롯데쇼핑,"2,901","130,316,442,000","49,825,000",-,2020-12-31,2020,Q4
20210315000915,Y,00120526,롯데쇼핑,"3,551","182,030,212,000","51,003,000",-,2020-12-31,2020,Q4
20210315000915,Y,00120526,롯데쇼핑,"8,551","254,875,015,000","35,432,000",-,2020-12-31,2020,Q4
20210315000915,Y,00120526,롯데쇼핑,"1,966","100,880,468,000","49,955,000",-,2020-12-31,2020,Q4
20210315000915,Y,00120526,롯데쇼핑,"3,987","151,052,164,000","43,675,000",-,2020-12-31,2020,Q4
20220315001185,Y,00120526,롯데쇼핑,"1,718","139,101,408,000","76,467,000",-,2021-12-31,2021,Q4
20220315001185,Y,00120526,롯데쇼핑,"2,621","133,170,326,000","52,568,000",-,2021-12-31,2021,Q4
20220315001185,Y,00120526,롯데쇼핑,"3,387","243,941,240,000","70,892,000",-,2021-12-31,2021,Q4
20220315001185,Y,00120526,롯데쇼핑,"8,199","269,394,859,000","39,647,000",-,2021-12-31,2021,Q4
20220315001185,Y,00120526,롯데쇼핑,"1,735","83,014,233,000","47,179,000",-,2021-12-31,2021,Q4
20220315001185,Y,00120526,롯데쇼핑,"3,382","138,742,042,000","40,456,000",-,2021-12-31,2021,Q4
20230315001405,Y,00120526,롯데쇼핑,"1,698","142,115,942,000","82,359,000",-,2022-12-31,2022,Q4
20230315001405,Y,00120526,롯데쇼핑,"2,868","135,372,650,000","53,522,000",-,2022-12-31,2022,Q4
20230315001405,Y,00120526,롯데쇼핑,"3,446","228,739,552,000","64,793,000",-,2022-12-31,2022,Q4
20230315001405,Y,00120526,롯데쇼핑,"7,959","258,396,953,000","39,743,000",-,2022-12-31,2022,Q4
20230315001405,Y,00120526,롯데쇼핑,"1,624","110,352,266,000","62,528,000",-,2022-12-31,2022,Q4
20230315001405,Y,00120526,롯데쇼핑,"3,128","102,384,885,000","34,873,000",-,2022-12-31,2022,Q4
20240315000948,Y,00120526,롯데쇼핑,"1,700","146,501,784,000","87,365,000",-,2023-12-31,2023,Q4
20240315000948,Y,00120526,롯데쇼핑,"2,909","151,640,518,000","57,163,000",-,2023-12-31,2023,Q4
20240315000948,Y,00120526,롯데쇼핑,"3,321","236,259,078,000","68,385,000",-,2023-12-31,2023,Q4
20240315000948,Y,00120526,롯데쇼핑,"7,295","262,697,922,000","44,030,000",-,2023-12-31,2023,Q4
