접수번호,법인구분,회사코드,회사명,직원 수,총 급여액,1인평균급여,비고,결제일시,연도,분기
20160330003114,Y,00992871,종근당,"1,391","80,768,000,000","58,000,000",-,2015-12-31,2015,Q4
20160330003114,Y,00992871,종근당,512,"25,633,000,000","50,000,000",-,2015-12-31,2015,Q4
20170331001683,Y,00992871,종근당,"1,373","85,503,000,000","62,000,000",-,2016-12-31,2016,Q4
20170331001683,Y,00992871,종근당,510,"26,611,000,000","52,000,000",-,2016-12-31,2016,Q4
20180402002615,Y,00992871,종근당,"1,467","88,132,000,000","60,000,000",-,2017-12-31,2017,Q4
20180402002615,Y,00992871,종근당,539,"27,558,000,000","51,000,000",-,2017-12-31,2017,Q4
20190401004693,Y,00992871,종근당,"1,492","94,428,000,000","63,000,000",-,2018-12-31,2018,Q4
20190401004693,Y,00992871,종근당,608,"31,221,000,000","51,000,000",-,2018-12-31,2018,Q4
20200330002362,Y,00992871,종근당,"1,581","119,615,000,000","76,000,000",-,2019-12-31,2019,Q4
20200330002362,Y,00992871,종근당,662,"37,386,000,000","56,000,000",-,2019-12-31,2019,Q4
20210318000944,Y,00992871,종근당,"1,593","117,257,000,000","74,000,000",-,2020-12-31,2020,Q4
20210318000944,Y,00992871,종근당,677,"39,965,000,000","59,000,000",-,2020-12-31,2020,Q4
20220317001126,Y,00992871,종근당,"1,688","125,306,000,000","76,000,000",-,2021-12-31,2021,Q4
20220317001126,Y,00992871,종근당,748,"43,565,000,000","61,000,000",-,2021-12-31,2021,Q4
20230316000376,Y,00992871,종근당,"1,639","132,505,000,000","80,000,000",-,2022-12-31,2022,Q4
20230316000376,Y,00992871,종근당,757,"48,012,000,000","63,000,000",-,2022-12-31,2022,Q4
20240320001136,Y,00992871,종근당,"1,603","132,719,000,000","83,000,000",-,2023-12-31,2023,Q4
20240320001136,Y,00992871,종근당,721,"48,512,000,000","66,000,000",-,2023-12-31,2023,Q4
20250325000403,Y,00992871,종근당,"1,606","140,718,000,000","87,000,000",-,2024-12-31,2024,Q4
20250325000403,Y,00992871,종근당,730,"50,295,000,000","69,000,000",-,2024-12-31,2024,Q4
