접수번호,법인구분,회사코드,회사명,주식종류,이름,관계,기초 소유 주식 수,기초 소유주식 지분율,기말 소유주식 수,기말 소유주식 지분율,비고,결제일시,연도,분기
20160330001086,Y,00124504,포스코인터내셔널,보통주,(주)포스코,최대주주,"68,681,566",60.30,"68,681,566",60.30,-,2015-12-31,2015,Q4
20160330001086,Y,00124504,포스코인터내셔널,보통주,김영상,등기임원,"1,144",0.00,"1,144",0.00,-,2015-12-31,2015,Q4
20160330001086,Y,00124504,포스코인터내셔널,보통주,오인환,비상무이사,0,0.00,0,0.00,-,2015-12-31,2015,Q4
20160330001086,Y,00124504,포스코인터내셔널,보통주,계,,"68,682,710",60.30,"68,682,710",60.30,-,2015-12-31,2015,Q4
20160330001086,Y,00124504,포스코인터내셔널,기 타,계,,0,0.00,0,0.00,-,2015-12-31,2015,Q4
20170331003834,Y,00124504,포스코인터내셔널,보통주,(주)포스코,최대주주,"68,681,566",60.30,"68,681,566",60.30,-,2016-12-31,2016,Q4
20170331003834,Y,00124504,포스코인터내셔널,보통주,김영상,등기임원,"1,144",0.00,"1,696",0.00,-,2016-12-31,2016,Q4
20170331003834,Y,00124504,포스코인터내셔널,보통주,계,,"68,682,710",60.30,"68,683,262",60.30,-,2016-12-31,2016,Q4
20170331003834,Y,00124504,포스코인터내셔널,기 타,계,,0,0.00,0,0.00,-,2016-12-31,2016,Q4
20180611000449,Y,00124504,포스코인터내셔널,보통주,㈜포스코,최대주주,"68,681,566",60.30,"77,606,130",62.90,-,2017-12-31,2017,Q4
20180611000449,Y,00124504,포스코인터내셔널,보통주,학교법인 포항공과대학교,기타,0,0.00,"370,757",0.30,-,2017-12-31,2017,Q4
20180611000449,Y,00124504,포스코인터내셔널,보통주,㈜포스메이트,계열사,0,0.00,"41,989",0.00,-,2017-12-31,2017,Q4
20180611000449,Y,00124504,포스코인터내셔널,보통주,㈜포스코피앤에스,계열사,0,0.00,"6,553",0.00,-,2017-12-31,2017,Q4
20180611000449,Y,00124504,포스코인터내셔널,보통주,김영상,등기임원,"1,696",0.00,"2,615",0.00,-,2017-12-31,2017,Q4
