접수번호,법인구분,회사코드,회사명,변동일,최대주주명,보유 주식 수,보유 지분율,변동원인,비고,결제일시,연도,분기
20160329001045,Y,00939331,한국콜마,2012년 10월 01일,윤동한,"1,528,823",16.30%,-,인적분할,2015-12-31,2015,Q4
20160329001045,Y,00939331,한국콜마,2015년 12월 29일,"한국콜마
홀딩스","4,572,641",21.67%,-,장내매수,2015-12-31,2015,Q4
20160329001045,Y,00939331,한국콜마,2012년 12월 16일,"한국콜마
홀딩스","3,927,780",20.16%,-,2012. 12. 11 주요사항보고서(유상증자결정) 참조,2015-12-31,2015,Q4
20160329001045,Y,00939331,한국콜마,2014년 11월 11일,"한국콜마
홀딩스","4,466,573",21.17%,-,한국콜마홀딩스 신주인수권증권의 권리행사,2015-12-31,2015,Q4
20160329001045,Y,00939331,한국콜마,2015년 08월 22일,"한국콜마
홀딩스","4,496,573",21.31%,-,장내매수,2015-12-31,2015,Q4
20160329001045,Y,00939331,한국콜마,2015년 08월 24일,"한국콜마
홀딩스","4,506,573",21.36%,-,장내매수,2015-12-31,2015,Q4
20160329001045,Y,00939331,한국콜마,2015년 08월 27일,"한국콜마
홀딩스","4,516,573",21.41%,-,장내매수,2015-12-31,2015,Q4
20160329001045,Y,00939331,한국콜마,2015년 09월 08일,"한국콜마
홀딩스","4,526,573",21.45%,-,장내매수,2015-12-31,2015,Q4
20160329001045,Y,00939331,한국콜마,2015년 10월 28일,"한국콜마
홀딩스","4,546,573",21.55%,-,장내매수,2015-12-31,2015,Q4
20160329001045,Y,00939331,한국콜마,2015년 12월 08일,"한국콜마
홀딩스","4,556,573",21.59%,-,장내매수,2015-12-31,2015,Q4
20170331004224,Y,00939331,한국콜마,-,-,-,-,-,-,2016-12-31,2016,Q4
20180330001710,Y,00939331,한국콜마,-,-,-,-,-,-,2017-12-31,2017,Q4
20190329003108,Y,00939331,한국콜마,-,-,-,-,-,-,2018-12-31,2018,Q4
20200330004678,Y,00939331,한국콜마,-,-,-,-,-,-,2019-12-31,2019,Q4
20210318001200,Y,00939331,한국콜마,-,-,-,-,-,-,2020-12-31,2020,Q4
20220317001031,Y,00939331,한국콜마,-,-,-,-,-,-,2021-12-31,2021,Q4
20230322001251,Y,00939331,한국콜마,-,-,-,-,-,-,2022-12-31,2022,Q4
20240321001772,Y,00939331,한국콜마,-,-,-,-,-,-,2023-12-31,2023,Q4
20250318001173,Y,00939331,한국콜마,-,-,-,-,-,-,2024-12-31,2024,Q4
