



- 거래소 외국인 매도 상위순(12:45분∼14:25분, 단위:만주)







외환은행 32.0 삼성중공업 24.8 대우조선해양 16.1



웅진닷컴 15.0 삼성물산 12.8 KT&G 11.3



한국전력 10.2 LG 7.7 POSCO 6.5



대우종합기계 6.4 일진전기 6.0 KT 5.1



현대차 5.0 대한항공 4.6 대구은행 4.0



신한지주 3.0 삼성전자 2.5 부산은행 2.5



한진해운 2.5 대신증권우 2.2 LG화학 2.0



모나미 2.0 제일기획 1.6 엔씨소프트 1.5



팬택 1.5 삼성화재 1.5 한국가스공사 1.5



에스원 1.4 동국제강 1.3 풀무원 1.1



현대차2우B 1.1 LG생명과학 1.0 국민은행 0.9



신세계 0.7 LG석유화학 0.7 CJ 0.6



금강고려 0.4 SK텔레콤 0.4 신도리코 0.3



태평양 0.2 삼성전자우 0.2 현대산업 0.1



LG카드 0.1



- 거래소 외국인 매수 상위순(12:45분∼14:25분, 단위:만주)







한진해운 30.0 우리금융 28.0 LG상사 23.0



조흥은행 22.4 국민은행 21.5 SK 20.5



한미은행 20.1 동국제강 20.0 LG카드 20.0



한국전력 19.0 한국타이어 19.0 KT&G 16.0



KT 15.0 기아차 14.0 신한지주 13.0



현대차 13.0 하나은행 12.0 대신증권우 11.0



현대오토넷 9.3 대우조선해양 9.2 쌍용차 8.6



한강기금 8.0 현대산업 7.1 삼성전자 6.5



삼성증권 6.5 LG석유화학 6.2 현대모비스 6.1



한섬 6.0 대림산업 5.8 LG전선 5.2



LG투자증권 5.0 신흥 5.0 LG건설 4.8



POSCO 4.7 동부화재 4.6 LG 4.1



대우차판매 4.0 태평양산업 3.7 에스원 3.7



한화석화 3.6 아남반도체 3.6 고려아연 2.9



엔씨소프트 2.8 제일기획 2.8 한미약품 2.7



호남석유 2.6 CJ 2.4 삼성전자우 2.2



동양화재 2.0 LG전자 1.7 한국단자 1.7



LG화학 1.7 LG애드 1.3 한국가스공사 1.2



삼성화재 1.1 호텔신라 1.1 팬택 1.0



현대차우 1.0 현대상선 1.0 자화전자 1.0



효성 0.9 신도리코 0.8 한일시멘트 0.8



하이트맥주 0.7 대덕GDS 0.7 태평양 0.6



대덕전자 0.5 현대해상 0.5 한국철강 0.5



대신증권 0.3



- 거래소 외국인 당일 매도 상위순(09:00 ∼ 14:25분, 단위:만주)







외환은행 74.9 삼성중공업 64.5 SK증권 37.5



한국전력 21.0 현대차 20.7 KT&G 20.0



일진전기 20.0 대우조선해양 16.1 웅진닷컴 15.0



삼성전자 15.0 KT 13.8 신한지주 13.8



POSCO 13.5 삼성물산 12.8 국민은행 12.0



LG카드 10.2 LG화학 9.2 엔씨소프트 9.0



LG 8.8 팬택 6.9 대우종합기계 6.6



에스원 6.1 대한항공 4.6 대구은행 4.0



LG생명과학 3.9 한국가스공사 3.7 기아차 3.7



