,Unnamed: 0,year,quarter,disclosure_date,code,name,sector,url,upload_date
0,0,2016,Q1,2016-05-16,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=MaxIgvl6_EU,2016-05-15
1,1,2016,Q2,2016-08-16,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=wbWYpnktPnE,2016-08-10
2,2,2016,Q3,2016-11-14,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=D-SuF9CFO08,2016-11-11
3,3,2016,Q4,2017-03-31,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=6AYmpJkalYY,2017-03-28
4,4,2017,Q1,2017-05-15,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=hTNwrZ14isA,2017-05-12
5,5,2017,Q2,2017-08-14,120,CJ대한통운,산업재,,
6,6,2017,Q3,2017-11-14,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=ES_8ZGWFyyQ,2017-11-08
7,7,2017,Q4,2018-04-02,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=OiAVGad_Bv0,2018-03-29
8,8,2018,Q1,2018-05-15,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=306fkxpPTjk,2018-05-14
9,9,2018,Q2,2018-08-14,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=rm7wvlcbazM,2018-08-10
10,10,2018,Q3,2018-11-14,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=LcXpCHZaRr8,2018-11-12
11,11,2018,Q4,2019-04-01,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=mJCnaAFcZMc,2019-03-29
12,12,2019,Q1,2019-05-15,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=a5KND_Jetjk,2019-05-08
13,13,2019,Q2,2019-08-14,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=C5Yz_Iu0MWg,2019-08-08
14,14,2019,Q3,2019-11-14,120,CJ대한통운,산업재,,
15,15,2019,Q4,2020-03-30,120,CJ대한통운,산업재,,
16,16,2020,Q1,2020-05-15,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=vy6j2J94ejY,2020-05-12
17,17,2020,Q2,2020-08-14,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=CoW-rnqh8iM,2020-08-12
18,18,2020,Q3,2020-11-16,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=N-2igRdEzIs,2020-11-12
19,19,2020,Q4,2021-03-19,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=P6wmR148WI8,2021-03-16
20,20,2021,Q1,2021-05-14,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=js_LpFwLVEg,2021-05-07
21,21,2021,Q2,2021-08-17,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=AIVP0jo0Yag,2021-08-11
