year,quarter,disclosure_date,code,name,sector,url,category
2016,Q1,2016-05-16,120,CJ대한통운,산업재,https://www5.ajunews.com/view/20160504095741793,article
2016,Q3,2016-11-14,120,CJ대한통운,산업재,https://www.klnews.co.kr/news/articleView.html?idxno=114432,article
2016,Q4,2017-03-31,120,CJ대한통운,산업재,https://magazine.hankyung.com/business/article/201703270765b,article
2017,Q2,2017-08-14,120,CJ대한통운,산업재,https://www.edaily.co.kr/News/Read?newsId=02765046616025352&mediaCodeNo=257,article
2018,Q1,2018-05-15,120,CJ대한통운,산업재,https://news.nate.com/view/20180511n27428?mid=n0000,article
2018,Q2,2018-08-14,120,CJ대한통운,산업재,https://news.nate.com/view/20180808n14859,article
2019,Q3,2019-11-14,120,CJ대한통운,산업재,https://www.labortoday.co.kr/news/articleView.html?idxno=161418,article
2019,Q4,2020-03-30,120,CJ대한통운,산업재,https://news.nate.com/view/20200329n02205?mid=n0000,article
2022,Q4,2023-03-17,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=IiSo822wTys,video
2024,Q3,2024-11-14,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=hW_RLtjCplU,video
2016,Q1,2016-05-16,150,두산,산업재,https://www.mk.co.kr/news/business/7336629,article
2016,Q3,2016-11-14,150,두산,산업재,https://news.nate.com/view/20161111n11422?mid=n0901,article
2016,Q4,2017-03-31,150,두산,산업재,https://www5.ajunews.com/view/20170328144008130,article
2017,Q1,2017-05-15,150,두산,산업재,https://news.nate.com/view/20170510n38234?mid=n0000,article
2017,Q2,2017-08-11,150,두산,산업재,https://www.munhwa.com/article/11046214,article
2017,Q3,2017-11-14,150,두산,산업재,,
2018,Q1,2018-05-15,150,두산,산업재,https://www.ajunews.com/view/20180511091819814,article
2018,Q2,2018-08-14,150,두산,산업재,https://biz.heraldcorp.com/article/1748405,article
2018,Q3,2018-11-14,150,두산,산업재,https://www5.ajunews.com/view/20181111135039726,article
2018,Q4,2019-03-29,150,두산,산업재,https://www.doosannewsroom.com/?p=38761&cat=8,article
2019,Q1,2019-05-15,150,두산,산업재,https://news.nate.com/view/20190514n35766?mid=n0000,article
2019,Q2,2019-08-14,150,두산,산업재,https://www.kipost.net/news/articleView.html?idxno=201580,article
2019,Q3,2019-11-14,150,두산,산업재,https://news.nate.com/view/20191111n01419?mid=n1101,article
2020,Q2,2020-08-14,150,두산,산업재,,
2021,Q1,2021-05-14,150,두산,산업재,,
2021,Q2,2021-08-13,150,두산,산업재,,
2021,Q3,2021-11-12,150,두산,산업재,https://www.joongang.co.kr/article/25021532,article
2021,Q4,2022-03-22,150,두산,산업재,,
2022,Q2,2022-08-16,150,두산,산업재,https://news.nate.com/view/20220810n21449?mid=n1101,article
2022,Q3,2022-11-14,150,두산,산업재,,
2022,Q4,2023-03-21,150,두산,산업재,https://www.mk.co.kr/news/stock/10686657,article
2023,Q1,2023-05-15,150,두산,산업재,https://www.sedaily.com/NewsView/29PIXW468L,article
2023,Q2,2023-08-14,150,두산,산업재,https://plus.hankyung.com/apps/newsinside.view?aid=2023080829201&category=&sns=y,article
2024,Q1,2024-05-16,150,두산,산업재,https://www.yna.co.kr/view/PYH20240515023900003,article
2024,Q3,2024-11-14,150,두산,산업재,https://news.mtn.co.kr/news-detail/2024110820540177147,article
2016,Q1,2016-05-16,660,SK하이닉스,정보기술,https://www.newsis.com/ar_detail/view.html?ar_id=NISX20160513_0014081911&cID=10401&pID=10400,article
2016,Q2,2016-08-16,660,SK하이닉스,정보기술,https://www.hankyung.com/article/2016081543401,article
2016,Q3,2016-11-14,660,SK하이닉스,정보기술,https://www.youtube.com/watch?v=bAay5Vg6WKE,video
2016,Q4,2017-03-31,660,SK하이닉스,정보기술,https://www.newsis.com/view/?id=NISX20170329_0014795223&cID=10402&pID=13000,article
2017,Q1,2017-05-15,660,SK하이닉스,정보기술,https://news.nate.com/view/20170512n28575?mid=n0000,article
2017,Q3,2017-11-14,660,SK하이닉스,정보기술,https://news.nate.com/view/20171112n19912?mid=n0000,article
2018,Q3,2018-11-14,660,SK하이닉스,정보기술,https://www.youtube.com/watch?v=1Hp2NzgZLuY,video
2019,Q1,2019-05-15,660,SK하이닉스,정보기술,https://it.chosun.com/news/articleView.html?idxno=2019051302106,article
2019,Q2,2019-08-14,660,SK하이닉스,정보기술,,
2016,Q2,2016-08-16,1120,LG상사,산업재,,
2016,Q3,2016-11-14,1120,LG상사,산업재,https://www.sisamail.com/news/articleView.html?idxno=48907,article
2016,Q4,2017-03-31,1120,LG상사,산업재,,
2017,Q1,2017-05-15,1120,LG상사,산업재,https://www.ntoday.co.kr/news/articleView.html?idxno=52868,article
2017,Q2,2017-08-14,1120,LX인터내셔널,산업재,,
2017,Q4,2018-03-30,1120,LG상사,산업재,https://www.newsway.co.kr/news/view?ud=2018031516393695484,article
2018,Q2,2018-08-14,1120,LG상사,산업재,https://www.newspim.com/news/view/20180813000549,article
2018,Q3,2018-11-14,1120,LG상사,산업재,https://news.nate.com/view/20181112n20239?mid=n0911,article
2018,Q4,2019-04-01,1120,LG상사,산업재,https://news.nate.com/view/20190326n35439,article
2019,Q1,2019-05-15,1120,LG상사,산업재,https://news.nate.com/view/20190513n04590?mid=n1101,article
2019,Q2,2019-08-14,1120,LG상사,산업재,https://news.nate.com/view/20190808n35218?mid=n0000,article
2019,Q3,2019-11-14,1120,LG상사,산업재,,
2019,Q4,2020-03-30,1120,LG상사,산업재,https://www.etoday.co.kr/news/view/1875815,article
2020,Q2,2020-08-14,1120,LG상사,산업재,https://www.edaily.co.kr/News/Read?newsId=03873686625866992&mediaCodeNo=257,article
2021,Q2,2021-08-17,1120,LX인터내셔널,산업재,,
2021,Q3,2021-11-15,1120,LX인터내셔널,산업재,https://www.mk.co.kr/news/business/10093829,article
2021,Q4,2022-03-16,1120,LX인터내셔널,산업재,,
2022,Q1,2022-05-16,1120,LX인터내셔널,산업재,http://www.theliving.co.kr/news/articleView.html?idxno=22592,article
2022,Q2,2022-08-16,1120,LX인터내셔널,산업재,https://www.mk.co.kr/economy/view.php?sc=50000001&year=2022&no=712588,article
2022,Q3,2022-11-14,1120,LX인터내셔널,산업재,https://www.hankyung.com/article/202211072501Y,article
2022,Q4,2023-03-15,1120,LX인터내셔널,산업재,https://biz.chosun.com/industry/company/2023/03/14/GDMB2EYBSVGZXDYB3JJQ6VRF2Q/,article
2023,Q1,2023-05-15,1120,LX인터내셔널,산업재,https://www.mk.co.kr/news/special-edition/10730904,article
2023,Q2,2023-08-14,1120,LX인터내셔널,산업재,https://www.fntimes.com/html/view.php?ud=20230808172646821299ebb03838_18,article
2023,Q3,2023-11-14,1120,LX인터내셔널,산업재,https://www.khan.co.kr/article/202311071657001,article
2023,Q4,2024-03-13,1120,LX인터내셔널,산업재,https://m.ekn.kr/view.php?key=20240308022591844,article
2024,Q1,2024-05-16,1120,LX인터내셔널,산업재,https://zdnet.co.kr/view/?no=20240514083310,article
2024,Q2,2024-08-14,1120,LX인터내셔널,산업재,https://www.newstomato.com/ReadNews.aspx?no=1237393,article
2024,Q3,2024-11-14,1120,LX인터내셔널,산업재,https://m.ekn.kr/view.php?key=20241112027500400,article
2016,Q2,2016-08-12,3490,대한항공,산업재,https://www.ohmynews.com/NWS_Web/View/at_pg_w.aspx?CNTN_CD=A0002234015,article
2016,Q3,2016-11-14,3490,대한항공,산업재,https://imnews.imbc.com/replay/2016/nwdesk/article/4157726_30244.html,article
2017,Q2,2017-08-10,3490,대한항공,산업재,https://www.joongang.co.kr/article/21819785,article
2017,Q4,2018-03-30,3490,대한항공,산업재,https://news.mtn.co.kr/news-detail/2018032212295070202,article
2018,Q3,2018-11-13,3490,대한항공,산업재,https://www.khan.co.kr/article/201811121539001,article
2019,Q3,2019-11-14,3490,대한항공,산업재,https://www.hankyung.com/article/2019111224681,article
2023,Q2,2023-08-14,3490,대한항공,산업재,https://www.hani.co.kr/arti/economy/car/1103958.html,article
2016,Q1,2016-05-16,3550,LG,정보기술,,
2016,Q2,2016-08-16,3550,LG,정보기술,,
2016,Q3,2016-11-14,3550,LG,정보기술,https://www.etnews.com/20161110000174,article
2016,Q4,2017-03-31,3550,LG,정보기술,,
2017,Q1,2017-05-15,3550,LG,정보기술,https://biz.chosun.com/site/data/html_dir/2017/05/10/2017051000384.html,article
2017,Q2,2017-08-14,3550,LG,정보기술,,
2017,Q3,2017-11-14,3550,LG,정보기술,https://www.edaily.co.kr/News/Read?newsId=03398086616124080&mediaCodeNo=257&OutLnkChk=Y,article
2017,Q4,2018-04-02,3550,LG,정보기술,https://www.edaily.co.kr/News/Read?newsId=02578086619146272&mediaCodeNo=257&OutLnkChk=Y,article
2018,Q1,2018-05-15,3550,LG,정보기술,https://www.edaily.co.kr/News/Read?newsId=04267286619207280&mediaCodeNo=257&OutLnkChk=Y,article
2018,Q2,2018-08-14,3550,LG,정보기술,https://biz.chosun.com/site/data/html_dir/2018/08/08/2018080801112.html,article
2018,Q3,2018-11-14,3550,LG,정보기술,https://biz.chosun.com/site/data/html_dir/2018/11/08/2018110802349.html,article
2018,Q4,2019-04-01,3550,LG,정보기술,https://www.sedaily.com/NewsView/1VGQM3PRZQ,article
2019,Q1,2019-05-15,3550,LG,정보기술,,
2019,Q2,2019-08-14,3550,LG,정보기술,,
2019,Q3,2019-11-14,3550,LG,정보기술,,
2019,Q4,2020-03-30,3550,LG,정보기술,https://www.sedaily.com/NewsView/1Z0D02ZS9X,article
2020,Q1,2020-05-15,3550,LG,정보기술,https://www.youtube.com/watch?v=M-1eEbVecv4,video
2020,Q3,2020-11-16,3550,LG,정보기술,,
2020,Q4,2021-03-11,3550,LG,정보기술,https://biz.chosun.com/site/data/html_dir/2021/03/08/2021030801479.html?utm_source=naver&utm_medium=original&utm_campaign=biz,article
2021,Q1,2021-05-17,3550,LG,정보기술,https://www.edaily.co.kr/News/Read?newsId=01561286629048920&mediaCodeNo=257&OutLnkChk=Y,article
2021,Q4,2022-03-21,3550,LG,정보기술,,
2022,Q1,2022-05-16,3550,LG,정보기술,https://www.edaily.co.kr/News/Read?newsId=01266086632328592&mediaCodeNo=257&OutLnkChk=Y,article
2022,Q2,2022-08-16,3550,LG,정보기술,https://www.edaily.co.kr/News/Read?newsId=01344806632426664&mediaCodeNo=257&OutLnkChk=Y,article
2022,Q3,2022-11-14,3550,LG,정보기술,,
2023,Q2,2023-08-14,3550,LG,정보기술,,
2023,Q3,2023-11-14,3550,LG,정보기술,,
2023,Q4,2024-03-19,3550,LG,정보기술,https://www.news1.kr/finance/general-stock/5348450,article
2024,Q1,2024-05-16,3550,LG,정보기술,https://www.edaily.co.kr/News/Read?newsId=01538326638887608&mediaCodeNo=257&OutLnkChk=Y,article
2024,Q3,2024-11-14,3550,LG,정보기술,https://www.edaily.co.kr/News/Read?newsId=03247206639084736&mediaCodeNo=257&OutLnkChk=Y,article
2016,Q1,2016-05-09,3570,S&T중공업,산업재,,
2016,Q2,2016-08-04,3570,S&T중공업,산업재,,
2016,Q3,2016-11-09,3570,S&T중공업,산업재,,
2016,Q4,2017-03-08,3570,S&T중공업,산업재,https://news.bizwatch.co.kr/article/industry/2017/03/02/0003,article
2017,Q1,2017-05-10,3570,S&T중공업,산업재,,
2017,Q2,2017-08-08,3570,S&T중공업,산업재,,
2017,Q3,2017-11-08,3570,S&T중공업,산업재,,
2017,Q4,2018-03-14,3570,S&T중공업,산업재,,
2018,Q1,2018-05-11,3570,S&T중공업,산업재,https://news.nate.com/view/20180509n18982?mid=n1101,article
2018,Q2,2018-08-10,3570,S&T중공업,산업재,,
2018,Q3,2018-11-13,3570,S&T중공업,산업재,,
2018,Q4,2019-02-28,3570,S&T중공업,산업재,,
2019,Q1,2019-05-10,3570,S&T중공업,산업재,,
2019,Q2,2019-08-12,3570,S&T중공업,산업재,,
2019,Q3,2019-11-08,3570,S&T중공업,산업재,,
2019,Q4,2020-03-02,3570,S&T중공업,산업재,,
2020,Q1,2020-05-13,3570,S&T중공업,산업재,,
2020,Q2,2020-08-11,3570,S&T중공업,산업재,,
2020,Q3,2020-11-10,3570,S&T중공업,산업재,,
2020,Q4,2021-02-18,3570,S&T중공업,산업재,,
2021,Q1,2021-05-11,3570,S&T중공업,산업재,,
2021,Q2,2021-08-10,3570,S&T중공업,산업재,,
2021,Q3,2021-11-10,3570,S&T중공업,산업재,,
2021,Q4,2022-02-18,3570,S&T중공업,산업재,,
