code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,파생상품자산
720,현대건설,건설,2015,Q4,2016-03-30,"8,409,147,000,000","4,078,313,000,000","12,487,460,000,000","5,161,748,000,000","2,198,135,000,000","7,359,883,000,000","3,704,823,000,000","5,127,577,000,000",10716337000000,516166000000,420844000000,310757000000,310757000000,,,
720,현대건설,건설,2016,Q1,2016-05-16,"8,479,854,000,000","3,887,585,000,000","12,367,439,000,000","5,011,167,000,000","2,127,976,000,000","7,139,143,000,000","3,787,630,000,000","5,228,296,000,000",2443824000000,108505000000,62134000000,40918000000,40918000000,,,
720,현대건설,건설,2016,Q2,2016-08-16,"8,828,461,000,000","3,878,788,000,000","12,707,249,000,000","5,242,387,000,000","2,144,560,000,000","7,386,947,000,000","3,873,757,000,000","5,320,302,000,000",2806135000000,124405000000,104641000000,86127000000,86127000000,,,
720,현대건설,건설,2016,Q3,2016-11-14,"8,630,727,000,000","3,791,468,000,000","12,422,195,000,000","4,928,571,000,000","2,218,598,000,000","7,147,169,000,000","3,945,034,000,000","5,275,026,000,000",2642891000000,139809000000,95129000000,71277000000,71277000000,,,
720,현대건설,건설,2016,Q4,2017-03-31,"8,922,987,000,000","3,698,266,000,000","12,621,253,000,000","5,249,204,000,000","1,906,209,000,000","7,155,413,000,000","3,989,118,000,000","5,465,840,000,000",3148227000000,216999000000,179440000000,124811000000,124811000000,,,
720,현대건설,건설,2017,Q1,2017-05-15,"8,637,312,000,000","3,637,342,000,000","12,274,654,000,000","5,070,302,000,000","1,837,460,000,000","6,907,762,000,000","4,006,066,000,000","5,366,892,000,000",2471478000000,90016000000,43789000000,55140000000,55140000000,,,
720,현대건설,건설,2017,Q2,2017-08-11,"8,452,565,000,000","3,597,648,000,000","12,050,213,000,000","4,793,211,000,000","1,732,126,000,000","6,525,337,000,000","4,087,126,000,000","5,524,876,000,000",2532865000000,96836000000,132781000000,86768000000,86768000000,,,
720,현대건설,건설,2017,Q3,2017-11-14,"8,444,434,000,000","3,581,528,000,000","12,025,962,000,000","4,647,127,000,000","1,764,078,000,000","6,411,205,000,000","4,156,178,000,000","5,614,757,000,000",2594146000000,132792000000,94922000000,69052000000,69052000000,"557,273,000,000",,
720,현대건설,건설,2017,Q4,2018-04-02,"8,015,008,000,000","3,502,271,000,000","11,517,279,000,000","4,275,874,000,000","1,711,489,000,000","5,987,363,000,000","4,121,996,000,000","5,529,916,000,000",2569471000000,99171000000,-71747000000,-62096000000,-62096000000,"557,273,000,000",,
720,현대건설,건설,2018,Q1,2018-05-15,"7,913,653,000,000","3,585,200,000,000","11,498,853,000,000","4,398,207,000,000","1,808,698,000,000","6,206,905,000,000","4,076,795,000,000","5,291,948,000,000",2127244000000,84791000000,116286000000,94571000000,94571000000,"557,273,000,000",,
720,현대건설,건설,2018,Q2,2018-08-14,"7,978,319,000,000","3,625,042,000,000","11,603,361,000,000","4,374,370,000,000","1,827,620,000,000","6,201,990,000,000","4,217,277,000,000","5,401,371,000,000",2509558000000,97510000000,123821000000,68096000000,68096000000,"557,273,000,000",,
720,현대건설,건설,2018,Q3,2018-11-14,"7,822,721,000,000","3,428,527,000,000","11,251,248,000,000","4,095,861,000,000","1,771,924,000,000","5,867,785,000,000","4,252,439,000,000","5,383,463,000,000",2606016000000,80358000000,63541000000,41753000000,41753000000,"557,273,000,000",,
