접수번호,법인구분,회사코드,회사명,변동일,최대주주명,보유 주식 수,보유 지분율,변동원인,비고,결제일시,연도,분기
20160330002465,Y,00776820,영원무역,-,-,-,-,-,-,2015-12-31,2015,Q4
20170331004556,Y,00776820,영원무역,-,-,-,-,-,-,2016-12-31,2016,Q4
20180402004648,Y,00776820,영원무역,-,-,-,-,-,-,2017-12-31,2017,Q4
20190401004682,Y,00776820,영원무역,-,-,-,-,-,-,2018-12-31,2018,Q4
20200330003523,Y,00776820,영원무역,-,-,-,-,-,-,2019-12-31,2019,Q4
20210323001006,Y,00776820,영원무역,-,-,-,-,-,-,2020-12-31,2020,Q4
20220321001405,Y,00776820,영원무역,-,-,-,-,-,-,2021-12-31,2021,Q4
20230321001365,Y,00776820,영원무역,-,-,-,-,-,-,2022-12-31,2022,Q4
20240401004267,Y,00776820,영원무역,-,-,-,-,-,-,2023-12-31,2023,Q4
20250321001998,Y,00776820,영원무역,-,-,-,-,-,-,2024-12-31,2024,Q4
