code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,파생상품자산,파생상품관련손익,파생상품부채,영업비용,이자수익,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산,차입부채,이자비용,상각후원가측정금융자산,금융상품관련순손익
880,한화,에너지_화학,2018,Q1,2018-05-15,"1,956,209,000,000","5,745,981,000,000","7,702,190,000,000","2,835,047,000,000","1,623,957,000,000","4,459,004,000,000","2,173,681,000,000","3,243,186,000,000",1145505000000.0,73438000000.0,120349000000.0,104651000000.0,104651000000.0,"489,550,000,000",,,,,,,,,,,,
2960,한국쉘석유,에너지_화학,2018,Q1,2018-05-15,"115,358,012,819","19,795,728,243","135,153,741,062","50,411,099,351","373,370,451","50,784,469,802","76,793,529,269","84,369,271,260",57058835745.0,8552685338.0,9105183794.0,7026837715.0,7026837715.0,"7,000,000,000",,,,,,,,,,,,
3240,태광산업,에너지_화학,2018,Q1,2018-05-15,"1,357,243,146,656","1,460,429,315,866","2,817,672,462,522","356,034,975,858","150,289,723,831","506,324,699,689","2,351,045,365,838","2,311,347,762,833",485806117733.0,17426329822.0,51420388166.0,34870497166.0,34870497166.0,"5,567,000,000",,,,,,,,,,,,
4000,삼성정밀화학,에너지_화학,2018,Q1,2018-05-15,"765,850,463,449","881,883,792,328","1,647,734,255,777","374,277,183,353","95,117,362,444","469,394,545,797","715,737,147,144","1,178,339,709,980",336013780297.0,49874641445.0,81284920958.0,63834350214.0,63834350214.0,"129,000,000,000",,,,,,,,,,,,
4800,효성,에너지_화학,2018,Q1,2018-05-15,"2,150,076,057,548","6,107,345,548,823","8,257,421,606,371","3,359,852,175,913","1,430,152,752,438","4,790,004,928,351","2,965,036,394,464","3,467,416,678,020",2129421828252.0,73361113455.0,210407882460.0,157521649932.0,157521649932.0,"175,587,275,000",,,,,,,,,,,,
6120,SK케미칼,에너지_화학,2018,Q1,2018-05-15,"41,892,719,778","863,909,930,928","905,802,650,706","22,775,157,044","249,840,098,296","272,615,255,340","1,428,100,782,899","633,187,395,366",,12673069891.0,10916918002.0,10853210952.0,10853210952.0,"70,409,290,000",,,,,,,,,,,,
6650,대한유화,에너지_화학,2018,Q1,2018-05-15,"491,192,024,870","1,482,916,105,029","1,974,108,129,899","281,390,948,360","216,457,069,543","497,848,017,903","1,174,610,219,106","1,476,260,111,996",610189556925.0,102823130983.0,105481657393.0,80860944292.0,80860944292.0,"41,000,000,000",,,,,,,,,,,,
7690,국도화학,에너지_화학,2018,Q1,2018-05-15,"386,415,802,394","350,736,747,068","737,152,549,462","248,247,934,181","67,063,051,544","315,310,985,725","361,021,898,963","421,841,563,737",215034156484.0,13076363428.0,15075730616.0,11622659867.0,11622659867.0,"29,053,080,000",,,,,,,,,,,,
9830,한화케미칼,에너지_화학,2018,Q1,2018-05-15,"1,421,706,270,393","6,251,450,816,422","7,673,157,086,815","1,424,258,408,188","1,301,893,906,331","2,726,152,314,519","3,355,545,793,033","4,947,004,772,296",1018365439456.0,144419267129.0,396962363229.0,308684871630.0,308684871630.0,"829,665,480,000",,,,,,,,,,,,
10060,OCI,에너지_화학,2018,Q1,2018-05-14,"1,435,414,851,000","3,807,726,977,000","5,243,141,828,000","1,083,039,655,000","814,801,877,000","1,897,841,532,000","2,395,414,000,000","3,345,300,296,000",680552280000.0,88002218000.0,86997534000.0,65261153000.0,65261153000.0,"127,246,855,000",,,,,,,,,,,,
