Year,Quarter,공시일,sj_div,account_nm,thstrm_dt,thstrm_amount
2023,Q1,20230512,BS,유동자산,2023.03.31 현재,"4,256,819,313,243"
2023,Q1,20230512,BS,비유동자산,2023.03.31 현재,"5,198,448,607,117"
2023,Q1,20230512,BS,자산총계,2023.03.31 현재,"9,455,267,920,360"
2023,Q1,20230512,BS,유동부채,2023.03.31 현재,"4,842,765,551,608"
2023,Q1,20230512,BS,비유동부채,2023.03.31 현재,"1,645,503,829,870"
2023,Q1,20230512,BS,부채총계,2023.03.31 현재,"6,488,269,381,478"
2023,Q1,20230512,BS,자본금,2023.03.31 현재,"265,650,000,000"
2023,Q1,20230512,BS,이익잉여금,2023.03.31 현재,"2,054,909,105,046"
2023,Q1,20230512,BS,자본총계,2023.03.31 현재,"2,966,998,538,882"
2023,Q1,20230512,IS,매출액,2023.01.01 ~ 2023.03.31,837943870776
2023,Q1,20230512,IS,영업이익,2023.01.01 ~ 2023.03.31,138161524934
2023,Q1,20230512,IS,법인세차감전 순이익,2023.01.01 ~ 2023.03.31,464743899273
2023,Q1,20230512,IS,당기순이익,2023.01.01 ~ 2023.03.31,360151157555
2023,Q1,20230512,IS,당기순이익(손실),2023.01.01 ~ 2023.03.31,360151157555
2023,Q2,20230811,BS,유동자산,2023.06.30 현재,"5,985,351,551,567"
2023,Q2,20230811,BS,비유동자산,2023.06.30 현재,"7,237,764,559,515"
2023,Q2,20230811,BS,자산총계,2023.06.30 현재,"13,223,116,111,082"
2023,Q2,20230811,BS,유동부채,2023.06.30 현재,"8,400,401,361,946"
2023,Q2,20230811,BS,비유동부채,2023.06.30 현재,"1,815,548,794,311"
2023,Q2,20230811,BS,부채총계,2023.06.30 현재,"10,215,950,156,257"
2023,Q2,20230811,BS,자본금,2023.06.30 현재,"265,650,000,000"
2023,Q2,20230811,BS,이익잉여금,2023.06.30 현재,"2,245,423,491,019"
2023,Q2,20230811,BS,자본총계,2023.06.30 현재,"3,007,165,954,825"
2023,Q2,20230811,IS,매출액,2023.01.01 ~ 2023.06.30,875004575241
2023,Q2,20230811,IS,영업이익,2023.01.01 ~ 2023.06.30,20012870984
2023,Q2,20230811,IS,법인세차감전 순이익,2023.01.01 ~ 2023.06.30,226917639944
2023,Q2,20230811,IS,당기순이익,2023.01.01 ~ 2023.06.30,190514385973
2023,Q2,20230811,IS,당기순이익(손실),2023.01.01 ~ 2023.06.30,190514385973
2023,Q3,20231114,BS,유동자산,2023.09.30 현재,"6,258,585,396,816"
2023,Q3,20231114,BS,비유동자산,2023.09.30 현재,"7,512,487,807,075"
2023,Q3,20231114,BS,자산총계,2023.09.30 현재,"13,771,073,203,891"
2023,Q3,20231114,BS,유동부채,2023.09.30 현재,"8,762,364,481,835"
2023,Q3,20231114,BS,비유동부채,2023.09.30 현재,"2,084,717,633,600"
2023,Q3,20231114,BS,부채총계,2023.09.30 현재,"10,847,082,115,435"
2023,Q3,20231114,BS,자본금,2023.09.30 현재,"265,650,000,000"
2023,Q3,20231114,BS,이익잉여금,2023.09.30 현재,"2,162,273,835,307"
2023,Q3,20231114,BS,자본총계,2023.09.30 현재,"2,923,991,088,456"
2023,Q3,20231114,IS,매출액,2023.01.01 ~ 2023.09.30,1026061060693
2023,Q3,20231114,IS,영업이익,2023.01.01 ~ 2023.09.30,63333455536
2023,Q3,20231114,IS,법인세차감전 순이익,2023.01.01 ~ 2023.09.30,-92314510163
2023,Q3,20231114,IS,당기순이익,2023.01.01 ~ 2023.09.30,-83149655712
2023,Q3,20231114,IS,당기순이익(손실),2023.01.01 ~ 2023.09.30,-83149655712
2023,Q3,20231114,IS,총포괄손익,2023.01.01 ~ 2023.09.30,-84064672982
2023,Q4,20240318,BS,유동자산,2023.12.31 현재,"5,995,851,974,987"
2023,Q4,20240318,BS,비유동자산,2023.12.31 현재,"8,164,981,157,368"
2023,Q4,20240318,BS,자산총계,2023.12.31 현재,"14,160,833,132,355"
2023,Q4,20240318,BS,유동부채,2023.12.31 현재,"9,054,099,242,381"
2023,Q4,20240318,BS,비유동부채,2023.12.31 현재,"1,962,448,806,401"
2023,Q4,20240318,BS,부채총계,2023.12.31 현재,"11,016,548,048,782"
2023,Q4,20240318,BS,자본금,2023.12.31 현재,"265,650,000,000"
2023,Q4,20240318,BS,이익잉여금,2023.12.31 현재,"2,311,521,085,153"
2023,Q4,20240318,BS,자본총계,2023.12.31 현재,"3,144,285,083,573"
2023,Q4,20240318,IS,매출액,2023.01.01 ~ 2023.12.31,2239983343110
2023,Q4,20240318,IS,영업이익,2023.01.01 ~ 2023.12.31,297590356207
2023,Q4,20240318,IS,법인세차감전 순이익,2023.01.01 ~ 2023.12.31,240186379319
2023,Q4,20240318,IS,당기순이익,2023.01.01 ~ 2023.12.31,181443838216
2023,Q4,20240318,IS,당기순이익(손실),2023.01.01 ~ 2023.12.31,181443838216
2023,Q4,20240318,IS,총포괄손익,2023.01.01 ~ 2023.12.31,768209723520
