접수번호,법인구분,회사코드,회사명,구분,주주 수,전체 주주 수,주주 비율,보유 주식 수,전체 주식 수,보유 주식 비율,결제일시,연도,분기
20160330004312,Y,00299002,HL홀딩스,소액주주,"16,114",-,99.81%,"5,596,775",-,51.80%,2015-12-31,2015,Q4
20170331000675,Y,00299002,HL홀딩스,소액주주,"11,388",-,99.9%,"5,766,482",-,53.4%,2016-12-31,2016,Q4
20180814001110,Y,00299002,HL홀딩스,소액주주,-,-,-,-,-,-,2017-12-31,2017,Q4
20190401003495,Y,00299002,HL홀딩스,소액주주,"10,492",-,99.88%,"5,400,613",-,49.98%,2018-12-31,2018,Q4
20200330003941,Y,00299002,HL홀딩스,소액주주,-,-,-,-,-,-,2019-12-31,2019,Q4
20210317001088,Y,00299002,HL홀딩스,소액주주,-,-,-,-,-,-,2020-12-31,2020,Q4
20220318000844,Y,00299002,HL홀딩스,소액주주,"21,749","21,764",99.93%,"5,775,596","10,472,070",55.15%,2021-12-31,2021,Q4
20230320000864,Y,00299002,HL홀딩스,소액주주,"23,210","23,225",99.94%,"5,790,459","10,472,070",55.30%,2022-12-31,2022,Q4
20240318000858,Y,00299002,HL홀딩스,소액주주,"20,256","20,271",99.94%,"5,204,198","10,169,410",51.18%,2023-12-31,2023,Q4
20250318001459,Y,00299002,HL홀딩스,소액주주,"17,527","17,545",99.90%,"4,591,479","9,874,070",46.50%,2024-12-31,2024,Q4
