접수번호,법인구분,고유번호,회사명,증자일자,증자방식,증자주식종류,증자주식수,주식액면가액,발행금액,결제일시,연도,분기
20160516003598,Y,00131832,SK디스커버리,2015.12.14,유상증자(일반공모),보통주,"3,460,208","5,000","57,600",2015-12-31,2015,Q4
20170331005070,Y,00131832,SK디스커버리,2015.12.14,유상증자(일반공모),보통주,"3,460,208","5,000","57,600",2016-12-31,2016,Q4
20180704000549,Y,00131832,SK디스커버리,2015.12.14,유상증자(일반공모),보통주,"3,460,208","5,000","57,600",2017-12-31,2017,Q4
20180704000549,Y,00131832,SK디스커버리,2017.12.01,주식분할,보통주,"11,579,852","5,000",-,2017-12-31,2017,Q4
20180704000549,Y,00131832,SK디스커버리,2017.12.01,주식분할,우선주,"1,458,670","5,000",-,2017-12-31,2017,Q4
20190401003286,Y,00131832,SK디스커버리,2015.12.14,유상증자(주주배정),보통주,"3,460,208","5,000","57,600",2018-12-31,2018,Q4
20190401003286,Y,00131832,SK디스커버리,2017.12.01,주식분할,보통주,"11,579,852","5,000",-,2018-12-31,2018,Q4
20190401003286,Y,00131832,SK디스커버리,2017.12.01,주식분할,우선주,"1,458,670","5,000",-,2018-12-31,2018,Q4
20190401003286,Y,00131832,SK디스커버리,2018.04.19,현물출자,보통주,"8,253,572","5,000","42,230",2018-12-31,2018,Q4
20200330004480,Y,00131832,SK디스커버리,2015.12.14,유상증자(주주배정),보통주,"3,460,208","5,000","57,600",2019-12-31,2019,Q4
20200330004480,Y,00131832,SK디스커버리,2017.12.01,주식분할,보통주,"11,579,852","5,000",-,2019-12-31,2019,Q4
20200330004480,Y,00131832,SK디스커버리,2017.12.01,주식분할,우선주,"1,458,670","5,000",-,2019-12-31,2019,Q4
20200330004480,Y,00131832,SK디스커버리,2018.04.19,현물출자,보통주,"8,253,572","5,000","42,230",2019-12-31,2019,Q4
20210323000907,Y,00131832,SK디스커버리,2015.12.14,유상증자(주주배정),보통주,"3,460,208","5,000","57,600",2020-12-31,2020,Q4
20210323000907,Y,00131832,SK디스커버리,2017.12.01,주식분할,보통주,"11,579,852","5,000",-,2020-12-31,2020,Q4
20210323000907,Y,00131832,SK디스커버리,2017.12.01,주식분할,우선주,"1,458,670","5,000",-,2020-12-31,2020,Q4
20210323000907,Y,00131832,SK디스커버리,2018.04.19,현물출자,보통주,"8,253,572","5,000","42,230",2020-12-31,2020,Q4
20220322000926,Y,00131832,SK디스커버리,-,-,-,-,-,-,2021-12-31,2021,Q4
20230321001269,Y,00131832,SK디스커버리,-,-,-,-,-,-,2022-12-31,2022,Q4
20240320001824,Y,00131832,SK디스커버리,-,-,-,-,-,-,2023-12-31,2023,Q4
20250318001277,Y,00131832,SK디스커버리,-,-,-,-,-,-,2024-12-31,2024,Q4
