접수번호,법인구분,회사코드,회사명,직원 수,총 급여액,1인평균급여,비고,결제일시,연도,분기
20160516002061,Y,00759513,LX하우시스,901,"65,199,000,000","72,000,000",-,2015-12-31,2015,Q4
20160516002061,Y,00759513,LX하우시스,122,"4,977,000,000","41,000,000",-,2015-12-31,2015,Q4
20160516002061,Y,00759513,LX하우시스,891,"69,043,000,000","77,000,000",-,2015-12-31,2015,Q4
20160516002061,Y,00759513,LX하우시스,52,"2,508,000,000","48,000,000",-,2015-12-31,2015,Q4
20160516002061,Y,00759513,LX하우시스,904,"75,748,000,000","84,000,000",-,2015-12-31,2015,Q4
20160516002061,Y,00759513,LX하우시스,264,"13,244,000,000","50,000,000",-,2015-12-31,2015,Q4
20170331005039,Y,00759513,LX하우시스,"1,009","77,805,000,000","77,000,000",-,2016-12-31,2016,Q4
20170331005039,Y,00759513,LX하우시스,128,"6,004,000,000","47,000,000",-,2016-12-31,2016,Q4
20170331005039,Y,00759513,LX하우시스,793,"64,984,000,000","82,000,000",-,2016-12-31,2016,Q4
20170331005039,Y,00759513,LX하우시스,49,"2,552,000,000","52,000,000",-,2016-12-31,2016,Q4
20170331005039,Y,00759513,LX하우시스,781,"63,626,000,000","81,000,000",-,2016-12-31,2016,Q4
20170331005039,Y,00759513,LX하우시스,240,"12,810,000,000","53,000,000",-,2016-12-31,2016,Q4
20180309000355,Y,00759513,LX하우시스,"1,163","87,843,000,000","76,000,000",-,2017-12-31,2017,Q4
20180309000355,Y,00759513,LX하우시스,162,"8,211,000,000","51,000,000",-,2017-12-31,2017,Q4
20180309000355,Y,00759513,LX하우시스,797,"65,320,000,000","83,000,000",-,2017-12-31,2017,Q4
20180309000355,Y,00759513,LX하우시스,60,"3,221,000,000","54,000,000",-,2017-12-31,2017,Q4
20180309000355,Y,00759513,LX하우시스,672,"53,311,000,000","81,000,000",-,2017-12-31,2017,Q4
20180309000355,Y,00759513,LX하우시스,196,"10,479,000,000","54,000,000",-,2017-12-31,2017,Q4
20190401004159,Y,00759513,LX하우시스,"1,186","86,787,000,000","73,000,000",-,2018-12-31,2018,Q4
20190401004159,Y,00759513,LX하우시스,152,"7,480,000,000","49,000,000",-,2018-12-31,2018,Q4
