접수번호,법인구분,회사코드,회사명,변동일,최대주주명,보유 주식 수,보유 지분율,변동원인,비고,결제일시,연도,분기
20160330003610,Y,00266961,NAVER,-,-,-,-,-,-,2015-12-31,2015,Q4
20170908000444,Y,00266961,NAVER,-,-,-,-,-,-,2016-12-31,2016,Q4
20180402004149,Y,00266961,NAVER,-,-,-,-,-,-,2017-12-31,2017,Q4
20190401004489,Y,00266961,NAVER,-,-,-,-,-,-,2018-12-31,2018,Q4
20200330004603,Y,00266961,NAVER,-,-,-,-,-,-,2019-12-31,2019,Q4
20210316001214,Y,00266961,NAVER,-,-,-,-,-,-,2020-12-31,2020,Q4
20220304000687,Y,00266961,NAVER,-,-,-,-,-,-,2021-12-31,2021,Q4
20230314001049,Y,00266961,NAVER,-,-,-,-,-,-,2022-12-31,2022,Q4
20240318000844,Y,00266961,NAVER,-,-,-,-,-,-,2023-12-31,2023,Q4
20250318000645,Y,00266961,NAVER,-,-,-,-,-,-,2024-12-31,2024,Q4
