code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,파생상품자산,파생상품관련손익,파생상품부채,영업비용,이자수익,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산,이자비용,차입부채
9540,Hyundai_Heavy_Industries,중공업,2020,Q3,"1,418,486,815,000","9,757,076,604,000","11,175,563,419,000","187,160,140,000","78,671,319,000","265,831,459,000","16,566,579,491,000","10,909,731,960,000",40713484000.0,-11745019000.0,-26358837000.0,,,"353,865,580,000",,,,,,,,,,
10140,Samsung_Heavy Industries,중공업,2020,Q3,"7,177,457,231,421","6,186,549,262,857","13,364,006,494,278","7,164,274,593,212","1,814,686,529,518","8,978,961,122,730","379,094,069,085","4,385,045,371,548",1669348750803.0,-3904432234.0,-103864379.0,-105126979.0,-105126979.0,"3,150,574,225,000",,,,,,,,,,
10620,Hyundai_Mipo_Dockyard,중공업,2020,Q3,"2,041,762,527,000","1,492,185,351,000","3,533,947,878,000","1,152,802,522,000","29,824,487,000","1,182,627,009,000","1,848,706,383,000","2,351,320,869,000",626750182000.0,11311090000.0,3393744000.0,2548801000.0,2548801000.0,"199,710,745,000",,,,,,,,,,
12450,Hanwha_Aerospace,중공업,2020,Q3,"1,561,449,177,752","3,053,826,354,578","4,615,275,532,330","1,164,194,282,699","1,489,572,416,256","2,653,766,698,955","1,340,231,055,017","1,961,508,833,375",252603533352.0,-2298495998.0,-8044435836.0,-6235113715.0,-6235113715.0,"265,650,000,000",,,,,,,,,,
17800,Hyundai_Elevator,중공업,2020,Q3,"937,037,527,274","1,018,965,368,382","1,956,002,895,656","584,752,299,538","324,692,159,349","909,444,458,887","242,897,117,773","1,046,558,436,769",366605767088.0,35066984596.0,49695504644.0,37529177699.0,37529177699.0,"209,155,715,000",,,,,,,,,,
34020,Doosan_Heavy_Industries,중공업,2020,Q3,"3,254,378,973,206","8,023,217,314,081","11,277,596,287,287","7,668,800,780,851","1,072,073,965,269","8,740,874,746,120","-1,284,723,711,358","2,536,721,541,167",797008019913.0,-22714000700.0,-291497325060.0,-349039154013.0,-349039154013.0,"1,330,227,055,000",,,,,,,,,,
42660,Daewoo_Shipbuilding_&_Marine_Engineering,중공업,2020,Q3,"6,021,492,079,294","4,288,383,827,934","10,309,875,907,228","4,069,650,050,133","2,348,122,069,248","6,417,772,119,381","711,806,302,483","3,892,103,787,847",1468334480744.0,32853720074.0,-29051377294.0,-29051377294.0,-29051377294.0,"541,028,760,000",,,,,,,,,,
42670,Doosan_Infracore,중공업,2020,Q3,"1,358,137,847,874","3,641,038,843,239","4,999,176,691,113","1,873,215,249,623","1,593,636,710,538","3,466,851,960,161","161,014,935,358","1,532,324,730,952",594847026753.0,11840571816.0,-38486416147.0,-30293079552.0,-30293079552.0,"1,066,323,375,000",,,,,,,,,,
64350,Hyundai_Rotem,중공업,2020,Q3,"2,523,237,882,000","1,382,263,651,000","3,905,501,533,000","2,064,081,775,000","503,122,805,000","2,567,204,580,000","-133,723,583,000","1,338,296,953,000",687317904000.0,30960076000.0,17729655000.0,20202776000.0,20202776000.0,"545,711,465,000",,,,,,,,,,
82740,Doosan_Engine,중공업,2020,Q3,"329,377,281,973","433,668,420,401","763,045,702,374","545,791,321,960","27,463,320,898","573,254,642,858","-32,845,105,380","189,791,059,516",199646681034.0,1336940595.0,-2425058727.0,-2460009986.0,-2460009986.0,"32,947,142,000",,,,,,,,,,
97230,HHI_Heavy_Industries,중공업,2020,Q3,"1,026,873,000,000","1,135,452,000,000","2,162,325,000,000","1,511,678,000,000","299,896,000,000","1,811,574,000,000","-1,186,600,000,000","350,751,000,000",470693000000.0,44429000000.0,36186000000.0,40749000000.0,40749000000.0,"416,371,000,000",,,,,,,,,,
