code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,파생상품자산,파생상품관련손익,파생상품부채,영업비용,이자수익,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산,이자비용,차입부채
100,Yuhan_Corporation,헬스케어,2023,Q3,"1,064,256,315,071","1,332,002,437,235","2,396,258,752,306","368,632,561,641","65,255,445,482","433,888,007,123","1,901,927,407,014","1,962,370,745,183",468890160926.0,6889102001.0,13013703256.0,12822477253.0,12822477253.0,"77,819,597,000",9566113934.0,,,,,,,,,
230,Ildong_Pharmaceutical,헬스케어,2023,Q3,"15,622,553,867","281,771,805,320","297,394,359,187","76,555,142,574","29,557,609,417","106,112,751,991","59,390,440,929","191,281,607,196",4160108464.0,541916370.0,19745180096.0,19845630235.0,19845630235.0,"11,540,400,000",18969712825.0,,,,,,,,,
640,Dong-A_Socio_Holdings,헬스케어,2023,Q3,"80,701,116,975","921,543,473,347","1,002,244,590,322","199,155,777,551","122,774,862,992","321,930,640,543","452,374,779,017","680,313,949,779",13132804477.0,7540903047.0,5834129426.0,6879726307.0,6879726307.0,"31,744,565,000",6899940659.0,,,,,,,,,
3000,Bukwang_Pharmaceutical,헬스케어,2023,Q3,"187,380,352,756","236,424,826,520","423,805,179,276","26,617,504,983","98,048,667,156","124,666,172,139","274,950,868,506","299,139,007,137",20102759477.0,-10874969750.0,-11864736471.0,-11215932685.0,-11215932685.0,"36,401,993,000",-11289307337.0,,,,,,,,,
3520,Youngjin_Pharmaceutical,헬스케어,2023,Q3,"119,346,047,783","100,638,731,034","219,984,778,817","71,390,637,916","61,261,506,314","132,652,144,230","-14,687,250,192","87,332,634,587",59369563350.0,320119071.0,-785787134.0,-875576885.0,-875576885.0,"91,446,365,500",-843381509.0,,,,,,,,,
6280,GC_Biopharma,헬스케어,2023,Q3,"931,144,937,002","1,196,557,290,380","2,127,702,227,382","707,860,850,885","173,481,811,629","881,342,662,514","901,492,191,334","1,246,359,564,868",337810270234.0,31168451396.0,25306589872.0,20700489496.0,20700489496.0,"58,432,690,000",20507669759.0,,,,,,,,,
7570,Ilyang_Pharmaceutical,헬스케어,2023,Q3,"132,076,420,618","255,306,548,587","387,382,969,205","163,703,859,830","18,523,218,524","182,227,078,354","34,059,740,336","205,155,890,851",70638073005.0,5846609671.0,4575506976.0,4027596267.0,4027596267.0,"48,826,860,000",4025412943.0,,,,,,,,,
8490,Seohung,헬스케어,2023,Q3,"208,976,124,726","374,320,095,341","583,296,220,067","258,020,968,140","2,040,149,284","260,061,117,424","300,157,405,089","323,235,102,643",78536937295.0,3062302682.0,3194625957.0,2330124788.0,2330124788.0,"6,084,556,500",2330124788.0,,,,,,,,,
9290,Kwang_Dong_Pharmaceutical,헬스케어,2023,Q3,"472,429,491,568","380,802,451,993","853,231,943,561","308,050,817,783","19,843,079,338","327,893,897,121","465,610,074,526","525,338,046,440",249296586256.0,10387874738.0,11668711641.0,9036562563.0,9036562563.0,"52,420,851,000",8287615690.0,,,,,,,,,
69620,Daewoong_Pharmaceutical,헬스케어,2023,Q3,"402,595,779,460","1,097,092,061,440","1,499,687,840,900","618,657,901,778","124,065,509,410","742,723,411,188","605,292,458,836","756,964,429,712",303026308092.0,34196555973.0,26113281253.0,19764429439.0,19764429439.0,"28,966,437,500",15314723115.0,,,,,,,,,
128940,Hanmi_Pharmaceutical,헬스케어,2023,Q3,"298,020,765,925","1,050,744,790,727","1,348,765,556,652","594,031,122,352","105,786,381,531","699,817,503,883","274,483,275,270","648,948,052,769",272062800020.0,32547043276.0,20146304485.0,27910803680.0,27910803680.0,"31,405,395,000",18343424194.0,,,,,,,,,
170900,Dong-A_ST,헬스케어,2023,Q3,"512,426,490,139","722,895,195,893","1,235,321,686,032","308,550,929,099","241,894,260,072","550,445,189,171","221,287,618,876","684,876,496,861",150243713966.0,13077442621.0,14756326628.0,11496495619.0,11496495619.0,"43,074,825,000",11667598114.0,,,,,,,,,
185750,Jongkundang,헬스케어,2023,Q3,"803,550,531,357","440,038,256,034","1,243,588,787,391","470,384,278,637","50,422,210,252","520,806,488,889","483,355,017,427","722,782,298,502",396211255791.0,53071745639.0,52569337406.0,43510637038.0,43510637038.0,"31,421,160,000",45005153724.0,,,,,,,,,
